fecha,Términos de intercambio,Remesas,Diferencial de tasas,Déficit fiscal,Dólar amplio,VIX,Riesgo soberano EMBIG Colombia,Reservas internacionales,Balanza comercial cambiaria,Flujos netos de capital,Diferencial de compensación inflacionaria 5 años,Actividad y precios domésticos,Monedas regionales,"Condiciones financieras, commodities y actividad internacional",otros_componentes,suma_factores,ajuste_total,cierre_contable
2006-05-01,-9.915237212296009e-05,0.001232217874237223,-0.0006897211810145229,-8.930603114665751e-05,-0.004581522428931194,0.0032935827168980875,0.00412907325608141,0.0007363253559251728,0.00224741186638361,-6.527928755504225e-05,-0.0002183554226590926,-0.005066186252456741,-0.002603449618972858,0.005822097800672537,0.005665126722150532,0.004047736275338973,0.009712862997487064,2.4390212072233908e-15
2006-06-01,-2.626101137867368e-05,0.005443532662436648,0.0003170492525631268,6.006665988155653e-05,0.0024373069675235628,0.002606456365953882,0.011868511290440299,0.008187598252712121,-0.0032799438396158916,-0.00030082245345314007,-0.0006945034856920963,-0.0009927971281568368,0.011368896868873787,-0.011499830430129034,0.005665126722150532,0.02549525997195931,0.03116038669410748,2.3626933742804113e-15
2006-07-01,0.00027022078124949863,0.00388680808565628,0.00014276486811321982,-1.6549542302208877e-05,-0.0005217655125085384,-0.0016370787535616186,-0.0008426904272997104,0.002197423982630256,-0.002008991666999558,0.000260120729692562,7.364104418330725e-05,-0.005379374180765723,-0.012089379117179182,-0.0030880255100886583,0.005665126722150532,-0.018752875219180072,-0.013087748497028843,-6.973588373426765e-16
2006-08-01,-0.0003801453710545769,0.0027469992651641974,-0.0002873838254227166,1.6424240579603972e-05,-0.001496575180423587,-0.002283515791869153,-0.008838952510980424,-0.0037090719568490813,-0.008378668054309235,0.0003882791518860022,0.00010568522522448324,-0.0056069015732015896,-0.005744936355643571,-0.00582631009358408,0.005665126722150532,-0.039295072830483724,-0.03362994610832231,-1.0880185641326534e-14
2006-09-01,-0.0007293052381750015,0.0018568069478343747,0.00024362732039061557,-2.2800471210070337e-06,0.0005537119026183267,-0.0015148252060389158,0.002738619667530227,-0.004715390661650016,0.005913150724357538,-7.667251697139001e-05,-0.0006895625731835709,-0.0038093991633339945,0.002038666720163363,0.01668968023683983,0.005665126722150532,0.01849682811326038,0.024161954835409415,1.4988010832439613e-15
2006-10-01,-5.5736280095984366e-05,0.0018657547346176068,0.000584038096826812,2.8385437066431187e-05,0.000689598652725448,-0.0012385749254425265,-0.007027232164270238,-0.0004897546097926119,-0.001427175495196219,-0.0001488628225239602,-0.0007907899007563658,0.0011561562592001446,-0.006558524832857558,0.000988398753840443,0.005665126722150532,-0.012424319096658577,-0.006759192374509551,1.5057399771478686e-15
2006-11-01,-3.72743249530717e-05,0.0024072068264380025,0.0008899628142122861,-2.9673302082933062e-05,-0.0016591459495356132,-0.0007317221495607337,0.002336796795188732,-0.0019306071814580673,-0.004393489858613604,0.00021181436435572918,-0.00023908559707654136,-0.004099721986864191,-0.002960510128835963,-0.012265747323874093,0.005665126722150532,-0.02250119700266006,-0.0168360702805126,3.073929999430902e-15
2006-12-01,0.0004344267167758636,0.001995090584781112,0.0008343401383240198,4.802825200681257e-05,-0.001496735492447252,0.00022332061828665833,-0.00232296247696753,-0.004932293400725472,0.004231249641476272,5.507703071436032e-06,0.0006652618417907682,-9.369039591949663e-05,-0.004114173335068048,-0.011202170554871427,0.005665126722150532,-0.015724800159486282,-0.010059673437336977,1.2264494975156026e-15
2007-01-01,-0.000657695117482898,0.0013987269060339064,0.0004238447902686021,9.723743674167911e-06,0.0021610875036388115,0.00011737955647377479,-0.004533105958082067,0.00026391675827081257,-0.008571959957194376,-3.7701876141696645e-05,-0.00010150271103921456,-0.006651788830934065,0.0018789245064922894,0.003324022895527799,0.005665126722150532,-0.010976127790494153,-0.005311001068348367,4.745336068534556e-15
2007-02-01,0.0005542689350149118,0.001950074206082509,0.0005217406998319535,8.585485969006054e-05,-0.0007408921113934633,0.00016823588553533829,-0.00042589563211958896,-0.015096972345373615,0.010577456805370223,0.000370628522962238,6.367678398315128e-05,-0.011054184650548794,-0.002624202652958266,-0.008296083875099313,0.005665126722150532,-0.023946294569022655,-0.018281167846876757,4.6351811278100286e-15
2007-03-01,3.9864772516433537e-05,0.0017717727360405334,0.0008366047758423276,-9.152513286111811e-08,-0.0009674656221176024,0.005082350298763685,0.002178905119838132,-0.016003205052514083,-0.00493947124960159,8.266629845988304e-05,-0.0004858992724424089,-0.00955022072720243,-0.001526688404657677,0.004679872651656304,0.005665126722150532,-0.018801005200551356,-0.013135878478401985,1.160530005428484e-15
2007-04-01,0.0005054154753846411,0.0007283234071291098,0.0009366461314756556,-2.0011338532725543e-05,-0.0028998383102313376,-0.002633798968950439,-0.007964958342828591,-0.01825148340961509,-0.0032964331757769803,0.00010339585160655923,-7.782081846599066e-06,-0.004013248325524143,-0.008640801042678488,-0.016399746097338207,0.005665126722150532,-0.06185432022772663,-0.05618919350557741,1.3183898417423734e-15
2007-05-01,0.00042799188082640006,0.0017129336147785313,0.0007297695076540732,2.9736942787667693e-05,-0.001935075086349344,0.00046051394347977875,-0.00345376761852603,-0.009608096207625018,0.004607876656003665,-0.0002653159788221537,9.693900317126908e-05,-0.00523603220235775,-0.009760912238809323,-0.010469677085858371,0.005665126722150532,-0.032663114869646605,-0.026997988147506903,1.0831613383999183e-14
2007-06-01,4.052952778602483e-05,-0.0013450476543303896,0.0011124535177653577,7.10571748992299e-05,-0.0005943142353348385,0.0019366900371065902,-0.006007703060577856,-0.007503057165447545,-0.0027030346196665433,3.020388313727306e-06,-5.5030841274189655e-05,-0.002083386413148469,-0.0022446434141848697,-0.004058170521627217,0.005665126722150532,-0.02343063727972099,-0.017765510557576972,6.512151928816934e-15
2007-07-01,0.0001726036990400678,-0.000369881794945691,0.0009567100252782082,-2.7192497131503457e-05,-0.0026736747183771304,0.002394588010874216,0.007523463143943517,0.0048874202588615814,0.004076462256744033,-0.000642349364056151,0.001138947027053582,-0.0013491839821625012,-0.007478593929643558,-0.00870667299988204,0.005665126722150532,-9.735486440336921e-05,0.005567771857737487,9.675420187260642e-15
2007-08-01,-0.0004413024226983675,0.002720430604736196,0.000538427502598434,-2.860170420081111e-05,0.0012006879456549122,0.006139227936415548,0.014166864895108877,-0.0023835759761133626,-0.0048668314066752875,0.0004644546559852263,0.00010550682017930182,-0.0016321975072032917,0.007019726882625642,-0.01588852905347957,0.005665126722150532,0.007114289172933452,0.012779415895072286,1.169724039851161e-14
2007-09-01,0.0006035907038186383,0.0038021068077959113,0.0016341942175973141,1.4622308204799032e-05,-0.0028787738062164515,-0.001984958718801534,-0.0016214239384524528,0.001003921641487562,0.004398724617087981,-0.0003097730793003658,-0.0007590334476480188,-0.0017657975359618248,-0.009095337482268118,-0.014668463586671966,0.005665126722150532,-0.021626401299328527,-0.01596127457719233,1.433228535852038e-14
