p_cambio_trm,aic,bic,r_cuadrado_ajustado
0,-1103.3074291126252,-1075.4623177258893,0.4792107613916473
1,-1102.4285921885037,-1071.1028418784258,0.47939396972285653
2,-1100.4629485722746,-1065.6565593388548,0.4772053094962182
3,-1098.505926205641,-1060.218898048879,0.4750163823067374
