modelo,observaciones,mae_log,rmse_log,mape_pct,acierto_direccion_pct
ADL diferencias condicional,48,0.015080633256632595,0.02159504885669752,1.5088806994784947,83.33333333333334
Caminata aleatoria,48,0.024028760243602603,0.03221545509726062,2.394031003568149,
