fecha,ln_trm_observada,ln_trm_modelo_condicional,ln_trm_caminata_aleatoria,cambio_log_observado,cambio_log_modelo,trm_observada,trm_modelo_condicional,trm_caminata_aleatoria
2022-05-01,8.298808139175573,8.272751079490853,8.240907796093667,0.05790034308190606,0.03184328339718579,4019.079354838708,3915.706607982421,3792.9819999999972
2022-06-01,8.276589766414325,8.28329698451912,8.298808139175573,-0.022218372761248162,-0.01551115465645387,3930.766666666666,3957.2197902839,4019.079354838708
2022-07-01,8.382016058206503,8.31067945351437,8.276589766414325,0.10542629179217755,0.03408968710004483,4367.805806451614,4067.075433817815,3930.766666666666
2022-08-01,8.371582127847805,8.380565763346263,8.382016058206503,-0.010433930358697552,-0.0014502948602392873,4322.469354838713,4361.475791443631,4367.805806451614
2022-09-01,8.396978677110038,8.405774525364944,8.371582127847805,0.02539654926223278,0.034192397517138456,4433.650999999996,4472.820734394597,4322.469354838713
2022-10-01,8.457831715043978,8.426391756436736,8.396978677110038,0.06085303793394026,0.029413079326697605,4711.830322580648,4565.995111400997,4433.650999999996
2022-11-01,8.502416687971365,8.418911192395665,8.457831715043978,0.044584972927387057,-0.0389205226483131,4926.660666666665,4531.966328487972,4711.830322580648
2022-12-01,8.473970535354521,8.472660839275024,8.502416687971365,-0.028446152616844245,-0.029755848696341958,4788.490645161287,4782.223282802434,4926.660666666665
2023-01-01,8.458547432938246,8.446567815161053,8.473970535354521,-0.015423102416274759,-0.027402720193468063,4715.203870967738,4659.05452619996,4788.490645161287
2023-02-01,8.477019424251225,8.461603068830314,8.458547432938246,0.018471991312978275,0.003055635892068051,4803.112499999996,4729.633852311122,4715.203870967738
2023-03-01,8.469326819773904,8.49174326604766,8.477019424251225,-0.007692604477320231,0.014723841796435079,4766.3058064516135,4874.355970296295,4803.112499999996
2023-04-01,8.421271177813114,8.44967194854569,8.469326819773904,-0.04805564196079004,-0.01965487122821464,4542.674333333336,4673.539322634813,4766.3058064516135
2023-05-01,8.420701901472638,8.425814010691314,8.421271177813114,-0.0005692763404763213,0.004542832878199112,4540.089032258067,4563.357889047119,4542.674333333336
2023-06-01,8.345044039825018,8.412354062206363,8.420701901472638,-0.07565786164762045,-0.008347839266274497,4209.267999999998,4502.346850770714,4540.089032258067
2023-07-01,8.311209943353095,8.329131295447224,8.345044039825018,-0.03383409647192259,-0.01591274437779252,4069.2335483870993,4142.817104548313,4209.267999999998
2023-08-01,8.311576434873045,8.32684643797366,8.311209943353095,0.00036649151994971874,0.015636494620565544,4070.7251612903224,4133.3621636349335,4069.2335483870993
2023-09-01,8.295179168611119,8.333688880674108,8.311576434873045,-0.016397266261925836,0.022112445801063866,4004.52066666667,4161.741438456656,4070.7251612903224
2023-10-01,8.348166834656725,8.32935750001953,8.295179168611119,0.05298766604560612,0.03417833140841133,4222.433225806451,4143.7543347184655,4004.52066666667
2023-11-01,8.303704052588216,8.322828558887894,8.348166834656725,-0.044462782068508844,-0.025338275768831457,4038.804666666669,4116.788132766456,4222.433225806451
2023-12-01,8.281016773597672,8.28530036800517,8.303704052588216,-0.022687278990543902,-0.0184036845830447,3948.2067741935466,3965.155565608827,4038.804666666669
2024-01-01,8.272621363120876,8.288664382430355,8.281016773597672,-0.008395410476795817,0.007647608832683284,3915.1987096774164,3978.516867335142,3948.2067741935466
2024-02-01,8.276760699123423,8.288761459091475,8.272621363120876,0.004139336002547012,0.016140095970599164,3931.4386206896565,3978.9031072159696,3915.1987096774164
2024-03-01,8.268562917935254,8.27607327571361,8.276760699123423,-0.008197781188169273,-0.0006874234098126233,3899.3412903225835,3928.7369864372545,3931.4386206896565
2024-04-01,8.26048647944151,8.289426608025536,8.268562917935254,-0.00807643849374351,0.020863690090282355,3867.9753333333356,3981.5505507509824,3899.3412903225835
2024-05-01,8.260777367585563,8.267608564819547,8.26048647944151,0.00029088814405220376,0.007122085378035353,3869.100645161288,3895.6217169884703,3867.9753333333356
2024-06-01,8.304692058140274,8.282053780063976,8.260777367585563,0.0439146905547112,0.021276412478412724,4042.7970000000014,3952.303213798764,3869.100645161288
2024-07-01,8.30323778340659,8.314992262940725,8.304692058140274,-0.001454274733683647,0.010300204800450553,4036.92193548387,4084.653833984466,4042.7970000000014
2024-08-01,8.310303441388276,8.317046051843066,8.30323778340659,0.007065657981685902,0.013808268436476251,4065.546451612903,4093.051471233898,4036.92193548387
2024-09-01,8.338667381651211,8.309955809483355,8.310303441388276,0.02836394026293476,-0.00034763190492093305,4182.5123333333295,4064.1333835833807,4065.546451612903
2024-10-01,8.354549548259685,8.360503885989838,8.338667381651211,0.01588216660847408,0.021836504338626855,4249.470000000003,4274.848259939178,4182.5123333333295
2024-11-01,8.39132432838928,8.380150156673094,8.354549548259685,0.03677478012959412,0.02560060841340872,4408.652333333335,4359.663509624138,4249.470000000003
2024-12-01,8.385978817498613,8.40957150919964,8.39132432838928,-0.005345510890666816,0.01824718081036049,4385.148709677422,4489.836245786601,4408.652333333335
2025-01-01,8.368128619899991,8.400728617601438,8.385978817498613,-0.017850197598621165,0.01474980010282589,4307.567419354838,4450.308139531168,4385.148709677422
