submuestra,inicio,fin,observaciones,r2,r2_ajustado,factor,grupo,coeficiente,p_valor_hac,shapley_r2,peso_entre_factores_pct,rango_peso,signo_coincide_muestra_completa,diferencia_peso_vs_completa_pp
Muestra completa,2006-05-01,2026-04-01,240,0.6747125835247962,0.6280206098680684,Términos de intercambio,Sector externo Colombia,0.01681672679306124,0.6914817495214264,0.02818421102710698,4.290670274957061,7,True,0.0
Muestra completa,2006-05-01,2026-04-01,240,0.6747125835247962,0.6280206098680684,Remesas,Sector externo Colombia,0.16805047727750644,0.13881325836431047,0.0075344046486224775,1.1470126317976657,10,True,0.0
Muestra completa,2006-05-01,2026-04-01,240,0.6747125835247962,0.6280206098680684,Diferencial de tasas,Política doméstica,0.0010886325718593307,0.836647201421819,0.001294765960193389,0.1971108509329898,12,True,0.0
Muestra completa,2006-05-01,2026-04-01,240,0.6747125835247962,0.6280206098680684,Déficit fiscal,Política doméstica,2.659577716118233e-05,0.9938090068992048,0.0006269681266878536,0.09544753627972029,13,True,0.0
Muestra completa,2006-05-01,2026-04-01,240,0.6747125835247962,0.6280206098680684,Dólar amplio,Mercados financieros globales,0.161761700885984,0.3626678427932934,0.10152492722946813,15.455816272866292,3,True,0.0
Muestra completa,2006-05-01,2026-04-01,240,0.6747125835247962,0.6280206098680684,VIX,Mercados financieros globales,0.014637699805805492,0.1686971916583357,0.04020345918773913,6.120440523290681,6,True,0.0
Muestra completa,2006-05-01,2026-04-01,240,0.6747125835247962,0.6280206098680684,Riesgo soberano EMBIG Colombia,Riesgo local,0.02477547095291928,0.020416934635134887,0.09368468659071881,14.262244190084273,4,True,0.0
Muestra completa,2006-05-01,2026-04-01,240,0.6747125835247962,0.6280206098680684,Reservas internacionales,Sector externo Colombia,-0.2512275096010546,0.038086640829319084,0.013302167855732345,2.0250776633834575,9,True,0.0
Muestra completa,2006-05-01,2026-04-01,240,0.6747125835247962,0.6280206098680684,Balanza comercial cambiaria,Sector externo Colombia,0.05447805531832452,2.2691057056208733e-06,0.04250564576247895,6.470917728210165,5,True,0.0
Muestra completa,2006-05-01,2026-04-01,240,0.6747125835247962,0.6280206098680684,Flujos netos de capital,Sector externo Colombia,0.0006645981566286044,0.8323785442550673,0.022350633956746302,3.402585960359985,8,True,0.0
Muestra completa,2006-05-01,2026-04-01,240,0.6747125835247962,0.6280206098680684,Diferencial de compensación inflacionaria 5 años,Política doméstica,-0.0024021481994199036,0.5754884323455656,0.0020876347395231273,0.3178145491894244,11,True,0.0
Muestra completa,2006-05-01,2026-04-01,240,0.6747125835247962,0.6280206098680684,Monedas regionales,Regional,0.017579526227288617,1.111672988092937e-06,0.16152495197350242,24.590019902633163,1,True,0.0
Muestra completa,2006-05-01,2026-04-01,240,0.6747125835247962,0.6280206098680684,"Condiciones financieras, commodities y actividad internacional",Condiciones financieras y actividad internacional,-344.51233556309944,0.2404991434234321,0.14204752845868598,21.624841916015214,2,True,0.0
Primera mitad,2006-05-01,2016-04-01,120,0.6989242898545551,0.6019110054743562,Términos de intercambio,Sector externo Colombia,-0.018036080815027916,0.7999128696395716,0.03505387017925708,5.015403054106593,8,False,0.7247327791495319
Primera mitad,2006-05-01,2016-04-01,120,0.6989242898545551,0.6019110054743562,Remesas,Sector externo Colombia,0.05166767291307607,0.7734028461625808,0.0036535494661904928,0.5227389460095747,11,True,-0.624273685788091
Primera mitad,2006-05-01,2016-04-01,120,0.6989242898545551,0.6019110054743562,Diferencial de tasas,Política doméstica,-0.009987294189567564,0.3270705945323922,0.002831518379619185,0.40512519320347373,12,False,0.20801434227048393
Primera mitad,2006-05-01,2016-04-01,120,0.6989242898545551,0.6019110054743562,Déficit fiscal,Política doméstica,-0.0033349468526833134,0.5555026303302179,0.0017594969855369864,0.25174357381443835,13,False,0.15629603753471805
Primera mitad,2006-05-01,2016-04-01,120,0.6989242898545551,0.6019110054743562,Dólar amplio,Mercados financieros globales,0.4650639735626076,0.21678028707147748,0.11554130479560727,16.53130481695733,3,True,1.075488544091039
Primera mitad,2006-05-01,2016-04-01,120,0.6989242898545551,0.6019110054743562,VIX,Mercados financieros globales,0.02102521229519673,0.37468254995301065,0.05070149910662535,7.254219068159417,5,True,1.1337785448687354
Primera mitad,2006-05-01,2016-04-01,120,0.6989242898545551,0.6019110054743562,Riesgo soberano EMBIG Colombia,Riesgo local,0.012929886279276315,0.484021483614721,0.07442765333851827,10.648886355632145,4,True,-3.6133578344521275
Primera mitad,2006-05-01,2016-04-01,120,0.6989242898545551,0.6019110054743562,Reservas internacionales,Sector externo Colombia,-0.18552150018760938,0.2896493073255231,0.017138660075843793,2.4521482976948548,9,True,0.42707063431139725
Primera mitad,2006-05-01,2016-04-01,120,0.6989242898545551,0.6019110054743562,Balanza comercial cambiaria,Sector externo Colombia,0.05511429140434573,0.008199243944030654,0.039708459238617815,5.681367755423453,6,True,-0.7895499727867117
Primera mitad,2006-05-01,2016-04-01,120,0.6989242898545551,0.6019110054743562,Flujos netos de capital,Sector externo Colombia,-0.008690681342225389,0.15562832034304622,0.03535287871431394,5.058184302290011,7,False,1.6555983419300255
Primera mitad,2006-05-01,2016-04-01,120,0.6989242898545551,0.6019110054743562,Diferencial de compensación inflacionaria 5 años,Política doméstica,-0.003950496849866313,0.48491027055312763,0.0067574236544681214,0.9668319949038456,10,True,0.6490174457144212
Primera mitad,2006-05-01,2016-04-01,120,0.6989242898545551,0.6019110054743562,Monedas regionales,Regional,0.019001303792196826,0.03681993882265502,0.1379956271486491,19.744002197630024,2,True,-4.846017705003138
Primera mitad,2006-05-01,2016-04-01,120,0.6989242898545551,0.6019110054743562,"Condiciones financieras, commodities y actividad internacional",Condiciones financieras y actividad internacional,-150.2782857046102,0.6929418882438884,0.17800234877128723,25.468044444175025,1,True,3.843202528159811
