modelo,observaciones,mae_log,rmse_log,mape_pct,acierto_direccion_pct
ADL diferencias condicional,48,0.014889606499019234,0.02115698876766186,1.4880575610513929,83.33333333333334
Caminata aleatoria,48,0.024028760243602603,0.03221545509726062,2.394031003568149,
