termino,coeficiente,error_estandar_hac,estadistico_t,p_valor,ic_95_inferior,ic_95_superior
const,0.005665126722552821,0.0021877612201581503,2.5894629954832533,0.010294981219256613,0.0013519764973110738,0.009978276947794568
D.ln_terminos_intercambio.L0,0.014818866025542513,0.0432509459981764,0.34262524630483976,0.7322280660728413,-0.07044995844903516,0.10008769050012019
D.ln_remesas_12m.L1,0.19704424928876835,0.10299823024275573,1.913083834783921,0.0571172968252256,-0.006015772014163978,0.4001042705917007
D.diferencial_tasas_pp.L1,0.00344860590626238,0.0054341586314754385,0.634616348202931,0.5263794273013872,-0.007264785623574384,0.014161997436099144
D.deficit_fiscal_12m_pct_pib.L1,-0.00012279767701313892,0.003416528023373771,-0.03594224199919719,0.9713630496207072,-0.006858449848640021,0.006612854494613743
D.ln_dolar_amplio.L0,0.20246635841670926,0.1848408007416637,1.0953553414848018,0.2746337959007322,-0.16194550427054502,0.5668782211039636
D.ln_vix.L0,0.01655872488618192,0.010378492245264692,1.5954846325329222,0.11212948545214291,-0.003902372857427047,0.03701982262979089
D.embig_colombia_pp.L0,0.027788934864407915,0.010743300441888412,2.586629222064583,0.01037729138282507,0.006608621266280833,0.048969248462534996
D.ln_reservas_netas_sin_flar.L1,-0.2379418863346012,0.11998870700756473,-1.983035672845446,0.04868559473178989,-0.47449846933259965,-0.00138530333660275
D.asinh_balanza_comercial.L1,0.05473103077841764,0.011742869688615697,4.660788395827765,5.6370216742109985e-06,0.03158007601436165,0.07788198554247364
D.asinh_flujos_capital.L1,0.0005988483452402642,0.002925333022731698,0.2047111698349664,0.8379989374971697,-0.005168417602087502,0.0063661142925680305
D.diferencial_bei_5y_pp.L1,-0.0017153993723854639,0.004143531868857265,-0.41399449230217933,0.6793067734463312,-0.009884332640233659,0.006453533895462731
D.ln_ise_total_dane.L0,-0.21001408365560872,0.0886160689885547,-2.36993229391312,0.018710290545655005,-0.3847198122315971,-0.03530835507962035
D.ln_ipc_colombia.L0,-0.707078516610665,0.3681024862893168,-1.9208740580331856,0.05612149457157266,-1.43278903155253,0.018631998331199884
factor_monedas_regionales_4.L0,0.01613552608456127,0.00363261056617482,4.441854085546021,1.4513310794299115e-05,0.008973869255951856,0.02329718291317068
D.yield_real_10y_tips_pct.L0,-285.78701150003076,281.5630402494423,-1.0150018668886598,0.3112898325548764,-840.8858400567615,269.31181705669997
D.yield_real_5y_us_pct.L0,-0.09764471825872974,0.06267413952430502,-1.5579746128124046,0.120766817108552,-0.22120618214944976,0.0259167456319903
D.yield_2y_us_pct.L0,-415.41214832003993,255.40750724742784,-1.626468042372797,0.10537145647590054,-918.9455948691302,88.12129822905041
D.yield_10y_us_pct.L0,701.2985246750264,321.7207348840806,2.179836263670452,0.030397740021167227,67.02918698656379,1335.567862363489
D.spread_10y_2y_us_pct.L0,-415.4571238779784,255.40826798307475,-1.6266392907276974,0.10533502949864595,-918.9920702100874,88.07782245413057
D.breakeven_5y_us_pct.L0,-0.10213270544594183,0.06144715829844751,-1.6621225175277512,0.09800176525503156,-0.22327518763888218,0.019009776746998525
D.breakeven_10y_us_pct.L0,-285.7188066167736,281.5656252084818,-1.0147503140882934,0.31140946958175175,-840.822731395414,269.3851181618669
D.epu_global.L0,-1.8578486129160365e-05,2.9656110906051543e-05,-0.6264640089867377,0.531700872681981,-7.704522384059303e-05,3.988825158227229e-05
D.estres_financiero_stl.L0,0.0034200079849157784,0.005919971908051594,0.5777067928758779,0.5640899584077995,-0.008251159751932465,0.015091175721764022
D.nfci_chicago.L0,0.024820898576718084,0.04826623724403746,0.5142497114747497,0.6076259846358941,-0.07033552440149102,0.11997732155492719
D.anfci_chicago.L0,-0.047635875102967316,0.039797491851981136,-1.1969567147633196,0.23269242988406358,-0.1260962479095666,0.030824497703631985
D.ln_brent_global.L0,-0.014465121972409595,0.030513924583268532,-0.4740498696893662,0.6359639830285582,-0.07462303110648794,0.04569278716166874
D.ln_commodities_global.L0,-0.16719493725656145,0.06280620537669923,-2.6620767208233516,0.008375916343255324,-0.2910167677063704,-0.043373106806752465
D.desempleo_us_pct.L0,-0.011315631575607634,0.005406638608500255,-2.0929143586215155,0.03757518192411736,-0.021974767644564856,-0.0006564955066504126
D.ln_empleo_manufactura_us.L0,0.08916655426849662,0.5727755486646101,0.15567451242704544,0.8764412919170566,-1.0400549366203227,1.2183880451573157
D.ln_produccion_industrial_us.L0,-0.5794178016293209,0.3524150940432595,-1.644134463656646,0.10166628914260492,-1.2742007734846297,0.11536517022598791
D.ln_fletes_transporte_us.L0,0.24883526113239526,0.13078204733058252,1.9026714003291703,0.05847136803033906,-0.00900028860858701,0.5066708108733775
dummy_pandemia_2020,-0.0026698014677354817,0.010521143550941166,-0.25375582557246407,0.7999360677780623,-0.02341213488987295,0.018072531954401987
