termino,coeficiente,error_estandar_hac,estadistico_t,p_valor,ic_95_inferior,ic_95_superior
const,0.002485895018392796,0.00181035829386942,1.3731508435711357,0.17117682751900837,-0.001083008140183631,0.006054798176969223
D.ln_terminos_intercambio.L0,0.01681672679306124,0.04231740849363699,0.39739500578325504,0.6914817495214264,-0.0666069431772123,0.1002403967633348
D.ln_remesas_12m.L1,0.16805047727750644,0.11309699680976719,1.4858969028167281,0.13881325836431047,-0.054906619395976686,0.39100757395098956
D.diferencial_tasas_pp.L1,0.0010886325718593307,0.005273328040184137,0.20644127646974855,0.836647201421819,-0.009307098020562437,0.0114843631642811
D.deficit_fiscal_12m_pct_pib.L1,2.659577716118233e-05,0.003423485940125187,0.007768624620146622,0.9938090068992048,-0.006722394092098395,0.0067755856464207604
D.ln_dolar_amplio.L0,0.161761700885984,0.17731414941169144,0.9122887339938255,0.3626678427932934,-0.187791771505997,0.5113151732779649
D.ln_vix.L0,0.014637699805805492,0.010597932755468014,1.3811844388475816,0.1686971916583357,-0.006254847163186118,0.0355302467747971
D.embig_colombia_pp.L0,0.02477547095291928,0.010604079867248005,2.336409312555382,0.020416934635134887,0.0038708056940167587,0.0456801362118218
D.ln_reservas_netas_sin_flar.L1,-0.2512275096010546,0.12036847886422614,-2.0871536466323173,0.038086640829319084,-0.4885194566517096,-0.0139355625503996
D.asinh_balanza_comercial.L1,0.05447805531832452,0.011202105281234307,4.863197939193251,2.2691057056208733e-06,0.03239445504080593,0.0765616555958431
D.asinh_flujos_capital.L1,0.0006645981566286044,0.0031361293335815405,0.21191669282006814,0.8323785442550673,-0.005517902800350831,0.0068470991136080385
D.diferencial_bei_5y_pp.L1,-0.0024021481994199036,0.004282913056244606,-0.5608678410871556,0.5754884323455656,-0.010845395034094341,0.006041098635254533
factor_monedas_regionales_4.L0,0.017579526227288617,0.003502874171383354,5.018600545490367,1.111672988092937e-06,0.010674032029438101,0.024485020425139132
D.yield_real_10y_tips_pct.L0,-344.51233556309944,292.68188222445366,-1.1770880142792635,0.2404991434234321,-921.4993869474645,232.4747158212656
D.yield_real_5y_us_pct.L0,-0.09219194146926059,0.06013862409662477,-1.5329905340224566,0.12679049578019633,-0.2107479898590749,0.0263641069205537
D.yield_2y_us_pct.L0,-325.0102300983766,261.4774475678776,-1.2429761462085802,0.21526925056884458,-840.4814998915652,190.46103969481203
D.yield_10y_us_pct.L0,669.6140757541912,319.4502891425625,2.096144841663798,0.037272813063217114,39.856336753119194,1299.3718147552631
D.spread_10y_2y_us_pct.L0,-325.05115395797003,261.4767644521498,-1.2431359040219971,0.21521050379095416,-840.5210770708429,190.41876915490292
D.breakeven_5y_us_pct.L0,-0.10115746571115937,0.05824816414702817,-1.7366635874706866,0.08392000903946167,-0.21598670018346072,0.01367176876114197
D.breakeven_10y_us_pct.L0,-344.439641838963,292.6838019748465,-1.1768319241273366,0.2406011366926914,-921.4304777798238,232.55119410189786
D.epu_global.L0,-1.4025202590386485e-05,3.1132207884633654e-05,-0.4505045913338223,0.6528136281721558,-7.539859780678178e-05,4.734819262600881e-05
D.estres_financiero_stl.L0,0.0038292600054937063,0.005810606668545215,0.6590120832344047,0.5106134161978777,-0.0076256506400075265,0.015284170650994938
D.nfci_chicago.L0,0.028027223102942755,0.051004026229071124,0.549510012740286,0.5832421722962248,-0.07252106666128028,0.1285755128671658
D.anfci_chicago.L0,-0.046982053064139086,0.0422709236216259,-1.1114508281078335,0.267651272813696,-0.13031408371245728,0.03634997758417912
D.ln_brent_global.L0,-0.024478393616882033,0.03290921098156349,-0.7438158766734152,0.45782326704383824,-0.08935493624167118,0.040398149007907114
D.ln_commodities_global.L0,-0.1535902537490294,0.06323246001650489,-2.428977991824759,0.015986821130859783,-0.2782454267286934,-0.02893508076936542
D.desempleo_us_pct.L0,-0.0091549623998579,0.005401990487021275,-1.6947387119346928,0.09161441151553965,-0.019804335497446854,0.001494410697731055
D.ln_empleo_manufactura_us.L0,0.056460931760666355,0.6165382916300844,0.09157733189837661,0.9271215754518973,-1.1589699936164921,1.2718918571378248
D.ln_produccion_industrial_us.L0,-0.5424749371852347,0.3542127397144976,-1.531494710276316,0.1271593937897937,-1.2407626572768813,0.15581278290641198
D.ln_fletes_transporte_us.L0,0.2224069851766529,0.13148118543743384,1.691549893140313,0.09222229307892058,-0.036792323374628205,0.48160629372793395
dummy_pandemia_2020,0.005153257108322089,0.00948349822489711,0.5433920043126279,0.5874390311427546,-0.01354231651586266,0.023848830732506838
