fecha,Términos de intercambio,Remesas,Diferencial de tasas,Déficit fiscal,Dólar amplio,VIX,otros_componentes,suma_factores,ajuste_total,cierre_contable
2006-05-01,0.0006696054280218286,0.0017292135536352252,0.0019792159234840083,0.0035266929187370306,-0.028842498632527934,0.007630027992401102,-0.0005941980394302418,-0.01330774281624874,-0.01390194085567898,0.0
2006-06-01,0.00017734841222654887,0.007639095858245378,-0.0009098008680531309,-0.0023720308845501708,0.015343812884977786,0.0060382072480420846,-0.0005941980394302418,0.025916632650888494,0.025322434611458253,0.0
2006-07-01,-0.0018248812208403432,0.005454490932665932,-0.0004096764142695356,0.000653541008330023,-0.0032847205954939494,-0.0037925134387407464,-0.0005941980394302418,-0.0032037597283486197,-0.0037979577677788616,0.0
2006-08-01,0.0025672346353937895,0.0038549581697055048,0.0008246733014516665,-0.0006485928464629864,-0.009421533619974517,-0.005290071909735107,-0.0005941980394302418,-0.008113332269621649,-0.008707530309051893,3.469446951953614e-18
2006-09-01,0.004925214956643989,0.0026057207964677825,-0.0006991101407145179,9.003900333267933e-05,0.003485835776604331,-0.003509296628978314,-0.0005941980394302418,0.0068984037633559505,0.006304205723925708,8.673617379884035e-19
2006-10-01,0.00037640365924612983,0.002618277532175079,-0.0016759489674662924,-0.0011209401942075359,0.0043412966992430165,-0.0028693256444802403,-0.0005941980394302418,0.0016697630845101574,0.0010755650450799147,8.673617379884035e-19
2006-11-01,0.00025172459095052435,0.0033781158005491358,-0.0025538269980438775,0.0011717979512444333,-0.010444981012961853,-0.0016951329186796493,-0.0005941980394302418,-0.009892302586941288,-0.010486500626371529,-1.734723475976807e-18
2006-12-01,-0.0029338126905332934,0.0027997789612239908,-0.0023942128106661394,-0.0018966344610431495,-0.009422542847670128,0.0005173522924034245,-0.0005941980394302418,-0.013330071556285294,-0.013924269595715537,1.734723475976807e-18
2007-01-01,0.0044416105355892235,0.0019628813818703414,-0.001216260107818399,-0.000383990392574796,0.01360490193715294,0.000271925552995984,-0.0005941980394302418,0.018681068907215295,0.018086870867785054,0.0
2007-02-01,-0.0037431427965193393,0.0027366059349201903,-0.0014971810776032253,-0.003390406244913844,-0.004664209341151656,0.0003897410893538941,-0.0005941980394302418,-0.010168592435913979,-0.01076279047534422,0.0
