p_cambio_trm,aic,bic,r_cuadrado_ajustado
0,-1167.1157372416667,-1052.254652771381,0.6367240559162006
1,-1169.4548375082218,-1051.113114114594,0.641501038928435
2,-1167.5467540200318,-1045.724391703062,0.6398902067389518
3,-1166.0637531473367,-1040.760751907025,0.6389036614582158
