fecha,cambio_log_observado,cambio_log_ajustado,ln_trm_mes_anterior,trm_observada,trm_ajustada_un_paso,residuo_cambio_log
2006-05-01,0.03513841925748107,-0.01390194085567907,7.755826126252273,2418.6493548387098,2302.899327881746,0.04904036011316014
2006-06-01,0.04982844852150414,0.025322434611458326,7.7909645455097545,2542.22,2480.677482106063,0.024506013910045817
2006-07-01,-0.011282585389189137,-0.0037979577677788867,7.840792994031259,2513.6983870967747,2532.583067718484,-0.00748462762141025
2006-08-01,-0.05088714774135372,-0.008707530309051914,7.8295104086420695,2388.9835483870975,2491.905301876129,-0.04217961743230181
2006-09-01,0.004062555075931229,0.006304205723925689,7.778623260900716,2398.7086666666664,2404.0917647621463,-0.0022416506479944597
2006-10-01,-0.015507999218544732,0.0010755650450799284,7.782685815976647,2361.7964516129027,2401.290021820699,-0.016583564263624662
2006-11-01,-0.03067947212335209,-0.010486500626371575,7.767177816758102,2290.4380000000006,2337.1588783828847,-0.020192971496980516
2006-12-01,-0.01306614007567486,-0.013924269595715518,7.73649834463475,2260.7054838709682,2258.7663378973384,0.000858129520040659
2007-01-01,-0.010897919068785455,0.018086870867785064,7.723432204559075,2236.202258064517,2301.9665893483243,-0.02898478993657052
2007-02-01,-0.0038678616028011703,-0.010762790475344168,7.71253428549029,2227.569642857143,2212.2635365060096,0.006894928872542998
2007-03-01,-0.011161657819650728,0.00490924530533686,7.708666423887489,2202.8445161290324,2238.532215630991,-0.016070903124987587
2007-04-01,-0.026656245024335945,-0.02924006035987727,7.697504766067838,2144.900666666667,2139.3657930558593,0.0025838153355413236
2007-05-01,-0.06524936632637068,-0.015464406868657861,7.670848521043502,2009.4154838709676,2111.986207309476,-0.04978495945771282
2007-06-01,-0.04367958327761645,-0.008008627436735118,7.605599154717131,1923.534333333333,1993.3870922725414,-0.035670955840881334
2007-07-01,0.014610042929533051,-0.01523489873764579,7.561919571439515,1951.8435483870976,1894.451581448506,0.02984494166717884
2007-08-01,0.052030216662443785,0.02756929173890494,7.576529614369048,2056.0867741935485,2006.403121297414,0.024460924923538845
2007-09-01,0.02747912001290409,-0.02732314382910077,7.628559831031492,2113.3696666666665,2000.6685670411928,0.05480226384200486
2007-10-01,-0.054593574392353794,-0.03219562365389113,7.656038951044396,2001.086129032258,2046.4120667680884,-0.022397950738462666
2007-11-01,0.022371041441997086,-0.003086791228152987,7.601445376652042,2046.357,1994.9187175752436,0.025457832670150074
2007-12-01,-0.01602051495951251,0.010811713167168165,7.623816418094039,2013.8345161290322,2068.601659674655,-0.026832228126680676
2008-01-01,-0.015336892620586795,-0.002957914324230914,7.607795903134527,1983.1841935483867,2007.8865672653924,-0.012378978296355881
2008-02-01,-0.04006733175866817,-0.014747918602515854,7.59245901051394,1905.2941379310348,1954.150970521056,-0.025319413156152312
2008-03-01,-0.032974135724953335,-0.03396777925049706,7.552391678755272,1843.4932258064518,1841.6623604626325,0.000993643525543722
2008-04-01,-0.026599862138602326,-0.016266918453298793,7.519417543030318,1795.1029999999996,1813.7478604629869,-0.010332943685303533
2008-05-01,-0.011174022832282304,-0.00753990300715227,7.492817680891716,1775.1561290322572,1781.6189954160727,-0.0036341198251300345
2008-06-01,-0.024446263124291434,0.012074495507368818,7.481643658059434,1732.2863333333335,1796.720169199529,-0.03652075863166025
2008-07-01,0.02775824529879145,-0.006165115728156384,7.457197394935142,1781.0451612903223,1721.639440998539,0.03392336102694783
2008-08-01,0.03662079024300713,0.0422309984365974,7.484955640233934,1847.4774193548383,1857.8712809122824,-0.005610208193590274
2008-09-01,0.11188372817531445,0.04636958013642267,7.521576430476941,2066.1870000000004,1935.161395694769,0.06551414803889177
2008-10-01,0.10234815173954459,0.1286417847851821,7.633460158652255,2288.8580645161287,2349.8386458428463,-0.026293633045637504
2008-11-01,0.019384962015591256,0.0378856928290722,7.7358083103918,2333.660333333334,2377.2366085161534,-0.018500730813480942
2008-12-01,-0.03583674791915925,-0.039740210636281206,7.755193272407391,2251.5103225806456,2242.7387668373403,0.0039034627171219555
2009-01-01,0.000886037422334951,0.012422155572352198,7.719356524488232,2253.506129032258,2279.6533708473257,-0.011536118150017247
2009-02-01,0.10872901270107249,0.02935789835052189,7.720242561910567,2512.344285714285,2320.6450394486114,0.07937111435055061
2009-03-01,-0.017145994497894,-0.001597092354373996,7.828971574611639,2469.634838709678,2508.3350422822305,-0.015548902143520005
2009-04-01,-0.03923807027332327,-0.027161249153150012,7.811825580113745,2374.607666666667,2403.459245702008,-0.012076821120173255
2009-05-01,-0.06403417564529601,-0.055342263048152075,7.772587509840422,2227.3177419354834,2246.761773571045,-0.008691912597143935
2009-06-01,-0.0638922362952794,-0.019024120768799176,7.708553334195126,2089.460333333333,2185.3454886953305,-0.04486811552648023
