fecha,cambio_log_observado,cambio_log_ajustado,ln_trm_mes_anterior,trm_observada,trm_ajustada_un_paso,residuo_cambio_log
2006-05-01,0.03513841925748107,0.011517010433335187,7.755826126252273,2418.6493548387098,2362.186935907597,0.02362140882414588
2006-06-01,0.04982844852150414,0.027170335761158664,7.7909645455097545,2542.22,2485.265766920025,0.02265811276034548
2006-07-01,-0.011282585389189137,-0.011531997114764436,7.840792994031259,2513.6983870967747,2513.071519421796,0.0002494117255752992
2006-08-01,-0.05088714774135372,-0.029220239708198804,7.8295104086420695,2388.9835483870975,2441.310267255203,-0.02166690803315492
2006-09-01,0.004062555075931229,0.02349914657467731,7.778623260900716,2398.7086666666664,2445.787430381577,-0.019436591498746082
2006-10-01,-0.015507999218544732,-0.011870806243677446,7.782685815976647,2361.7964516129027,2370.4024023390725,-0.0036371929748672868
2006-11-01,-0.03067947212335209,-0.014632637481268208,7.767177816758102,2290.4380000000006,2327.4887584945086,-0.016046834642083882
2006-12-01,-0.01306614007567486,-0.015265699564850146,7.73649834463475,2260.7054838709682,2255.738392380891,0.0021995594891752873
2007-01-01,-0.010897919068785455,-0.0018243128483504177,7.723432204559075,2236.202258064517,2256.5850094703856,-0.009073606220435038
2007-02-01,-0.0038678616028011703,-0.0121063987327015,7.71253428549029,2227.569642857143,2209.2931169379112,0.008238537129900329
2007-03-01,-0.011161657819650728,-0.009610584518835815,7.708666423887489,2202.8445161290324,2206.263940647339,-0.001551073300814913
2007-04-01,-0.026656245024335945,-0.05537505413319319,7.697504766067838,2144.900666666667,2084.177791667444,0.028718809108857248
2007-05-01,-0.06524936632637068,-0.026760091837146227,7.670848521043502,2009.4154838709676,2088.2641073674145,-0.038489274489224456
2007-06-01,-0.04367958327761645,-0.01822889020621929,7.605599154717131,1923.534333333333,1973.1179070203464,-0.025450693071397162
2007-07-01,0.014610042929533051,0.0025486574301017534,7.561919571439515,1951.8435483870976,1928.44301602225,0.012061385499431298
2007-08-01,0.052030216662443785,0.012897777506764308,7.576529614369048,2056.0867741935485,1977.1810396188266,0.039132439155679474
2007-09-01,0.02747912001290409,-0.01739831092593257,7.628559831031492,2113.3696666666665,2020.6237302919064,0.04487743093883666
2007-10-01,-0.054593574392353794,-0.0359774461670274,7.656038951044396,2001.086129032258,2038.6875151908523,-0.018616128225326392
2007-11-01,0.022371041441997086,-0.010019064291324667,7.601445376652042,2046.357,1981.1372200290143,0.03239010573332175
2007-12-01,-0.01602051495951251,-0.00928205447581117,7.623816418094039,2013.8345161290322,2027.4504842467566,-0.006738460483701341
2008-01-01,-0.015336892620586795,0.008507942350830695,7.607795903134527,1983.1841935483867,2031.041197028817,-0.02384483497141749
2008-02-01,-0.04006733175866817,-0.028864460323062266,7.59245901051394,1905.2941379310348,1926.7589122658867,-0.011202871435605902
2008-03-01,-0.032974135724953335,-0.044269580661043605,7.552391678755272,1843.4932258064518,1822.7873109947295,0.01129544493609027
2008-04-01,-0.026599862138602326,-0.02047592561650792,7.519417543030318,1795.1029999999996,1806.1298261531233,-0.006123936522094406
2008-05-01,-0.011174022832282304,-0.0026364511147760556,7.492817680891716,1775.1561290322572,1790.3765319832053,-0.00853757171750625
2008-06-01,-0.024446263124291434,0.00395729893460443,7.481643658059434,1732.2863333333335,1782.1948705068216,-0.028403562058895864
2008-07-01,0.02775824529879145,-0.008794188298338536,7.457197394935142,1781.0451612903223,1717.1190707629034,0.03655243359712999
2008-08-01,0.03662079024300713,0.020640078926599522,7.484955640233934,1847.4774193548383,1818.1880716885285,0.015980711316407607
2008-09-01,0.11188372817531445,0.06181238792382773,7.521576430476941,2066.1870000000004,1965.2776625169804,0.05007134025148671
2008-10-01,0.10234815173954459,0.1443388515708627,7.633460158652255,2288.8580645161287,2387.0152383804357,-0.04199069983131812
2008-11-01,0.019384962015591256,0.04780067969058913,7.7358083103918,2333.660333333334,2400.9241148598103,-0.028415717674997877
2008-12-01,-0.03583674791915925,-0.026335626500422493,7.755193272407391,2251.5103225806456,2273.0041415334817,-0.009501121418736758
2009-01-01,0.000886037422334951,0.009379390648291993,7.719356524488232,2253.506129032258,2272.7274638285467,-0.008493353225957042
2009-02-01,0.10872901270107249,0.0765655216602088,7.720242561910567,2512.344285714285,2432.8241996870593,0.03216349104086369
2009-03-01,-0.017145994497894,-0.014275646612941607,7.828971574611639,2469.634838709678,2476.7337331199305,-0.002870347884952395
2009-04-01,-0.03923807027332327,-0.034317004532255155,7.811825580113745,2374.607666666667,2386.3220671304603,-0.004921065741068112
2009-05-01,-0.06403417564529601,-0.05522777415806326,7.772587509840422,2227.3177419354834,2247.0190175583025,-0.008806401487232753
2009-06-01,-0.0638922362952794,-0.023997632897964666,7.708553334195126,2089.460333333333,2174.503629807743,-0.03989460339731474
2009-07-01,-0.019436983627482363,0.0004258209680733085,7.644661097899847,2049.239677419354,2090.3502588162414,-0.019862804595555672
2009-08-01,-0.015551195634241566,-0.05264838135967728,7.625224114272364,2017.618064516128,1944.1414270468329,0.037097185725435716
