fecha,ln_trm_observada,ln_trm_modelo_condicional,ln_trm_caminata_aleatoria,cambio_log_observado,cambio_log_modelo,trm_observada,trm_modelo_condicional,trm_caminata_aleatoria
2022-05-01,8.298808139175573,8.277541931931184,8.240907796093667,0.05790034308190606,0.036634135837516624,4019.079354838708,3934.5111895613677,3792.9819999999972
2022-06-01,8.276589766414325,8.276429493384253,8.298808139175573,-0.022218372761248162,-0.02237864579132065,3930.766666666666,3930.136721265469,4019.079354838708
2022-07-01,8.382016058206503,8.321413627997536,8.276589766414325,0.10542629179217755,0.044823861583211055,4367.805806451614,4110.967281090897,3930.766666666666
2022-08-01,8.371582127847805,8.361663880065512,8.382016058206503,-0.010433930358697552,-0.020352178140990107,4322.469354838713,4279.809935796051,4367.805806451614
2022-09-01,8.396978677110038,8.394668155176792,8.371582127847805,0.02539654926223278,0.023086027328986347,4433.650999999996,4423.418777559394,4322.469354838713
2022-10-01,8.457831715043978,8.437236989615368,8.396978677110038,0.06085303793394026,0.04025831250532974,4711.830322580648,4615.783890528036,4433.650999999996
2022-11-01,8.502416687971365,8.43552356678755,8.457831715043978,0.044584972927387057,-0.02230814825642824,4926.660666666665,4607.881872723818,4711.830322580648
2022-12-01,8.473970535354521,8.470936520450554,8.502416687971365,-0.028446152616844245,-0.03148016752081162,4788.490645161287,4773.984310521972,4926.660666666665
2023-01-01,8.458547432938246,8.451056201226447,8.473970535354521,-0.015423102416274759,-0.022914334128074643,4715.203870967738,4680.013161651556,4788.490645161287
2023-02-01,8.477019424251225,8.470095081050033,8.458547432938246,0.018471991312978275,0.011547648111786657,4803.112499999996,4769.968981590526,4715.203870967738
2023-03-01,8.469326819773904,8.492733690559511,8.477019424251225,-0.007692604477320231,0.01571426630828654,4766.3058064516135,4879.18604344535,4803.112499999996
2023-04-01,8.421271177813114,8.458104630979484,8.469326819773904,-0.04805564196079004,-0.011222188794420163,4542.674333333336,4713.116431652927,4766.3058064516135
2023-05-01,8.420701901472638,8.434691214501402,8.421271177813114,-0.0005692763404763213,0.01342003668828795,4540.089032258067,4604.048087464061,4542.674333333336
2023-06-01,8.345044039825018,8.408896244793779,8.420701901472638,-0.07565786164762045,-0.011805656678859577,4209.267999999998,4486.805442593597,4540.089032258067
2023-07-01,8.311209943353095,8.32818381844688,8.345044039825018,-0.03383409647192259,-0.016860221378138363,4069.2335483870993,4138.893739567664,4209.267999999998
2023-08-01,8.311576434873045,8.32377329428191,8.311209943353095,0.00036649151994971874,0.012563350928814998,4070.7251612903224,4120.679245971922,4069.2335483870993
2023-09-01,8.295179168611119,8.320099036675229,8.311576434873045,-0.016397266261925836,0.008522601802184226,4004.52066666667,4105.566589805602,4070.7251612903224
2023-10-01,8.348166834656725,8.347179922148078,8.295179168611119,0.05298766604560612,0.052000753536958655,4222.433225806451,4218.268109279842,4004.52066666667
2023-11-01,8.303704052588216,8.315393411764378,8.348166834656725,-0.044462782068508844,-0.032773422892347526,4038.804666666669,4086.292716760967,4222.433225806451
2023-12-01,8.281016773597672,8.285680812647968,8.303704052588216,-0.022687278990543902,-0.01802323994024846,3948.2067741935466,3966.664374792607,4038.804666666669
2024-01-01,8.272621363120876,8.290817211875806,8.281016773597672,-0.008395410476795817,0.009800438278134038,3915.1987096774164,3987.0911617815573,3948.2067741935466
2024-02-01,8.276760699123423,8.294430695074453,8.272621363120876,0.004139336002547012,0.021809331953576816,3931.4386206896565,4001.524510332377,3915.1987096774164
2024-03-01,8.268562917935254,8.263587255026675,8.276760699123423,-0.008197781188169273,-0.013173444096749698,3899.3412903225835,3879.987670967888,3931.4386206896565
2024-04-01,8.26048647944151,8.25481388696751,8.268562917935254,-0.00807643849374351,-0.013749030967744602,3867.9753333333356,3846.096000507166,3899.3412903225835
2024-05-01,8.260777367585563,8.272927393405496,8.26048647944151,0.00029088814405220376,0.012440913963985167,3869.100645161288,3916.3970624096414,3867.9753333333356
2024-06-01,8.304692058140274,8.280453063844265,8.260777367585563,0.0439146905547112,0.01967569625870169,4042.7970000000014,3945.9817587168463,3869.100645161288
2024-07-01,8.30323778340659,8.327976050475845,8.304692058140274,-0.001454274733683647,0.023283992335571213,4036.92193548387,4138.033899339792,4042.7970000000014
2024-08-01,8.310303441388276,8.301019312107602,8.30323778340659,0.007065657981685902,-0.0022184712989883337,4065.546451612903,4027.9760667792357,4036.92193548387
2024-09-01,8.338667381651211,8.314611569253335,8.310303441388276,0.02836394026293476,0.004308127865058964,4182.5123333333295,4083.099128006847,4065.546451612903
2024-10-01,8.354549548259685,8.355828089069965,8.338667381651211,0.01588216660847408,0.017160707418753418,4249.470000000003,4254.906595531103,4182.5123333333295
