p_cambio_trm,aic,bic,r_cuadrado_ajustado
0,-1152.1837487977548,-1103.454803870967,0.5851585214505299
1,-1152.8205981820947,-1100.611014331965,0.5878677914172306
2,-1151.06028615771,-1095.3700633842382,0.5864411429853231
3,-1149.2248089859795,-1090.0539472891658,0.5848712921463992
