modelo,observaciones,mae_log,rmse_log,mape_pct,acierto_direccion_pct
ADL diferencias condicional,48,0.02008326628513098,0.02658059381984093,2.0066091264301438,68.75
Caminata aleatoria,48,0.024028760243602603,0.03221545509726062,2.394031003568149,
