termino,coeficiente_largo_plazo,error_estandar,estadistico_t,p_valor,ic_95_inferior,ic_95_superior
const,3.27952912604532,3.1272341730757547,1.0486995679059676,0.29431641319321367,-2.882302048224398,9.441360300315038
ln_trm,1.0,0.0,,,1.0,1.0
ln_terminos_intercambio,-0.05375250528564072,0.2921220022824306,-0.18400704111863336,0.8540079312269169,-0.6293430625426929,0.5218380519714115
ln_remesas_12m,0.056845208559420754,0.2450568183410217,0.2319674634815295,0.8165632849543734,-0.4260091794239124,0.5396995965427539
diferencial_tasas_pp,-0.0036154775856199243,0.012260007023169353,-0.29490012353070266,0.7680701775748617,-0.027772316917491924,0.02054136174625208
deficit_fiscal_12m_pct_pib,-0.02442787920017392,0.015169104611110326,-1.610370541072159,0.107316987774428,-0.05431673833430372,0.005460979933955883
ln_dolar_amplio,-2.4173823115016133,0.7910248097575768,-3.056013264922072,0.002243013323444565,-3.9759996271953355,-0.8587649958078911
