fecha,peso_huber,residuo_ols
2006-05-01,0.7537504329119039,0.03161592190421559
2006-08-01,0.7972105903162952,-0.03269745261508042
2007-05-01,0.5571943357748259,-0.0438325664691759
2007-08-01,0.8793135561833726,0.03031892620289247
2007-09-01,0.5653173401364135,0.041578287583470055
2008-06-01,0.669545002029436,-0.0399813639009343
2008-07-01,0.738398197230046,0.03843363793015064
2008-09-01,0.44042667211315706,0.05878792001739203
2008-10-01,0.3402210602285771,-0.055444573665492075
2009-02-01,0.35117337421361144,0.06542778662136373
2009-06-01,0.46353417817699516,-0.055516519336949274
2009-11-01,0.5695086719700898,0.04387306380167689
2010-02-01,0.6918902972315396,-0.03477735211805087
2010-05-01,0.8643676574769728,-0.026803754520022635
2010-10-01,0.72414627172252,0.03509888778993628
2010-12-01,0.8511841498158967,0.030818917811086255
2012-05-01,0.7814039845431042,-0.031505312220099585
2014-12-01,0.5580715453541448,0.04480105707702338
2015-03-01,0.637633887269566,0.03920342935628747
2015-07-01,0.8280896012468174,0.029511559369033664
2015-08-01,0.5519267681930231,0.04452955790117601
2015-10-01,0.7495185239215709,-0.03332407906117116
2015-12-01,0.5829233320417121,0.041797829391190075
2016-01-01,0.6255626407391158,-0.038555646827015566
2016-12-01,0.8486723811578321,-0.03181913371617742
2017-07-01,0.7915229934987867,0.03106703753167623
2020-08-01,0.649673359243958,0.03595778982718639
2022-01-01,0.5162522991869732,0.05004292939671858
2022-07-01,0.6538068348287701,0.04054595656048769
2022-10-01,0.7101235528668414,0.038152381628876325
2022-11-01,0.3087896251483806,0.07447878173898748
2023-04-01,0.7831570955225763,-0.03235184594732999
2023-06-01,0.45009206693422177,-0.05973957694038169
2023-09-01,0.6781117194550688,-0.037299673753912646
2024-02-01,0.8856302399669965,-0.030247713657245226
