p_trm,q_explicativas,aic,bic,hqic,loglik
1,1,-1148.9397027112825,-1096.5437810611743,-1127.8351305097585,589.4698513556413
2,1,-1143.0746843776985,-1087.2516807591915,-1120.587172560226,587.5373421888493
3,1,-1135.591432502768,-1076.3498846334269,-1111.7241100925476,584.795716251384
1,2,-1145.6653968331789,-1075.804167966368,-1117.525967231147,592.8326984165894
4,1,-1130.6666216949297,-1068.015121074774,-1105.422640998413,583.3333108474649
2,2,-1140.5181499490436,-1067.2504576997533,-1111.003290688611,591.2590749745218
3,2,-1133.081583261968,-1056.4160507251736,-1102.1944601428595,588.540791630984
4,2,-1129.4883813793654,-1049.4336861424995,-1097.2321838227053,587.7441906896827
