estimador,r_cuadrado,n_outliers_detectados,residuo_max_abs,residuo_std
OLS (referencia),0.6077231207021747,0,0.07447878173898748,0.02074257368988964
RLM Huber-T,0.6022923857484843,35,0.08141802982434583,0.020878541951352574
LAD (mediana),0.591062988671003,0,0.0835599484304789,0.02108150309472366
