modelo,parametros,r_cuadrado_ajustado,bic,mape_pct,acierto_direccion_pct,r2_vs_caminata,coefs_significativos_5pct,arch_lm_p,jarque_bera_p,varianza_explicada_pca,n_componentes,outliers_identificados
Ampliado actual (referencia),14,0.5851585214505299,-1103.454803870967,1.7002573998805548,81.25,0.4742451711579705,4/14,0.0015743724762740904,0.001949535231772257,,,
Ampliado + interacciones,16,0.5969547465059939,-1101.5503023648034,1.6791580441042755,79.16666666666666,0.4593250649803158,6/16,0.0365976638904534,2.525189464428473e-06,,,
Ampliado + asimetria dolar,15,0.58517513126354,-1099.048077781858,1.6890588303296952,81.25,0.47898064684039243,4/15,0.0010023617684074267,0.011411357970540693,,,
"PCA (10 componentes, 95% varianza)",12,0.5798727397561152,-1109.262843049077,1.7337568183679115,75.0,0.4499224026949511,5/12,0.0016311018964530516,0.0003574933633425965,0.9672275712467968,10.0,
Ampliado + 3 dummies outlier,17,0.6374017857802294,-1122.5243244515843,1.6474525754711942,79.16666666666666,0.5022812662851619,7/17,0.012464561337651139,0.29174587351284725,,,"2022-11, 2009-02, 2023-06"
Combinado (inter+asim+outliers),20,0.660110034032326,-1124.8546467441165,1.5536638869816035,79.16666666666666,0.5222420768042402,8/20,0.2492873758308879,0.6437494470454632,,,
