variable_umbral,umbral_mediana,n_regimen_bajo,n_regimen_alto,r2_ajust_completo,r2_ajust_regimen_bajo,r2_ajust_regimen_alto,f_chow,p_chow,quiebre_significativo_5pct,coef_D.ln_dolar_amplio.L0_bajo,coef_D.ln_dolar_amplio.L0_alto,ratio_D.ln_dolar_amplio.L0,coef_D.ln_vix.L0_bajo,coef_D.ln_vix.L0_alto,ratio_D.ln_vix.L0,coef_D.embig_colombia_pp.L0_bajo,coef_D.embig_colombia_pp.L0_alto,ratio_D.embig_colombia_pp.L0,coef_factor_monedas_regionales_4.L0_bajo,coef_factor_monedas_regionales_4.L0_alto,ratio_factor_monedas_regionales_4.L0
VIX (nivel),2.8632815322292124,120,120,0.5851585214505299,0.6385303618119333,0.5752649341868499,1.6266125878125623,0.07393613090601592,False,0.6294328385482777,0.14759954136711267,0.23449609287550977,0.00922386754408653,0.011118799965907443,1.205437948101907,0.062160360578481746,0.005630625352962996,0.09058225049795106,0.009953959812295044,0.018737835350904574,1.8824503719373835
Dólar amplio (cambio),-0.00015845239836709268,120,120,0.5851585214505299,0.3155630766959596,0.5444632715285538,1.0173884418674168,0.43704952375572437,False,-0.2974009599467512,0.43156251954153224,-1.4511134046736174,0.012609596805739814,0.008375286891687077,0.6641994205456828,0.032939060809281204,0.004473010708472143,0.1357965466705653,0.01539581806186218,0.01750268861660057,1.1368469376731227
EMBIG Colombia (nivel),2.143090909090909,120,120,0.5851585214505299,0.5444511674498478,0.6053600274708368,0.9653117157947868,0.49007203313255654,False,0.33987399514014327,0.21390602465570435,0.6293686122337856,0.0026460492797518225,0.021286431212167244,8.044608758822411,0.050570806262068925,0.004249138534675392,0.08402354735369318,0.010879109505618668,0.020123784216790196,1.8497639173865275
