termino,coeficiente,error_estandar_hac,estadistico_t,p_valor,ic_95_inferior,ic_95_superior
const,-0.2954410552840973,0.26483448439834995,-1.1155686766218502,0.2657760837991129,-0.8172649071840008,0.22638279661580624
ln_trm.L1,-0.09008642519371685,0.022979568843028323,-3.920283527036139,0.00011686451922547002,-0.13536484562264933,-0.044808004764784366
ln_terminos_intercambio.L1,0.004842371046389742,0.02589157585319647,0.18702496417543943,0.8518066502717616,-0.04617380184426456,0.05585854393704405
ln_remesas_12m.L1,-0.00512098162850949,0.02149600747238528,-0.23822943098099167,0.8119161817570143,-0.04747622643430671,0.03723426317728773
diferencial_tasas_pp.L1,0.0003257054510565093,0.0010938550172448994,0.2977592513831184,0.7661568744269621,-0.0018296016261751791,0.002481012528288198
deficit_fiscal_12m_pct_pib.L1,0.0022006203122076195,0.0014229660767810062,1.5465023011552046,0.12336412451104518,-0.0006031597204254149,0.005004400344840653
ln_dolar_amplio.L1,0.2177733307697044,0.06973172683772645,3.1230164610219298,0.002020861234085475,0.08037552028154349,0.3551711412578653
D.ln_terminos_intercambio.L0,-0.0872283584456205,0.028490270860145873,-3.0616893350649557,0.002463921005650647,-0.14336494094426103,-0.03109177594697999
D.ln_remesas_12m.L0,0.8292555990994972,0.1547085442087268,5.360115068891719,2.026235449691823e-07,0.5244213980541619,1.1340898001448325
D.diferencial_tasas_pp.L0,0.004656774490001127,0.005833854224627695,0.7982329195581354,0.42556234469236165,-0.006838119348441599,0.016151668328443853
D.deficit_fiscal_12m_pct_pib.L0,0.0006887749838671718,0.003246397821815075,0.21216592102137216,0.8321663141253204,-0.005707853536876761,0.0070854035046111034
D.ln_dolar_amplio.L0,1.2739326971651004,0.12285432909668369,10.369457116668173,6.652243767948731e-21,1.0318633179547194,1.5160020763754813
dln_vix,0.024235620153905332,0.007755544555066879,3.1249411284822846,0.0020082289951725957,0.008954271342777709,0.039516968965032956
dummy_pandemia_2020,0.029909175989010793,0.007577606591691732,3.947047874167013,0.00010528826854366003,0.014978432098758881,0.0448399198792627
