especificacion,agregacion_bei,transformacion_bei,extension_deterministica,fecha_quiebre_za,observaciones,p_cambio_trm,r_cuadrado_ajustado,aic,bic,coeficiente_bei_pre_quiebre,p_valor_hac_bei_pre_quiebre,cambio_coeficiente_post_quiebre,p_valor_hac_cambio_coeficiente,coeficiente_bei_post_quiebre,p_valor_hac_bei_post_quiebre,mape_condicional_pct,rmse_log_condicional,acierto_direccion_condicional_pct,r2_validacion_condicional_vs_caminata,quiebre_elegido_con_muestra_completa
Nivel — medias separadas (referencia),Medias mensuales separadas,nivel,ninguno,,240,0,0.632705741,-1166.167883,-1058.268076,-0.002403438529,0.1575197406,,,,,1.482031409,0.02154497966,81.25,0.5527363176,False
Primera diferencia — medias separadas (vigente),Medias mensuales separadas,primera_diferencia,ninguno,,240,0,0.6280206099,-1163.125852,-1055.226046,-0.002402148199,0.5754884323,,,,,1.508880699,0.02159504886,83.33333333,0.5506550759,False
Nivel — fechas diarias comunes,Fechas diarias comunes,nivel,ninguno,,240,0,0.6325088207,-1166.039244,-1058.139438,-0.002351231327,0.1656012434,,,,,1.482181195,0.02153444873,81.25,0.5531734453,False
Primera diferencia — fechas diarias comunes,Fechas diarias comunes,primera_diferencia,ninguno,,240,0,0.6279116731,-1163.055577,-1055.15577,-0.002121096525,0.6146157967,,,,,1.505310261,0.02155988486,83.33333333,0.5521172535,False
Nivel separado + tendencia lineal,Medias mensuales separadas,nivel,tendencia,,240,0,0.6310475433,-1164.237892,-1052.857446,-0.002303927348,0.1702552701,,,,,1.515032708,0.02173039332,79.16666667,0.5450049911,False
Nivel separado + quiebre de coeficiente ZA,Medias mensuales separadas,nivel,quiebre_coeficiente,2009-01-01,240,0,0.6320376968,-1164.039471,-1049.178387,-0.007309046999,0.08697633063,0.005493126813,0.2498563726,-0.001815920186,0.3511879556,1.499776257,0.02150972143,83.33333333,0.5541990084,True
