fecha_fin_ventana,observaciones,r_cuadrado_ajustado,coef_const,coef_D.ln_terminos_intercambio.L0,coef_D.ln_remesas_12m.L1,coef_D.diferencial_tasas_pp.L1,coef_D.deficit_fiscal_12m_pct_pib.L1,coef_D.ln_dolar_amplio.L0,coef_D.ln_vix.L0,coef_D.embig_colombia_pp.L0,coef_D.ln_reservas_netas_sin_flar.L1,coef_D.asinh_balanza_comercial.L1,coef_D.asinh_flujos_capital.L1,coef_D.diferencial_bei_5y_pp.L1,coef_factor_monedas_regionales_4.L0,coef_dummy_pandemia_2020
2016-04-01,120,0.5709214883569942,0.0042211948472095084,-0.08623031433662522,0.07561397109606831,-0.003990646977663536,-0.004932065668125845,0.3198811188788102,0.01004740207571073,0.012991762990128632,-0.3012506775510434,0.04917854057889238,-0.005046789637093591,-0.011588931047263443,0.01609678565076248,0.0
2016-05-01,120,0.5767087828077364,0.0033676531232496106,-0.08514190148416262,0.055494005140004646,-0.003318895309537921,-0.006587911284023337,0.4414857158368198,0.006158784568326636,0.013132578519093597,-0.2685953785145395,0.0476465748576614,-0.004554300821620309,-0.01195888846425659,0.014942906528252293,0.0
2016-06-01,120,0.571918515678646,0.0029337527138995952,-0.08911738736297391,0.031155940673100915,-0.003280674946095049,-0.0062700233592035675,0.43426642632086343,0.00405911853654841,0.0133271099386011,-0.23650532550321182,0.04800941796531778,-0.004443867082138727,-0.012295062809931156,0.015165062474697108,0.0
2016-07-01,120,0.5719111828868709,0.002899019836449157,-0.08938097966908864,0.028942408087557464,-0.003287077534679016,-0.006293553350040275,0.4319180223791108,0.004004707503476951,0.013298438969189244,-0.2336225212488905,0.047845904990725975,-0.004579837222133195,-0.012298806486470212,0.015224020913512671,0.0
2016-08-01,120,0.5717314874687396,0.0032378573060770272,-0.09699715992927674,0.05440918385873031,-0.0033965690313413114,-0.006489784349854812,0.4082292352326295,0.003843603067079286,0.011604024415956048,-0.243296529315493,0.047444865131557046,-0.003031047877019125,-0.012599862309855256,0.01591124134342031,0.0
2016-09-01,120,0.5701339697204957,0.0030289224353702965,-0.09990126907666315,0.06432394401820361,-0.003962047274015069,-0.006766684828501342,0.40451792984686813,0.0016991799206179728,0.012924646784933807,-0.23323248598827828,0.04980163316913409,-0.0031689592213151353,-0.012352580323176196,0.015565786524284416,0.0
2016-10-01,120,0.5693802188407325,0.0030333630061955665,-0.10091403168657889,0.06866827428448434,-0.00402987839430453,-0.006858001260427533,0.40098675032358894,0.0017834095629398403,0.012666000815399881,-0.23272686117866587,0.04945338531458714,-0.0033012111149915437,-0.012131611182965706,0.015624778422874446,0.0
2016-11-01,120,0.5755155138970568,0.003430977464460716,-0.10177699421194912,0.08160760243505105,-0.0037638663309363905,-0.006496795403429027,0.4046571986696413,0.0010600556708450504,0.01302943274993713,-0.2468369048914154,0.050712653016272605,-0.0027612006507299193,-0.012128087823545308,0.015634434635064257,0.0
2016-12-01,120,0.571385060768189,0.003315590273853226,-0.11606642151373178,0.052816669918915024,-0.003205567857245329,-0.007261298060325102,0.2994306784970744,0.00048228214438311885,0.014620332892655338,-0.23520353265455055,0.05137437439311232,-0.0030925287702157655,-0.01300054901925972,0.016438882628254204,0.0
2017-01-01,120,0.5739191490284907,0.00332352767872701,-0.11985052041971608,0.06151621479060376,-0.002984858483193556,-0.006933841352356264,0.3079186587967125,0.0012810911930234148,0.013744871380288886,-0.23347102067855272,0.050223942937714205,-0.0034391155637137037,-0.012927527542470495,0.01640200344775549,0.0
2017-02-01,120,0.5752856530984634,0.0034248280007058087,-0.12101739099806849,0.06251135301787687,-0.0030929875127840814,-0.0068091839216616505,0.3087934999603551,0.0017059297774371807,0.013845630941402516,-0.2433035537100717,0.0499917573573106,-0.003400272809042133,-0.012869267697154506,0.016208383713138957,0.0
2017-03-01,120,0.576539772613916,0.0038657402391739206,-0.12577544903553214,0.049070018978387225,-0.0029957741490444514,-0.007007445897321467,0.28029696891568967,-0.0006334376461791177,0.014837904569159354,-0.29302422997201083,0.05266229208042583,-0.0028309456689293937,-0.01325506077211314,0.016448880450600174,0.0
2017-04-01,120,0.5766745172181018,0.0043983332791279195,-0.12791029215861868,0.030591313701230194,-0.0024901971673808804,-0.007504491008673453,0.2886625900437609,-0.00013127833463168204,0.015194983257328286,-0.4022998739772842,0.0567551591116298,-0.000581570482266214,-0.012980685727725979,0.01634045978831381,0.0
2017-05-01,120,0.5801609260499188,0.003285615112109704,-0.11835024439820266,0.04703454864576505,-0.002293809254022296,-0.0075489737219732005,0.3094114904001109,0.00030510623114632027,0.014806058567152815,-0.21549292314134286,0.05191997534875777,-0.005536056734948208,-0.012779745577872181,0.01571717997580844,0.0
2017-06-01,120,0.5802285973717535,0.003263252205274819,-0.1184395410843131,0.04471139076331479,-0.0028661544523409404,-0.008605485485788133,0.2835940496493348,0.0031005325349556852,0.012767609498243737,-0.13174267392113345,0.04785241065335157,-0.007312513985359112,-0.012115094980438612,0.016211423634736846,0.0
2017-07-01,120,0.5735075237846528,0.0036819094596321792,-0.1214484829029342,0.07397559259752698,-0.004142668886776554,-0.008363132281833899,0.23582948363252476,0.0025611728440642634,0.014286362832597984,-0.15350027657735654,0.04939037248673019,-0.007732637549203447,-0.011936295468980439,0.016114724968076602,0.0
2017-08-01,120,0.5830626235407026,0.002783022751406231,-0.11946989143235091,0.04100038857261941,-0.004719144077481041,-0.009314591635284104,0.21631973059870108,-0.00489422140419544,0.014680201769227977,-0.07355716436693746,0.04750799431925855,-0.01227645478317748,-0.011829510064248509,0.016682180375911473,0.0
2017-09-01,120,0.593370830689025,0.0021294471853502426,-0.12391109058425485,0.013189797323653649,-0.005593385405749152,-0.00858027500397472,0.30091482508483275,-0.0019905231215091024,0.01247536128458919,-0.048172756038291464,0.04732560014474561,-0.0098816591029626,-0.012336801235958792,0.016478298266242065,0.0
2017-10-01,120,0.5837801593837874,0.0020854981323939386,-0.12581467551800893,0.010041011542043565,-0.005389213831105759,-0.008499411616087381,0.2881800688189084,-0.0021595682786766934,0.012738512389819812,-0.046906800709331925,0.04727593407565501,-0.009989759978268366,-0.012426411593406517,0.01651402869418008,0.0
2017-11-01,120,0.5880375560351039,0.0017744751966996823,-0.12350309264848347,-0.011424730689592016,-0.005843954603259463,-0.00881333649409241,0.3515841066941129,-0.004357695185048929,0.011625953789749538,-0.03732271278223742,0.049198417400278506,-0.008827336327117921,-0.012155679986109764,0.016447272687146137,0.0
2017-12-01,120,0.5904292470835697,0.0017020550178899329,-0.12040578073633586,0.021355385827349554,-0.005417023815100206,-0.008491972170286247,0.3975843790430573,-0.005490962958015143,0.01152560467397568,-0.021419280413852243,0.05051494188403188,-0.00872672744928498,-0.012167150430841883,0.01580913246411289,0.0
2018-01-01,120,0.5948534355493531,0.0015329905301619223,-0.11960411254532036,0.014247631146482045,-0.005350623081868047,-0.008641964816929519,0.4088978767057646,-0.006383376587746882,0.011322295945075167,-0.010616922098567738,0.05068962189050431,-0.008889586199488313,-0.012233326881623596,0.01593334182237361,0.0
2018-02-01,120,0.5912211819304527,0.001452282317729411,-0.11524316731034108,0.022498770432016417,-0.004998170623569212,-0.008570015666049481,0.43300553965858996,-0.008336001345591131,0.012662603250772224,0.009968923861393947,0.052090192514857234,-0.008770398414168493,-0.011783460498060436,0.01523385584554953,0.0
2018-03-01,120,0.5817810101219361,0.001088225739807983,-0.11627989848359832,0.001629309940337366,-0.00544501574246291,-0.00855094585020994,0.4613893343175358,-0.005373475762782912,0.009996282870316245,0.013460903614175346,0.0491624468441086,-0.007752421907025792,-0.011721452868603082,0.0157025141345214,0.0
