variable,transformacion,coeficiente,p_valor_hac,bic_top3_solo,bic_top3_mas_candidata,mejora_bic,r2_adj_top3,r2_adj_extendido,mape_top3,mape_extendido,r2_vs_walk_top3,r2_vs_walk_extendido,observaciones,aporta_por_bic
expectativas_inflacion_eeuu,D.expectativas_inflacion_eeuu.L1,0.00017193117973009816,0.9731963830490171,-955.8952647259565,-950.4073091094122,-5.487955616544355,0.058358677875296694,0.05437250992486031,2.5329496258463795,2.5381676503745796,-0.030457784779673425,-0.03995665905983148,242,False
nfci,D.nfci.L1,0.006215087216984279,0.8253304828579746,-955.8952647259565,-950.4900859835745,-5.405178742381963,0.058358677875296694,0.05469590951983261,2.5329496258463795,2.535571561235135,-0.030457784779673425,-0.03103620243727012,242,False
pendiente_curva_eeuu,D.pendiente_curva_eeuu.L1,-0.014434067859608176,0.21664053720781865,-955.8952647259565,-951.4172815607933,-4.477983165163209,0.058358677875296694,0.05831080556885171,2.5329496258463795,2.545667290116997,-0.030457784779673425,-0.02322333197664328,242,False
estres_financiero,D.estres_financiero.L1,0.0003791754127576046,0.9543638722605425,-955.8952647259565,-950.4109208913599,-5.484343834596643,0.058358677875296694,0.05438662304391373,2.5329496258463795,2.5453447482966176,-0.030457784779673425,-0.03996987872713231,242,False
