termino,coeficiente,error_estandar_hac,estadistico_t,p_valor,ic_95_inferior,ic_95_superior
const,-0.00019009707212492004,0.003201642684355116,-0.05937485561828394,0.9527062411302791,-0.006499136934713552,0.006118942790463712
D.ln_trm.L1,0.3304681540378052,0.09729740147973528,3.396474613010439,0.0008069525482597838,0.13873745671122828,0.5221988513643822
D.ln_terminos_intercambio.L3,0.04254008301869189,0.05448694442583995,0.780739009444575,0.43577664121347004,-0.0648298949157811,0.1499100609531649
D.ln_remesas_12m.L2,-0.1552126887321177,0.1496265809681955,-1.0373336590850095,0.3006939043605562,-0.4500613514027099,0.13963597393847454
D.diferencial_tasas_pp.L1,-0.0005430523504656335,0.007366896746522683,-0.07371521132313477,0.9413024862958,-0.01505998937922962,0.01397388467829835
D.deficit_fiscal_12m_pct_pib.L3,-0.00520128877976371,0.004305188374892712,-1.2081442963325222,0.22826003555178573,-0.013684935379641003,0.0032823578201135826
D.ln_dolar_amplio.L1,0.6261996630515188,0.3291681525243418,1.902370135899498,0.05839976394691216,-0.022447047563232125,1.2748463736662696
D.ln_vix.L1,0.0008453283198702191,0.014567746704582569,0.05802739002898125,0.9537783122419027,-0.027861340015237285,0.029551996654977725
D.embig_colombia_pp.L1,-0.0007492160500764467,0.011510776089071903,-0.06508823073951871,0.948161543734531,-0.0234319300050581,0.021933497904905206
D.ln_reservas_netas_sin_flar.L2,0.2518642165192075,0.377021219554192,0.6680372442087579,0.5047944977384841,-0.4910799960977887,0.9948084291362036
D.asinh_balanza_comercial.L2,-0.05032013229642267,0.0217127085103647,-2.31754284696458,0.021372711054383414,-0.09310640079104404,-0.007533863801801287
D.asinh_flujos_capital.L2,0.001060043681506936,0.0068605258719273,0.15451347335406845,0.8773433981081094,-0.012459057439868892,0.014579144802882764
D.diferencial_bei_5y_pp.L1,-0.009158751513434036,0.006418704269116408,-1.4268847931663349,0.15499931202107253,-0.02180721515927028,0.0034897121324022062
factor_monedas_regionales_3.L1,-0.005354331801237002,0.005042334789155071,-1.0618755051237307,0.28943063359638366,-0.015290572138345233,0.004581908535871231
dummy_pandemia_2020,0.032552544253912116,0.0224225354201571,1.4517780279498849,0.14795626500058615,-0.011632483162590766,0.076737571670415
