modelo,observaciones,mae_log,rmse_log,mape_pct,acierto_direccion_pct
ADL diferencias condicional,48,0.01698946807891481,0.02335908924688954,1.7002573998805548,81.25
Caminata aleatoria,48,0.024028760243602603,0.03221545509726062,2.394031003568149,
