p_trm,q_explicativas,aic,bic,hqic,loglik
1,1,-1152.5231527476467,-1100.1272310975385,-1131.4185805461227,591.2615763738233
2,1,-1146.083030300049,-1090.2600266815418,-1123.5955184825764,589.0415151500245
3,1,-1138.6849241949776,-1079.4433763256366,-1114.8176017847572,586.3424620974888
1,2,-1147.4736454257927,-1077.6124165589817,-1119.3342158237608,593.7368227128964
4,1,-1133.9674132433913,-1071.3159126232354,-1108.7234325468746,584.9837066216957
2,2,-1141.952259388549,-1068.6845671392587,-1112.4374001281165,591.9761296942745
3,2,-1134.5137549780225,-1057.848222441228,-1103.626631858914,589.2568774890112
4,2,-1130.8916765478193,-1050.8369813109534,-1098.6354789911593,588.4458382739097
