p_cambio_trm,aic,bic,r_cuadrado_ajustado
0,-1144.6374282863587,-1095.908483359571,0.5719074245428268
1,-1143.2290710326017,-1091.019487182472,0.5710635001611528
2,-1141.721754053886,-1086.0315312804141,0.5700321693806742
3,-1140.0958572945997,-1080.924995597786,0.5687767617156547
