uso,monedas,observaciones,p_cambio_trm,r_cuadrado,r_cuadrado_ajustado,aic,bic,mape_pct,acierto_direccion_pct,r2_validacion_vs_caminata,coeficiente_factor_regional,p_valor_hac_factor_regional,correlacion_factores_3_4
Explicación histórica,"BRL, CLP y MXN",240,0,0.5832160214356131,0.5592417217836794,-1137.639716312431,-1088.910771385643,1.8015099399658623,75.0,0.4399113647389574,0.0113382690728682,0.005536043985398605,0.9581117028398654
Explicación histórica,"BRL, CLP, MXN y PEN",240,0,0.6041652113002105,0.581395953543143,-1150.0167866979243,-1101.2878417711365,1.6914344937788788,81.25,0.48989363315636414,0.016209169118454582,9.233517626858688e-06,0.9581117028398654
Pronóstico con rezagos de publicación,"BRL, CLP y MXN",240,1,0.15668932512102907,0.10421666090633763,-966.4955464553129,-914.285962605183,2.6260286905604784,47.91666666666667,-0.11520912982097209,-0.00653890109712853,0.1639675551068194,0.9581117028398654
Pronóstico con rezagos de publicación,"BRL, CLP, MXN y PEN",240,1,0.14971021465449663,0.09680329467744309,-964.5175167691957,-912.3079329190658,2.6740585776272052,54.166666666666664,-0.15612101458884897,9.621732142083494e-05,0.9832176089410133,0.9581117028398654
