modelo,observaciones,r_cuadrado,r_cuadrado_ajustado,aic,bic,mape_pct,acierto_direccion_pct,r2_validacion_condicional_vs_caminata
Base,240,0.49446400268979984,0.4792107613916473,-1103.3074291126252,-1075.4623177258893,2.006609126430155,68.75,0.31922936174856364
Ampliado historico,240,0.6077231207021747,0.5851585214505299,-1152.1837487977548,-1103.454803870967,1.7002573998805548,81.25,0.4742451711579705
