submuestra,inicio,fin,observaciones,r2_ajustado,correlacion_spearman_rangos_vs_completa,mediana_diferencia_abs_peso_pp,max_diferencia_abs_peso_pp,factores_mismo_signo_de_12
Muestra completa,2006-05-01,2026-04-01,240,0.5851585214505299,1.0,0.0,0.0,12
Primera mitad,2006-05-01,2016-04-01,120,0.5709214883569942,0.9790209790209792,1.0141545577493776,4.000706373915939,11
Segunda mitad,2016-05-01,2026-04-01,120,0.6067676133422316,0.9580419580419581,1.232024819712679,5.540757325121071,10
Prepandemia,2006-05-01,2019-12-01,164,0.5849484323810714,0.9580419580419581,0.7151881200432797,3.706393508579545,11
2020 en adelante,2020-01-01,2026-04-01,76,0.6048959924341468,0.9090909090909092,1.9728652959420518,6.603782514321711,9
