termino,coeficiente,error_estandar_hac,estadistico_t,p_valor,ic_95_inferior,ic_95_superior
const,0.004938013250958489,0.003927709711493777,1.2572245949104208,0.2099699998841684,-0.0028016025320843864,0.012677629034001364
D.ln_terminos_intercambio.L0,-0.08584357303270934,0.026616187762983842,-3.22523923400087,0.0014449808739183188,-0.13829120333797376,-0.03339594272744492
D.ln_remesas_12m.L1,0.07147244760526641,0.10819804482448374,0.6605706020030888,0.5095604699025443,-0.1417335571479394,0.2846784523584722
D.diferencial_tasas_pp.L1,-0.006566622468483976,0.005267327437792898,-1.246670640098939,0.21380883411815096,-0.016945976740185553,0.0038127318032176007
D.deficit_fiscal_12m_pct_pib.L1,-0.0005004717595323947,0.0034563661475404744,-0.14479708982467812,0.8850001261191988,-0.007311297393921119,0.006310353874856329
D.ln_dolar_amplio.L0,0.2673477367686793,0.22537479128592594,1.186236203451448,0.23677460702926137,-0.1767569501515649,0.7114524236889235
D.ln_vix.L0,0.014161429027162512,0.010309929846560649,1.3735718126042058,0.1709356426814441,-0.0061544551964091455,0.034477313250734165
D.embig_colombia_pp.L0,0.015191594320774457,0.012077291744241441,1.257864316146701,0.20973893627248869,-0.008606905228876536,0.03899009387042545
D.ln_reservas_netas_sin_flar.L1,-0.2854654483706136,0.1137136692430623,-2.510388155362685,0.012760049729396249,-0.5095400806291683,-0.06139081611205888
D.asinh_balanza_comercial.L1,0.0483485336653283,0.011731490515854572,4.121260942928562,5.291076224470567e-05,0.025231441052953423,0.07146562627770317
D.asinh_flujos_capital.L1,0.0007004427286033807,0.0034840614126883766,0.20104201552030163,0.8408465387899965,-0.006164956875604702,0.007565842332811463
diferencial_bei_5y_pp.L1,-0.000721588077740221,0.0016846727626651837,-0.4283253660483328,0.6688221788906132,-0.004041263120177878,0.002598086964697436
factor_monedas_regionales_4.L0,0.016209169118454582,0.003572021376912837,4.537814141656552,9.233517626858688e-06,0.00917044297603637,0.023247895260872793
dummy_pandemia_2020,-0.0026558009733916726,0.006533670191002195,-0.40647919098351387,0.6847751931932203,-0.015530504209096282,0.010218902262312937
