submuestra,inicio,fin,observaciones,r2,r2_ajustado,factor,grupo,coeficiente,p_valor_hac,shapley_r2,peso_entre_factores_pct,rango_peso,signo_coincide_muestra_completa,diferencia_peso_vs_completa_pp
Muestra completa,2006-05-01,2026-04-01,240,0.6041652113002105,0.581395953543143,Términos de intercambio,Sector externo Colombia,-0.08584357303270934,0.0014449808739183188,0.038942246180579586,6.641755317398294,6,True,0.0
Muestra completa,2006-05-01,2026-04-01,240,0.6041652113002105,0.581395953543143,Remesas,Sector externo Colombia,0.07147244760526641,0.5095604699025443,0.006331135835927592,1.0798004539453903,9,True,0.0
Muestra completa,2006-05-01,2026-04-01,240,0.6041652113002105,0.581395953543143,Diferencial de tasas,Política doméstica,-0.006566622468483976,0.21380883411815096,0.002993424297271461,0.51054044626596,11,True,0.0
Muestra completa,2006-05-01,2026-04-01,240,0.6041652113002105,0.581395953543143,Déficit fiscal,Política doméstica,-0.0005004717595323947,0.8850001261191988,0.0007258312823080201,0.1237934185010477,12,True,0.0
Muestra completa,2006-05-01,2026-04-01,240,0.6041652113002105,0.581395953543143,Dólar amplio,Global,0.2673477367686793,0.23677460702926137,0.11879066732294251,20.260221834427902,2,True,0.0
Muestra completa,2006-05-01,2026-04-01,240,0.6041652113002105,0.581395953543143,VIX,Global,0.014161429027162512,0.1709356426814441,0.049368343932821586,8.41996784947872,4,True,0.0
Muestra completa,2006-05-01,2026-04-01,240,0.6041652113002105,0.581395953543143,Riesgo soberano EMBIG Colombia,Riesgo local,0.015191594320774457,0.20973893627248869,0.10567905691202005,18.023984413438367,3,True,0.0
Muestra completa,2006-05-01,2026-04-01,240,0.6041652113002105,0.581395953543143,Reservas internacionales,Sector externo Colombia,-0.2854654483706136,0.012760049729396249,0.015123678694806103,2.579403687297956,8,True,0.0
Muestra completa,2006-05-01,2026-04-01,240,0.6041652113002105,0.581395953543143,Balanza comercial cambiaria,Sector externo Colombia,0.0483485336653283,5.291076224470567e-05,0.04417243187371627,7.533784335891188,5,True,0.0
Muestra completa,2006-05-01,2026-04-01,240,0.6041652113002105,0.581395953543143,Flujos netos de capital,Sector externo Colombia,0.0007004427286033807,0.8408465387899965,0.024805224618820933,4.230629937147118,7,True,0.0
Muestra completa,2006-05-01,2026-04-01,240,0.6041652113002105,0.581395953543143,Diferencial de compensación inflacionaria 5 años,Política doméstica,-0.000721588077740221,0.6688221788906132,0.0030035509815898725,0.512267592643381,10,True,0.0
Muestra completa,2006-05-01,2026-04-01,240,0.6041652113002105,0.581395953543143,Monedas regionales,Regional,0.016209169118454582,9.233517626858688e-06,0.17638902135984608,30.08385071356464,1,True,0.0
Primera mitad,2006-05-01,2016-04-01,120,0.600676690109547,0.5558927675050103,Términos de intercambio,Sector externo Colombia,-0.06392031114697966,0.09646576156982255,0.044180232348199754,7.355076878402338,5,True,0.7133215610040438
Primera mitad,2006-05-01,2016-04-01,120,0.600676690109547,0.5558927675050103,Remesas,Sector externo Colombia,0.05373180432999723,0.7105621362898616,0.0035800720138120796,0.5960064828151017,9,True,-0.48379397113028855
Primera mitad,2006-05-01,2016-04-01,120,0.600676690109547,0.5558927675050103,Diferencial de tasas,Política doméstica,-0.008141389400604798,0.3416851832824549,0.0035762841497649143,0.5953758833412859,10,True,0.08483543707532593
Primera mitad,2006-05-01,2016-04-01,120,0.600676690109547,0.5558927675050103,Déficit fiscal,Política doméstica,-0.005053269401455176,0.35551408039861254,0.002509225120562322,0.41773306037640784,11,True,0.29393964187536015
Primera mitad,2006-05-01,2016-04-01,120,0.600676690109547,0.5558927675050103,Dólar amplio,Global,0.4375675089347273,0.28063414626837374,0.14003924228522652,23.31358026556469,2,True,3.053358431136786
Primera mitad,2006-05-01,2016-04-01,120,0.600676690109547,0.5558927675050103,VIX,Global,0.018419155073008453,0.3882547153470675,0.05926706748523324,9.866716731495698,4,True,1.446748882016978
