fecha,ln_trm_observada,ln_trm_pronostico_publicacion,ln_trm_caminata_aleatoria,cambio_log_observado,cambio_log_pronostico,trm_observada,trm_pronostico_publicacion,trm_caminata_aleatoria
2022-05-01,8.298808139175573,8.24954827329265,8.240907796093667,0.05790034308190606,0.008640477198982996,4019.079354838708,3825.897171098777,3792.9819999999972
2022-06-01,8.276589766414325,8.305670855236114,8.298808139175573,-0.022218372761248162,0.006862716060541278,3930.766666666666,4046.756015182878,4019.079354838708
2022-07-01,8.382016058206503,8.275113648349906,8.276589766414325,0.10542629179217755,-0.0014761180644197545,4367.805806451614,3924.9686712986163,3930.766666666666
2022-08-01,8.371582127847805,8.412548327293337,8.382016058206503,-0.010433930358697552,0.030532269086833343,4322.469354838713,4503.221584535627,4367.805806451614
2022-09-01,8.396978677110038,8.375759918776776,8.371582127847805,0.02539654926223278,0.004177790928971489,4433.650999999996,4340.565502740644,4322.469354838713
2022-10-01,8.457831715043978,8.412728432876055,8.396978677110038,0.06085303793394026,0.015749755766016428,4711.830322580648,4504.032712925401,4433.650999999996
2022-11-01,8.502416687971365,8.457604552261918,8.457831715043978,0.044584972927387057,-0.00022716278205995016,4926.660666666665,4710.760091658892,4711.830322580648
2022-12-01,8.473970535354521,8.499331045990534,8.502416687971365,-0.028446152616844245,-0.0030856419808308264,4788.490645161287,4911.482185410864,4926.660666666665
2023-01-01,8.458547432938246,8.460837745626321,8.473970535354521,-0.015423102416274759,-0.013132789728199076,4715.203870967738,4726.015538543911,4788.490645161287
2023-02-01,8.477019424251225,8.451852360411664,8.458547432938246,0.018471991312978275,-0.006695072526583014,4803.112499999996,4683.740680769538,4715.203870967738
2023-03-01,8.469326819773904,8.47750608252351,8.477019424251225,-0.007692604477320231,0.0004866582722850808,4766.3058064516135,4805.450543298749,4803.112499999996
2023-04-01,8.421271177813114,8.4450823790288,8.469326819773904,-0.04805564196079004,-0.024244440745104685,4542.674333333336,4652.138935870099,4766.3058064516135
2023-05-01,8.420701901472638,8.397111764511463,8.421271177813114,-0.0005692763404763213,-0.024159413301651677,4540.089032258067,4434.241102357134,4542.674333333336
2023-06-01,8.345044039825018,8.421628158596915,8.420701901472638,-0.07565786164762045,0.000926257124277452,4209.267999999998,4544.296270260335,4540.089032258067
2023-07-01,8.311209943353095,8.321863914859835,8.345044039825018,-0.03383409647192259,-0.02318012496518267,4069.2335483870993,4112.818812477755,4209.267999999998
2023-08-01,8.311576434873045,8.29529017622742,8.311209943353095,0.00036649151994971874,-0.015919767125675832,4070.7251612903224,4004.9652236344523,4069.2335483870993
2023-09-01,8.295179168611119,8.328383148646795,8.311576434873045,-0.016397266261925836,0.01680671377375091,4004.52066666667,4139.718828314022,4070.7251612903224
2023-10-01,8.348166834656725,8.289632577154247,8.295179168611119,0.05298766604560612,-0.005546591456872555,4222.433225806451,3982.3707117098584,4004.52066666667
2023-11-01,8.303704052588216,8.369310677338746,8.348166834656725,-0.044462782068508844,0.021143842682021397,4038.804666666669,4312.662222047303,4222.433225806451
2023-12-01,8.281016773597672,8.267012105404516,8.303704052588216,-0.022687278990543902,-0.03669194718369924,3948.2067741935466,3893.2988295608807,4038.804666666669
2024-01-01,8.272621363120876,8.271693966115311,8.281016773597672,-0.008395410476795817,-0.009322807482360258,3915.1987096774164,3911.5694492606067,3948.2067741935466
2024-02-01,8.276760699123423,8.265095775039356,8.272621363120876,0.004139336002547012,-0.007525588081521449,3931.4386206896565,3885.8451269525026,3915.1987096774164
2024-03-01,8.268562917935254,8.264616334912636,8.276760699123423,-0.008197781188169273,-0.012144364210787233,3899.3412903225835,3883.9825434067484,3931.4386206896565
2024-04-01,8.26048647944151,8.261149955759423,8.268562917935254,-0.00807643849374351,-0.0074129621758309274,3867.9753333333356,3870.5424948965506,3899.3412903225835
2024-05-01,8.260777367585563,8.273227087034691,8.26048647944151,0.00029088814405220376,0.012740607593180176,3869.100645161288,3917.5709575543056,3867.9753333333356
2024-06-01,8.304692058140274,8.243835041756503,8.260777367585563,0.0439146905547112,-0.016942325829059388,4042.7970000000014,3804.101256566631,3869.100645161288
2024-07-01,8.30323778340659,8.318345009652754,8.304692058140274,-0.001454274733683647,0.01365295151248054,4036.92193548387,4098.371626988791,4042.7970000000014
2024-08-01,8.310303441388276,8.28075248730797,8.30323778340659,0.007065657981685902,-0.022485296098620402,4065.546451612903,3947.1634551477487,4036.92193548387
2024-09-01,8.338667381651211,8.310830923769844,8.310303441388276,0.02836394026293476,0.0005274823815682762,4182.5123333333295,4067.691521431105,4065.546451612903
2024-10-01,8.354549548259685,8.343674011002069,8.338667381651211,0.01588216660847408,0.005006629350857151,4249.470000000003,4203.505130066836,4182.5123333333295
2024-11-01,8.39132432838928,8.359382161730634,8.354549548259685,0.03677478012959412,0.004832613470949524,4408.652333333335,4270.055747382911,4249.470000000003
2024-12-01,8.385978817498613,8.405117738144211,8.39132432838928,-0.005345510890666816,0.013793409754932335,4385.148709677422,4469.884007403567,4408.652333333335
2025-01-01,8.368128619899991,8.397147699366455,8.385978817498613,-0.017850197598621165,0.01116888186784304,4307.567419354838,4434.40044903118,4385.148709677422
2025-02-01,8.325537146384832,8.36943349087608,8.368128619899991,-0.04259147351515935,0.0013048709760887234,4127.95392857143,4313.191907875751,4307.567419354838
2025-03-01,8.327891614734215,8.318610885670841,8.325537146384832,0.002354468349382799,-0.006926260713991373,4137.684516129031,4099.461430587517,4127.95392857143
2025-04-01,8.361768567132886,8.308604625753183,8.327891614734215,0.03387695239867128,-0.019286988981031854,4280.2580000000025,4058.645700946885,4137.684516129031
2025-05-01,8.34364355184035,8.35413955593057,8.361768567132886,-0.018125015292536517,-0.0076290112023167655,4203.377096774196,4247.728107002978,4280.2580000000025
2025-06-01,8.322025880072617,8.33648952128789,8.34364355184035,-0.021617671767732105,-0.007154030552459759,4113.4850000000015,4173.413317293092,4203.377096774196
2025-07-01,8.304209945715085,8.31229280087693,8.322025880072617,-0.01781593435753237,-0.00973307919568691,4040.8483870967743,4073.642335164375,4113.4850000000015
2025-08-01,8.305832847858927,8.293954782578254,8.304209945715085,0.0016229021438416424,-0.01025516313683133,4047.4116129032236,3999.620587900236,4040.8483870967743
2025-09-01,8.274411059349477,8.311063209566932,8.305832847858927,-0.031421788509449655,0.005230361708004958,3922.211999999997,4068.6364981465535,4047.4116129032236
2025-10-01,8.263034824354826,8.274483041833037,8.274411059349477,-0.011376234994651568,7.198248355927807e-05,3877.8448387096764,3922.494340722475,3922.211999999997
2025-11-01,8.239113754615177,8.266688804111523,8.263034824354826,-0.02392106973964836,0.0036539797566968093,3786.1833333333366,3892.0403244643962,3877.8448387096764
