fecha,ln_trm_observada,ln_trm_modelo_condicional,ln_trm_caminata_aleatoria,cambio_log_observado,cambio_log_modelo,trm_observada,trm_modelo_condicional,trm_caminata_aleatoria
2022-05-01,8.298808139175573,8.261837218975415,8.240907796093667,0.05790034308190606,0.020929422881748157,4019.079354838708,3873.203490676747,3792.9819999999972
2022-06-01,8.276589766414325,8.294699521214834,8.298808139175573,-0.022218372761248162,-0.004108617960739223,3930.766666666666,4002.6003693251614,4019.079354838708
2022-07-01,8.382016058206503,8.31153751020807,8.276589766414325,0.10542629179217755,0.034947743793745205,4367.805806451614,4070.5667127610163,3930.766666666666
2022-08-01,8.371582127847805,8.3693746272281,8.382016058206503,-0.010433930358697552,-0.012641430978403615,4322.469354838713,4312.938025137917,4367.805806451614
2022-09-01,8.396978677110038,8.414853005667668,8.371582127847805,0.02539654926223278,0.04327087781986332,4433.650999999996,4513.612030655458,4322.469354838713
2022-10-01,8.457831715043978,8.42266238962143,8.396978677110038,0.06085303793394026,0.025683712511390292,4711.830322580648,4548.998553652163,4433.650999999996
2022-11-01,8.502416687971365,8.419837604682261,8.457831715043978,0.044584972927387057,-0.03799411036171699,4926.660666666665,4536.166743134576,4711.830322580648
2022-12-01,8.473970535354521,8.475920809182897,8.502416687971365,-0.028446152616844245,-0.026495878788467882,4788.490645161287,4797.8386257419315,4926.660666666665
2023-01-01,8.458547432938246,8.44549316861583,8.473970535354521,-0.015423102416274759,-0.0284773667386917,4715.203870967738,4654.050378675888,4788.490645161287
2023-02-01,8.477019424251225,8.462706258459823,8.458547432938246,0.018471991312978275,0.004158825521577144,4803.112499999996,4734.854414433899,4715.203870967738
2023-03-01,8.469326819773904,8.488176691915116,8.477019424251225,-0.007692604477320231,0.011157267663891399,4766.3058064516135,4857.002183558929,4803.112499999996
2023-04-01,8.421271177813114,8.447826685872661,8.469326819773904,-0.04805564196079004,-0.021500133901243546,4542.674333333336,4664.923366767471,4766.3058064516135
2023-05-01,8.420701901472638,8.429517258135206,8.421271177813114,-0.0005692763404763213,0.008246080322092434,4540.089032258067,4580.288462187275,4542.674333333336
2023-06-01,8.345044039825018,8.410409199462775,8.420701901472638,-0.07565786164762045,-0.010292702009863677,4209.267999999998,4493.598913647849,4540.089032258067
2023-07-01,8.311209943353095,8.326897699268928,8.345044039825018,-0.03383409647192259,-0.018146340556089654,4069.2335483870993,4133.574050564003,4209.267999999998
2023-08-01,8.311576434873045,8.328544079749841,8.311209943353095,0.00036649151994971874,0.01733413639674662,4070.7251612903224,4140.385091441157,4069.2335483870993
2023-09-01,8.295179168611119,8.32952511411849,8.311576434873045,-0.016397266261925836,0.017948679245444972,4004.52066666667,4144.448944579166,4070.7251612903224
2023-10-01,8.348166834656725,8.329062142147897,8.295179168611119,0.05298766604560612,0.03388297353677767,4222.433225806451,4142.5306249826435,4004.52066666667
2023-11-01,8.303704052588216,8.319184713513879,8.348166834656725,-0.044462782068508844,-0.028982121142845277,4038.804666666669,4101.814490759001,4222.433225806451
2023-12-01,8.281016773597672,8.2926212337985,8.303704052588216,-0.022687278990543902,-0.01108281878971715,3948.2067741935466,3994.2904535327552,4038.804666666669
2024-01-01,8.272621363120876,8.288948820165507,8.281016773597672,-0.008395410476795817,0.007932046567834358,3915.1987096774164,3979.6486686180165,3948.2067741935466
2024-02-01,8.276760699123423,8.28611203284962,8.272621363120876,0.004139336002547012,0.013490669728742659,3931.4386206896565,3968.3752494595365,3915.1987096774164
2024-03-01,8.268562917935254,8.276227244088831,8.276760699123423,-0.008197781188169273,-0.0005334550345920232,3899.3412903225835,3929.341934257948,3931.4386206896565
2024-04-01,8.26048647944151,8.288732643884352,8.268562917935254,-0.00807643849374351,0.020169725949098133,3867.9753333333356,3978.788455950669,3899.3412903225835
2024-05-01,8.260777367585563,8.268098834611507,8.26048647944151,0.00029088814405220376,0.007612355169996029,3869.100645161288,3897.532090898259,3867.9753333333356
2024-06-01,8.304692058140274,8.285575243337954,8.260777367585563,0.0439146905547112,0.024797875752391188,4042.7970000000014,3966.2456388747237,3869.100645161288
2024-07-01,8.30323778340659,8.312678386827129,8.304692058140274,-0.001454274733683647,0.007986328686853672,4036.92193548387,4075.213377281366,4042.7970000000014
2024-08-01,8.310303441388276,8.321083809110311,8.30323778340659,0.007065657981685902,0.017846025703720354,4065.546451612903,4109.611630008782,4036.92193548387
2024-09-01,8.338667381651211,8.312314582418834,8.310303441388276,0.02836394026293476,0.0020111410305581,4182.5123333333295,4073.7310663419453,4065.546451612903
