termino,coeficiente,error_estandar_hac,estadistico_t,p_valor,ic_95_inferior,ic_95_superior
const,-0.3012363331063592,0.1931866081116496,-1.5593023556387706,0.12030573084632432,-0.6818868371723856,0.07941417095966724
ln_trm.L1,-0.08956950478903522,0.021580031863433817,-4.150573333527178,4.678729944387356e-05,-0.13209030934619978,-0.047048700231870653
ln_brent.L1,0.004594766290926131,0.010783946883737247,0.4260746404319997,0.6704536619313124,-0.016653677673385613,0.025843210255237874
ln_remesas_12m.L1,-0.005252375646811889,0.017307280140561376,-0.3034778199783345,0.7618012842584061,-0.03935424727193591,0.028849495978312132
diferencial_tasas_pp.L1,0.00023793860550964008,0.0010342608082228293,0.23005667779144612,0.8182530980271939,-0.0017999453960471708,0.002275822607066451
deficit_fiscal_12m_pct_pib.L1,0.0022445028769553063,0.0015019897746825419,1.4943529675025256,0.13646003184800792,-0.0007149836548673428,0.005203989408777955
ln_dolar_amplio.L1,0.21938675432020532,0.06727121694626993,3.2612276732771357,0.0012784183428979257,0.08683707662756962,0.351936432012841
D.ln_brent.L0,-0.045024130340571566,0.013906012008008659,-3.237745682561008,0.0013833481931938287,-0.07242422050281255,-0.017624040178330587
D.ln_remesas_12m.L0,0.8193545655132254,0.1468885058511043,5.578071345785055,6.831394950937438e-08,0.5299287904024885,1.1087803406239622
D.diferencial_tasas_pp.L0,0.003942199778979866,0.005983889358634556,0.6588022509626454,0.5106846178357941,-0.007848319879210773,0.015732719437170507
D.deficit_fiscal_12m_pct_pib.L0,0.0006379034496158224,0.003245654232501015,0.1965407908297955,0.8443612195661514,-0.005757259919635562,0.007033066818867207
D.ln_dolar_amplio.L0,1.20828114304719,0.1381777531919995,8.74439709095769,4.897776202751929e-16,0.9360188370966263,1.4805434489977538
dln_vix,0.02443517204458963,0.007163411859426563,3.4111080758862977,0.0007646866331203427,0.010320548045666364,0.03854979604351289
dummy_pandemia_2020,0.029765756593492912,0.009341841609854185,3.186283586963697,0.0016418610539668992,0.011358804101005197,0.048172709085980626
