p_cambio_trm,aic,bic,r_cuadrado_ajustado
0,-1106.246508405773,-1078.4013970190372,0.48554953959626557
1,-1104.6689635065554,-1073.3432131964776,0.4842311524117332
2,-1102.7353119875602,-1067.9289227541403,0.4821318646363185
3,-1100.8051082273637,-1062.5180800706019,0.48002167260495787
