n_oos,r2_oos_pct,correlacion,direccion_pct,dm_p_valor,horizonte,senal
122,-6.847061675131383,0.054908600704578335,49.18032786885246,0.25848142566415055,6,coint_trm_dolar
116,-15.45298703544904,-0.03990616652424821,54.310344827586206,0.0862223809541407,12,coint_trm_dolar
110,-25.20501870662013,-0.1658580075443336,64.54545454545455,0.05581191147571296,18,coint_trm_dolar
