horizonte_meses,observaciones_validacion,rmse_modelo_log,rmse_caminata_log,r2_vs_caminata,acierto_direccion_pct,dm_stat
1,48,0.03291472851023005,0.03221545509726062,-0.04388345138568561,43.75,-1.3994767195321594
2,48,0.04646340613102538,0.04584131427138708,-0.02732526036912808,50.0,-0.5859791758754908
3,48,0.06021661532780304,0.05959338871435074,-0.02102533430172615,35.41666666666667,-0.39433974094759483
6,48,0.09631358396212873,0.0958227902702704,-0.010270011671902557,45.83333333333333,-0.1653878694231844
