feature,importance
r_vix_L1,182
vol_trm_22d,166
d_embig_L1,163
r_dolar_ma22,133
r_dolar_ma5,123
dia_semana,122
embig_nivel,114
r_trm_ma22,104
vol_trm_5d,103
r_dolar_L1,103
vix_nivel,99
dolar_x_vix,95
r_trm_L5,90
r_trm_ma5,86
r_dolar_L3,76
vol_dolar_5d,75
r_trm_L2,71
r_dolar_L2,57
r_trm_L1,48
r_vix_L2,44
r_dolar_L5,38
d_embig_L2,31
r_trm_L3,30
