fecha,desviacion_cf_pct,prob_turbulento,regimen,es_turbulento,senal_cf_markov,senal_cf_pura,senal_condicional
2006-01-01,-1.4542519962739364,0.8127481949698541,1,1.0,-1.1819406850029488,-1.4542519962739364,-1.4542519962739364
2006-02-01,-1.1746583887233708,0.8645523995625356,1,1.0,-1.015553728637052,-1.1746583887233708,-1.1746583887233708
2006-03-01,0.10130954553013716,0.9433136378298796,1,1.0,0.09556667594092551,0.10130954553013716,0.10130954553013716
2006-04-01,2.5735767042299074,0.9951856528876906,1,1.0,2.5611866126555913,2.5735767042299074,2.5735767042299074
2006-05-01,5.79665393213884,0.9999802717653047,1,1.0,5.7965395743896195,5.79665393213884,5.79665393213884
2006-06-01,8.654396873733816,0.9999998688081745,1,1.0,8.654395738347691,8.654396873733816,8.654396873733816
2006-07-01,9.850556707501745,0.9999999808173478,1,1.0,9.850556518541941,9.850556707501745,9.850556707501745
2006-08-01,8.719842097099795,0.9999998818841566,1,1.0,8.719841067148291,8.719842097099795,8.719842097099795
2006-09-01,5.799704410665862,0.9999908380100193,1,1.0,5.799651273832161,5.799704410665862,5.799704410665862
2006-10-01,2.6319863780308594,0.9991752181489709,1,1.0,2.629815563434104,2.6319863780308594,2.6319863780308594
2006-11-01,0.7804160461591714,0.9921472272553968,1,1.0,0.7742876163024417,0.7804160461591714,0.7804160461591714
2006-12-01,0.7062846233083953,0.9772626991843654,1,1.0,0.6902256173667751,0.7062846233083953,0.7062846233083953
2007-01-01,1.3791191735475383,0.9424347831490102,1,1.0,1.2997298792589165,1.3791191735475383,1.3791191735475383
2007-02-01,1.0229203668509879,0.7977608725054117,1,1.0,0.8160458443625999,1.0229203668509879,1.0229203668509879
2007-03-01,-1.4865330953516054,0.351551556746505,0,0.0,-0.5225930238260577,-1.4865330953516054,0.0
2007-04-01,-5.640574536097942,0.07460181461650782,0,0.0,-0.42079709587257325,-5.640574536097942,0.0
2007-05-01,-9.545635194223268,0.025767015839675438,0,0.0,-0.24596253324931425,-9.545635194223268,0.0
2007-06-01,-11.262155105747972,0.013278482393611245,0,0.0,-0.14954432828579345,-11.262155105747972,0.0
2007-07-01,-10.20672722275413,0.005076220625506549,0,0.0,-0.05181159924706369,-10.20672722275413,0.0
2007-08-01,-7.5197783439666654,0.0015410246872227073,0,0.0,-0.01158816407049532,-7.5197783439666654,0.0
2007-09-01,-5.141035472107081,0.00097307719609468,0,0.0,-0.005002624382221248,-5.141035472107081,0.0
2007-10-01,-4.391329267418886,0.001096117327881125,0,0.0,-0.004813412102449367,-4.391329267418886,0.0
2007-11-01,-5.230122802451209,0.0016852692179839686,0,0.0,-0.008814164965247073,-5.230122802451209,0.0
2007-12-01,-6.722113177902278,0.005464577318770307,0,0.0,-0.03673350720617178,-6.722113177902278,0.0
2008-01-01,-8.163669160368869,0.027805287823667146,0,0.0,-0.2269931707012515,-8.163669160368869,0.0
2008-02-01,-9.754155153307408,0.1401754796042895,0,0.0,-1.367293376749518,-9.754155153307408,0.0
2008-03-01,-12.159018996746873,0.5204829700464254,1,1.0,-6.328562320277721,-12.159018996746873,-12.159018996746873
2008-04-01,-15.387684255140355,0.9541282908928069,1,1.0,-14.681824879155222,-15.387684255140355,-15.387684255140355
2008-05-01,-18.116187239813343,0.9997016725766497,1,1.0,-18.110782684353158,-18.116187239813343,-18.116187239813343
2008-06-01,-18.250309870919786,0.9999553718843811,1,1.0,-18.249495393980787,-18.250309870919786,-18.250309870919786
2008-07-01,-14.413347665091486,0.9948894340890143,1,1.0,-14.339687301851084,-14.413347665091486,-14.413347665091486
2008-08-01,-7.142292124476493,0.9769812234467071,1,1.0,-6.977885297984826,-7.142292124476493,-7.142292124476493
2008-09-01,1.2765644337737192,0.9944564608847181,1,1.0,1.269487748901917,1.2765644337737192,1.2765644337737192
2008-10-01,8.28811501328867,0.9999992973888949,1,1.0,8.28810918996702,8.28811501328867,8.28811501328867
2008-11-01,12.695746966476337,0.999999999887627,1,1.0,12.695746965049677,12.695746966476337,12.695746966476337
2008-12-01,15.12498266473723,0.999999999999272,1,1.0,15.12498266472622,15.12498266473723,15.12498266473723
2009-01-01,17.001189865342937,0.9999999999999898,1,1.0,17.001189865342763,17.001189865342937,17.001189865342937
2009-02-01,18.987623311757183,0.9999999999999997,1,1.0,18.987623311757176,18.987623311757183,18.987623311757183
2009-03-01,20.273638130152875,0.9999999999999997,1,1.0,20.273638130152868,20.273638130152875,20.273638130152875
2009-04-01,19.3344336254552,0.9999999999999996,1,1.0,19.334433625455194,19.3344336254552,19.3344336254552
2009-05-01,15.477934654854009,0.9999999999996667,1,1.0,15.47793465484885,15.477934654854009,15.477934654854009
2009-06-01,9.794239000965954,0.9999999786821158,1,1.0,9.7942387921735,9.794239000965954,9.794239000965954
2009-07-01,4.63469927243092,0.9999674590306263,1,1.0,4.63454845482384,4.63469927243092,4.63469927243092
