horizonte_meses,observaciones,beta,t_stat_hac,p_valor_hac,r2_pct,acierto_direccion_pct,sharpe_estrategia,senal
6,242,-0.9046635303308371,-6.187098516653799,6.128166984496064e-10,37.588478917230304,27.27272727272727,-0.6357549850871205,desviacion_hp_pct
12,236,-1.4049460268640406,-6.454448043545143,1.0861403206456388e-10,47.52745988115451,20.76271186440678,-0.6737233512451665,desviacion_hp_pct
18,230,-1.5710563504229844,-5.238582270997369,1.6181483834449443e-07,42.658933147385945,17.82608695652174,-0.5902566968798811,desviacion_hp_pct
24,224,-1.4136290377362373,-4.774690710989211,1.7998365074439495e-06,28.957233764194612,30.357142857142854,-0.3883581548090637,desviacion_hp_pct
6,242,-4.978376231858803,-6.023354770442953,1.7083840515346857e-09,36.24856257847561,27.27272727272727,-0.6357549850871205,zscore_hp
12,236,-8.122089139305722,-7.899855239420205,2.792275296229983e-15,50.595775182426806,20.76271186440678,-0.6737233512451665,zscore_hp
18,230,-9.34126835223397,-6.292519701631866,3.1235366845195803e-10,48.05456511970099,17.82608695652174,-0.5902566968798811,zscore_hp
24,224,-8.050662493821283,-5.561999332192594,2.6670131355632426e-08,29.98210944692926,30.357142857142854,-0.3883581548090637,zscore_hp
6,242,0.6052815961032968,0.7580068910748252,0.4484468573820357,0.8695725104364782,54.132231404958674,0.24912894567874694,diferencial_tasas_reales
12,236,0.7222153307428161,0.5405295342128398,0.5888318987977221,0.648397646328347,58.47457627118644,0.2773668145591265,diferencial_tasas_reales
18,230,0.34175744939798147,0.18701550001965236,0.8516484800918724,0.10539132553546438,66.08695652173913,0.3318946290620159,diferencial_tasas_reales
24,224,0.17971302004372036,0.0942901995433299,0.924878634862286,0.024664633250515156,62.94642857142857,0.3293798950491103,diferencial_tasas_reales
6,242,-0.19754337997400656,-0.17839414748671395,0.8584134452153948,0.06073761126053068,52.066115702479344,0.168542234640093,zscore_diferencial_real
12,236,-1.0900448272434784,-0.7248175870417288,0.468563944947616,0.9619679152347627,46.61016949152542,-0.021270684924092394,zscore_diferencial_real
18,230,-2.3632203206596616,-1.5296338756783212,0.1261073794481473,3.275924034697142,50.0,-0.05619735851559678,zscore_diferencial_real
24,224,-3.635393090752547,-2.5118400984997913,0.012010349501467062,6.592757506799208,46.42857142857143,-0.0772192339180287,zscore_diferencial_real
6,242,0.022928257859576365,0.23044504620732142,0.817745961079639,0.12604456731823976,50.82644628099173,0.03568231176759388,momentum_ti_12m
12,236,-0.023202304047007898,-0.1498327100900864,0.8808966017383536,0.06761973231539375,45.33898305084746,-0.07384061101170489,momentum_ti_12m
18,230,-0.037318348629099544,-0.2468623102960022,0.8050147857333658,0.12675675958441213,47.391304347826086,-0.05454147267566908,momentum_ti_12m
24,224,-0.06253282103739125,-0.40574639587198313,0.684928948548614,0.3017913199741207,51.33928571428571,-0.07262415492798016,momentum_ti_12m
6,242,0.7833256749990778,0.6422553190213347,0.5207074200909905,0.8617395931768357,53.71900826446281,0.09478742849026381,zscore_ti
12,236,0.971207512615591,0.43070605173172843,0.6666821179561384,0.6935264694501009,50.847457627118644,0.04530908365599868,zscore_ti
18,230,0.7150667254608173,0.30159498546533575,0.762960831119435,0.27291004043132894,48.26086956521739,-0.048434529875526,zscore_ti
24,224,0.6123622034308236,0.24335033777773152,0.8077340122199237,0.17007153710925094,51.78571428571429,-0.05694827508997182,zscore_ti
6,207,-0.5085321042946955,-0.4023054044780348,0.6874592777067614,0.4397063418139835,39.130434782608695,-0.19614152213216324,embig_zscore
