p_cambio_trm,aic,bic,r_cuadrado_ajustado
1,-968.9634871471699,-850.6217637535422,0.17341199679273978
2,-969.4070329971883,-847.5846706802186,0.17779386414660903
3,-969.3877263591471,-844.0847251188354,0.18055422020726175
0,-957.9087029276454,-843.0476184573597,0.13142086506393613
