fecha,ln_trm,permanente_bn,transitorio_bn,transitorio_bn_pct
2006-01-01,7.729168563216349,,,
2006-02-01,7.721247290362429,,,
2006-03-01,7.723968718663999,,,
2006-04-01,7.755826126252273,,,
2006-05-01,7.7909645455097545,,,
2006-06-01,7.840792994031259,,,
2006-07-01,7.8295104086420695,,,
2006-08-01,7.778623260900716,,,
2006-09-01,7.782685815976647,,,
2006-10-01,7.767177816758102,,,
2006-11-01,7.73649834463475,,,
2006-12-01,7.723432204559075,,,
2007-01-01,7.71253428549029,,,
2007-02-01,7.708666423887489,7.883636553671137,-0.17497012978364798,-17.497012978364797
2007-03-01,7.697504766067838,7.860448647785203,-0.16294388171736474,-16.294388171736472
2007-04-01,7.670848521043502,7.822465736765608,-0.15161721572210604,-15.161721572210604
2007-05-01,7.605599154717131,7.751303690929369,-0.14570453621223717,-14.570453621223717
2007-06-01,7.561919571439515,7.715551814317621,-0.15363224287810645,-15.363224287810645
2007-07-01,7.576529614369048,7.739531848061647,-0.16300223369259914,-16.300223369259914
2007-08-01,7.628559831031492,7.80098888159097,-0.17242905055947888,-17.242905055947887
2007-09-01,7.656038951044396,7.820587966550594,-0.16454901550619805,-16.454901550619805
2007-10-01,7.601445376652042,7.749949731254088,-0.14850435460204645,-14.850435460204645
2007-11-01,7.623816418094039,7.806462698633113,-0.18264628053907356,-18.264628053907355
2007-12-01,7.607795903134527,7.764785490151981,-0.15698958701745405,-15.698958701745406
2008-01-01,7.59245901051394,7.733825857013176,-0.14136684649923648,-14.136684649923648
2008-02-01,7.552391678755272,7.678318134083188,-0.12592645532791658,-12.592645532791657
2008-03-01,7.519417543030318,7.67063301138538,-0.15121546835506217,-15.121546835506216
2008-04-01,7.492817680891716,7.656070333003629,-0.1632526521119129,-16.32526521119129
2008-05-01,7.481643658059434,7.646824925297651,-0.16518126723821647,-16.518126723821645
2008-06-01,7.457197394935142,7.6089522946794945,-0.15175489974435252,-15.175489974435251
2008-07-01,7.484955640233934,7.66069850414113,-0.17574286390719568,-17.574286390719568
2008-08-01,7.521576430476941,7.700531037357045,-0.17895460688010406,-17.895460688010406
2008-09-01,7.633460158652255,7.827684630951024,-0.19422447229876919,-19.42244722987692
2008-10-01,7.7358083103918,7.91840400670944,-0.1825956963176401,-18.259569631764013
2008-11-01,7.755193272407391,7.91112896131413,-0.15593568890673945,-15.593568890673945
2008-12-01,7.719356524488232,7.8614887719759965,-0.14213224748776485,-14.213224748776485
2009-01-01,7.720242561910567,7.873853600718689,-0.1536110388081221,-15.36110388081221
2009-02-01,7.828971574611639,8.001965051936708,-0.17299347732506848,-17.29934773250685
2009-03-01,7.811825580113745,7.933158339925935,-0.1213327598121896,-12.133275981218961
2009-04-01,7.772587509840422,7.907651871398055,-0.13506436155763246,-13.506436155763247
2009-05-01,7.708553334195126,7.864693390983342,-0.15614005678821566,-15.614005678821567
2009-06-01,7.644661097899847,7.819804403171623,-0.17514330527177605,-17.514330527177606
2009-07-01,7.625224114272364,7.785421088154493,-0.1601969738821285,-16.01969738821285
2009-08-01,7.609672918638123,7.754172264455998,-0.14449934581787569,-14.449934581787568
2009-09-01,7.589858195562194,7.7467667420022375,-0.1569085464400433,-15.690854644004329
2009-10-01,7.550345905579194,7.724475228354526,-0.17412932277533247,-17.412932277533248
2009-11-01,7.589274786069314,7.7860955754675265,-0.19682078939821235,-19.682078939821235
2009-12-01,7.609868435108771,7.77930956160106,-0.16944112649228923,-16.944112649228924
2010-01-01,7.592581321800545,7.74465855332794,-0.15207723152739483,-15.207723152739483
2010-02-01,7.576468326935738,7.7226090189168435,-0.1461406919811052,-14.614069198110519
2010-03-01,7.554330599245306,7.708110635313496,-0.15378003606818977,-15.378003606818977
2010-04-01,7.569127438300412,7.732062318607858,-0.16293488030744627,-16.293488030744626
2010-05-01,7.592665239508548,7.746535949201571,-0.15387070969302338,-15.387070969302338
2010-06-01,7.563639748251453,7.703593041614871,-0.1399532933634185,-13.99532933634185
2010-07-01,7.53604991060832,7.692953845321167,-0.1569039347128471,-15.690393471284711
2010-08-01,7.507251257711218,7.6711816363999095,-0.1639303786886912,-16.393037868869122
2010-09-01,7.498743664753316,7.659215430863583,-0.1604717661102673,-16.04717661102673
2010-10-01,7.500312268203466,7.65495360874507,-0.15464134054160483,-15.464134054160484
2010-11-01,7.529940149984486,7.694358011518847,-0.16441786153436036,-16.441786153436038
2010-12-01,7.561293942170207,7.733115586344077,-0.17182164417387025,-17.182164417387025
2011-01-01,7.532129264385349,7.692046882537807,-0.15991761815245786,-15.991761815245786
2011-02-01,7.540287659105989,7.7079695669210295,-0.16768190781504091,-16.768190781504092
2011-03-01,7.539991929922422,7.69661831338836,-0.15662638346593766,-15.662638346593766
2011-04-01,7.500990407346822,7.642283502262942,-0.1412930949161206,-14.12930949161206
2011-05-01,7.495824520443194,7.644390410348119,-0.14856588990492453,-14.856588990492453
2011-06-01,7.486141976368214,7.640433270174603,-0.15429129380638987,-15.429129380638987
2011-07-01,7.473974286720618,7.635780062745365,-0.16180577602474658,-16.180577602474656
2011-08-01,7.487487370502384,7.657289678894006,-0.16980230839162228,-16.98023083916223
2011-09-01,7.5138836279792125,7.683927980091655,-0.17004435211244237,-17.004435211244235
2011-10-01,7.5536059212933715,7.728515540370417,-0.17490961907704522,-17.490961907704524
2011-11-01,7.559806990130978,7.72326104902631,-0.16345405889533152,-16.34540588953315
2011-12-01,7.567010195921154,7.725875252163322,-0.1588650562421676,-15.88650562421676
2012-01-01,7.5247135395984905,7.668705670127817,-0.14399213052932702,-14.399213052932701
2012-02-01,7.4859151028482085,7.632563689229551,-0.1466485863813422,-14.66485863813422
2012-03-01,7.476660139812039,7.625045636213143,-0.1483854964011034,-14.83854964011034
2012-04-01,7.481132513786503,7.637254608414274,-0.1561220946277712,-15.612209462777122
2012-05-01,7.491799825436586,7.654810596709664,-0.16301077127307836,-16.301077127307835
2012-06-01,7.49139260653749,7.659299149578465,-0.16790654304097516,-16.790654304097515
2012-07-01,7.486512592025514,7.65874304777988,-0.17223045575436594,-17.223045575436593
2012-08-01,7.498605704554159,7.672346690811208,-0.173740986257049,-17.3740986257049
2012-09-01,7.497066521865156,7.655078398549069,-0.15801187668391276,-15.801187668391275
2012-10-01,7.497983941857493,7.648820073301785,-0.15083613144429178,-15.083613144429178
2012-11-01,7.50714858473331,7.664020387878659,-0.1568718031453492,-15.68718031453492
2012-12-01,7.491363693088696,7.644873664106501,-0.1535099710178045,-15.35099710178045
2013-01-01,7.478549825770118,7.635400054844176,-0.15685022907405827,-15.685022907405827
2013-02-01,7.490276917449265,7.653977063452853,-0.16370014600358798,-16.370014600358797
2013-03-01,7.50315109278666,7.66576412902465,-0.16261303623799017,-16.261303623799016
2013-04-01,7.5121976495037455,7.673925948411625,-0.16172829890787993,-16.172829890787995
2013-05-01,7.521816659477786,7.684889112823462,-0.16307245334567538,-16.30724533456754
2013-06-01,7.554779634857689,7.727134275409643,-0.1723546405519541,-17.23546405519541
2013-07-01,7.550420720304633,7.709623560982073,-0.15920284067744025,-15.920284067744026
2013-08-01,7.550716022650328,7.7075671771923755,-0.15685115454204754,-15.685115454204754
2013-09-01,7.5598264397045725,7.716667993267361,-0.15684155356278856,-15.684155356278856
2013-10-01,7.541752747495164,7.694576639797369,-0.15282389230220525,-15.282389230220526
2013-11-01,7.560993069305166,7.724847492183564,-0.16385442287839763,-16.385442287839762
2013-12-01,7.566805783157843,7.724680195109034,-0.15787441195119098,-15.787441195119097
2014-01-01,7.579314659126964,7.744657020983576,-0.1653423618566117,-16.534236185661168
2014-02-01,7.619965843076676,7.794985279160647,-0.17501943608397127,-17.501943608397127
2014-03-01,7.610710812894373,7.7688415053416335,-0.1581306924472605,-15.81306924472605
2014-04-01,7.569597705680332,7.717700467097118,-0.14810276141678624,-14.810276141678624
2014-05-01,7.557661378756219,7.716785074537442,-0.1591236957812228,-15.912369578122279
2014-06-01,7.542764389525095,7.696146753285505,-0.15338236376040987,-15.338236376040987
2014-07-01,7.527064401330524,7.677883545086952,-0.15081914375642808,-15.081914375642807
2014-08-01,7.548621920773509,7.713078801548737,-0.16445688077522821,-16.44568807752282
2014-09-01,7.587673677101297,7.763194690484393,-0.1755210133830953,-17.55210133830953
2014-10-01,7.624896008017155,7.806519884858769,-0.18162387684161482,-18.162387684161484
2014-11-01,7.663259070794584,7.838654068650328,-0.17539499785574442,-17.539499785574442
2014-12-01,7.758868799778211,7.943893493901791,-0.18502469412357944,-18.502469412357943
2015-01-01,7.782080890097849,7.939859796981236,-0.15777890688338675,-15.777890688338674
2015-02-01,7.79180067310773,7.944164315363281,-0.1523636422555516,-15.23636422555516
2015-03-01,7.8576209156402985,8.022835101272578,-0.16521418563227985,-16.521418563227986
2015-04-01,7.826143010614599,7.965042669316448,-0.13889965870184873,-13.889965870184874
2015-05-01,7.798742627912708,7.942622634313699,-0.14388000640099116,-14.388000640099117
2015-06-01,7.84872990796153,8.016485616317162,-0.16775570835563317,-16.775570835563318
2015-07-01,7.91280232691944,8.091742540780901,-0.17894021386146114,-17.894021386146115
2015-08-01,8.010554596250847,8.20147278593262,-0.19091818968177277,-19.091818968177275
2015-09-01,8.028262122985458,8.192011472920978,-0.16374934993551915,-16.374934993551914
2015-10-01,7.982577569086621,8.137262919130613,-0.15468535004399123,-15.468535004399122
2015-11-01,8.006826240221676,8.189776560666308,-0.18295032044463272,-18.295032044463273
2015-12-01,8.084624562781055,8.259435801089992,-0.17481123830893747,-17.481123830893747
2016-01-01,8.09260494446216,8.223808049507534,-0.1312031050453742,-13.12031050453742
2016-02-01,8.118194201797685,8.272626167769241,-0.1544319659715556,-15.44319659715556
2016-03-01,8.048401318020325,8.19587387596111,-0.14747255794078526,-14.747255794078526
2016-04-01,8.005609613809128,8.178524591690733,-0.17291497788160473,-17.291497788160473
2016-05-01,8.004201352130908,8.169267673159935,-0.16506632102902694,-16.506632102902692
2016-06-01,8.003984285443607,8.151295841221284,-0.14731155577767574,-14.731155577767574
2016-07-01,7.993282219158443,8.144150729084142,-0.15086850992569853,-15.086850992569852
2016-08-01,7.990497899347397,8.165035917711943,-0.17453801836454613,-17.453801836454613
2016-09-01,7.980798560026801,8.156960707208775,-0.17616214718197298,-17.6162147181973
