fecha,moneda,desviacion_cf_pct,retorno_forward_pct
2006-01-01,COP,-1.4542519962739364,-1.6634277726058855
2006-02-01,COP,-1.1746583887233708,-1.25808664749405
2006-03-01,COP,0.10130954553013716,-2.6463952596160745
2006-04-01,COP,2.5735767042299074,-8.49776052087714
2006-05-01,COP,5.79665393213884,-18.536539079262315
2006-06-01,COP,8.654396873733816,-27.887342259174375
2006-07-01,COP,9.850556707501745,-25.298079427302156
2006-08-01,COP,8.719842097099795,-15.006342986922405
2006-09-01,COP,5.799704410665862,-12.664686493225119
2006-10-01,COP,2.6319863780308594,-16.573244010606025
2006-11-01,COP,0.7804160461591714,-11.268192654071107
2006-12-01,COP,0.7062846233083953,-11.563630142454873
2007-01-01,COP,1.3791191735475383,-12.007527497635007
2007-02-01,COP,1.0229203668509879,-15.627474513221706
2007-03-01,COP,-1.4865330953516054,-17.808722303751967
2007-04-01,COP,-5.640574536097942,-17.803084015178605
2007-05-01,COP,-9.545635194223268,-12.395549665769767
2007-06-01,COP,-11.262155105747972,-10.472217650437265
2007-07-01,COP,-10.20672722275413,-9.157397413511426
2007-08-01,COP,-7.5197783439666654,-10.698340055455091
2007-09-01,COP,-5.141035472107081,-2.2578792392140556
2007-10-01,COP,-4.391329267418886,13.436293373975783
2007-11-01,COP,-5.230122802451209,13.1376854313352
2007-12-01,COP,-6.722113177902278,11.156062135370526
2008-01-01,COP,-8.163669160368869,12.7783551396627
2008-02-01,COP,-9.754155153307408,27.657989585636766
2008-03-01,COP,-12.159018996746873,29.2408037083427
2008-04-01,COP,-15.387684255140355,27.976982894870606
2008-05-01,COP,-18.116187239813343,22.690967613569235
2008-06-01,COP,-18.250309870919786,18.746370296470438
2008-07-01,COP,-14.413347665091486,14.026847403843057
2008-08-01,COP,-7.142292124476493,8.809648816118187
2008-09-01,COP,1.2765644337737192,-4.360196309006081
2008-10-01,COP,8.28811501328867,-18.54624048126059
2008-11-01,COP,12.695746966476337,-16.591848633807693
2008-12-01,COP,15.12498266473723,-10.948808937946097
2009-01-01,COP,17.001189865342937,-12.766124011002145
2009-02-01,COP,18.987623311757183,-25.250324767590104
2009-03-01,COP,20.273638130152875,-25.749498086843925
2009-04-01,COP,19.3344336254552,-20.34600715400101
2009-05-01,COP,15.477934654854009,-11.588809468657768
2009-06-01,COP,9.794239000965954,-8.102134964839358
2009-07-01,COP,4.63469927243092,-8.91742036640446
2009-08-01,COP,2.0150598501851746,-10.242166092690486
2009-09-01,COP,2.2537210902873195,-9.111453080887877
2009-10-01,COP,3.940092307817511,-5.003363737572819
2009-11-01,COP,5.193119069971496,-5.933463608482814
2009-12-01,COP,5.113641617915854,-4.8574492938564084
2010-01-01,COP,4.249256646648691,-6.045205741519677
2010-02-01,COP,3.799684915178292,-3.61806678297496
2010-03-01,COP,4.366119256812484,-1.4338669322883746
2010-04-01,COP,5.3657631457212585,-6.813703095359003
2010-05-01,COP,5.573555492059468,-9.684071906535419
2010-06-01,COP,4.2487199193899094,-7.749777188323925
2010-07-01,COP,1.8376989447151049,-6.20756238877016
2010-08-01,COP,-0.3266514517998753,-1.9763887208833708
2010-09-01,COP,-1.0259544934733245,1.5139963225896835
2010-10-01,COP,-0.005694343723350315,5.329365308990575
2010-11-01,COP,1.9614047962643766,2.98668401464921
2010-12-01,COP,3.7214082112427826,0.5716253750946976
2011-01-01,COP,4.478232198447318,-0.7415724786858036
2011-02-01,COP,4.074954022653099,-5.437255625778015
2011-03-01,COP,2.7814837179910623,-6.333179011038315
2011-04-01,COP,0.9789001779763218,-1.9857893560319084
2011-05-01,COP,-0.913952453880218,-0.402469500660807
2011-06-01,COP,-2.32351639503936,0.5250630169276072
2011-07-01,COP,-2.555575084136208,1.2538305304896191
2011-08-01,COP,-1.1791041459684848,1.1118334051775314
2011-09-01,COP,1.4769161987752688,-1.6817106114056735
2011-10-01,COP,4.216746813019412,-5.562197943587854
2011-11-01,COP,5.537722654013602,-5.265840539766842
2011-12-01,COP,4.566107072367037,-7.564650283245733
2012-01-01,COP,1.6797906850369138,-4.616371382837237
2012-02-01,COP,-1.7040837820744712,0.4361814601056224
2012-03-01,COP,-4.062551709714381,2.6490952974620896
2012-04-01,COP,-4.730499876891969,3.1065135717242676
2012-05-01,COP,-4.183363241568271,3.001683404120037
2012-06-01,COP,-3.486681997575282,6.338702832019916
2012-07-01,COP,-3.4228413718637705,6.3908128279118515
2012-08-01,COP,-4.013125803628522,5.211031809616884
2012-09-01,COP,-4.752348250447557,6.27599178394167
2012-10-01,COP,-5.238164806937287,4.376880563767127
2012-11-01,COP,-5.569095138059343,5.38444845718562
2012-12-01,COP,-6.155530100538156,7.5442090069146595
2013-01-01,COP,-7.16692319833597,10.07648333568456
2013-02-01,COP,-8.189832226864748,12.968892562741097
2013-03-01,COP,-8.477420704941446,10.75597201077132
2013-04-01,COP,-7.611980480413438,5.740005617658639
2013-05-01,COP,-5.989231526074623,3.5844719278432358
2013-06-01,COP,-4.648272378559387,-1.2015245332594127
2013-07-01,COP,-4.525168634158816,-2.335631897410906
2013-08-01,COP,-5.719846119330263,-0.20941018768194652
2013-09-01,COP,-7.385238074756212,2.78472373967249
2013-10-01,COP,-8.349968881100834,8.31432605219904
2013-11-01,COP,-7.99170369952939,10.226600148941767
2013-12-01,COP,-6.686261936150467,19.20630166203683
2014-01-01,COP,-5.5160981333850225,20.276623097088553
2014-02-01,COP,-5.511915628575531,17.183483003105415
2014-03-01,COP,-7.02527046313211,24.69101027459253
2014-04-01,COP,-9.644275878130298,25.65453049342672
2014-05-01,COP,-12.574949840945132,24.108124915648954
2014-06-01,COP,-15.06779117530801,30.59655184364347
2014-07-01,COP,-16.555071368538805,38.57379255889164
2014-08-01,COP,-16.547873491447934,46.19326754773381
2014-09-01,COP,-14.61860937834133,44.058844588416065
2014-10-01,COP,-10.678670941889818,35.76815610694668
2014-11-01,COP,-5.363633251729405,34.35671694270921
2014-12-01,COP,-0.0716441765729714,32.5755763002844
2015-01-01,COP,3.6165001046723546,31.05240543643104
2015-02-01,COP,4.874605804024062,32.63935286899553
2015-03-01,COP,4.248193115173127,19.078040238002636
2015-04-01,COP,3.3960817159537307,17.946660319452867
2015-05-01,COP,4.0359024422532945,20.545872421819933
2015-06-01,COP,6.8226175785656205,15.525437748207782
2015-07-01,COP,10.991272518289577,8.04798922390031
2015-08-01,COP,15.020923252693228,-2.005669690344991
2015-09-01,COP,17.773892371492813,-4.746356295865706
2015-10-01,COP,19.198362297699713,-0.0028520351502692165
2015-11-01,COP,20.06741377474045,3.5634934054588285
2015-12-01,COP,21.045261314578916,-7.4974431652954365
2016-01-01,COP,21.930501527433037,-10.596422633413916
2016-02-01,COP,21.753135349805895,-15.279906160914525
2016-03-01,COP,19.65020136600733,-6.1459164948953315
2016-04-01,COP,15.76270366169238,-4.082069260876153
2016-05-01,COP,11.36740815876708,-2.362592606272962
2016-06-01,COP,8.097715361897514,-1.2020511719517124
2016-07-01,COP,6.86303568284266,2.5206216732279074
2016-08-01,COP,7.307962775791918,0.6897820944121946
2016-09-01,COP,8.188561290005776,-0.2458451056716271
2016-10-01,COP,8.304674947382978,0.8283745553863575
2016-11-01,COP,7.24046242170586,-3.161476274944519
2016-12-01,COP,5.415041926467576,-0.6032362216778608
