fecha,hp_standard,hp_expanding,ma_60m,ema_60m,bk_trend,cf_trend,hamilton,butterworth
2006-01-01,7.766728560177734,,,,,7.743711083179088,,0.019713516166736732
2006-02-01,7.76085982143215,,,,,7.731703749037155,,0.09563266469831332
2006-03-01,7.754988474353448,,,,,7.72037537278368,,0.23892617554019047
2006-04-01,7.749109159738297,,,,,7.72621998357245,,0.43893290675076757
2006-05-01,7.743214364233666,,,,,7.727837505338334,,0.6860647785729719
2006-06-01,7.737297040942535,,,,,7.747798399231379,,0.971701262737004
2006-07-01,7.731353458952688,,,,,7.723264090292003,,1.287943066430864
2006-08-01,7.725387074570876,,,,,7.682393963442159,,1.6272907285037912
2006-09-01,7.719408160558689,,,,,7.714367770169922,,1.9828236293707926
2006-10-01,7.713430686635097,,,,,7.72924682606522,,2.3485380322415534
2006-11-01,7.707473016800699,,,,,7.715792932048076,,2.7191543748289266
2006-12-01,7.7015572474956855,,,,,7.702177980988401,,3.089987440855927
2007-01-01,7.695707490808016,,,,,7.683261591204715,7.711513557550482,3.4570514110545862
2007-02-01,7.689949377919892,,,,,7.681665592456371,7.710087483066724,3.8170214865804692
2007-03-01,7.684309708540921,,,,,7.694308344046238,7.717824164049852,4.167125692487034
2007-04-01,7.678816582175575,,,,,7.7079023882168585,7.7018789980402484,4.505015477728995
2007-05-01,7.673499014651763,,,,,7.680413503259231,7.662115270820838,4.828594110601358
2007-06-01,7.66838546845982,,,,,7.652608993884354,7.590364472244828,5.136018110563359
2007-07-01,7.663499690822029,,,,,7.655374632771441,7.560325237076362,5.4260228321487185
2007-08-01,7.658858035495595,,,,,7.679245235433502,7.585257133546616,5.698143219445727
2007-09-01,7.654470816649084,,,,,7.681646801515302,7.6433561428643495,5.952437624864778
2007-10-01,7.650346244409082,,,,,7.618266039863557,7.658622681782608,6.1888991070065975
2007-11-01,7.646492637800397,,,,,7.64773489144337,7.583994025824394,6.407418637894439
2007-12-01,7.642914919954241,,,,,7.64534415502586,7.642179605821406,6.608170597322572
2008-01-01,7.639616439264347,,,,,7.64313269701743,7.6189680774128,6.791488835262424
2008-02-01,7.636598105303832,,,,,7.617680099975639,7.598174441250318,6.957681600393275
2008-03-01,7.63385755282437,,,,,7.607464477472573,7.528856719143139,7.107083110361866
2008-04-01,7.631386568909129,,,,,7.611861142705396,7.507407457888516,7.240142248889375
2008-05-01,7.629168993418374,,,,,7.626682024507336,7.493449905573826,7.357502788616902
2008-06-01,7.6271790433729345,,,,,7.602286862481601,7.491408534186261,7.459941140094082
2008-07-01,7.625380690978686,,,,,7.590385360509601,7.449113618239865,7.548383869103405
2008-08-01,7.623726104160366,,,,,7.55300547013395,7.493407287274409,7.6240278354683175
2008-09-01,7.622157699103074,,,,,7.579410507514254,7.537625726951754,7.688406043058008
2008-10-01,7.620610798264565,,,,,7.6103530282461405,7.6707785297353865,7.7433376154563245
2008-11-01,7.61902150899562,,,,,7.584371545517348,7.762748276820614,7.790419365878282
2008-12-01,7.617333938474248,,,7.639729528828751,,7.522952315403071,7.760671980922947,7.830520022193463
2009-01-01,7.615501650250919,,,7.643454266711503,7.569043688611099,7.50378615560684,7.71350734193342,7.864060325187922
2009-02-01,7.613485292777912,,,7.6519226525766415,7.660329971555673,7.591360708631262,7.733876622316981,7.891791567645233
2009-03-01,7.611252788181921,,,7.6591291290296155,7.632411788877158,7.560064440736903,7.867788102788069,7.914743619441395
2009-04-01,7.608787022914767,,,7.664180416448214,7.604541667984116,7.528928290298048,7.79663795648683,7.933429958845384
2009-05-01,7.606084812094379,,,7.666133033447094,7.5814401482261475,7.502168979146257,7.745361825608933,7.9478399173327094
2009-06-01,7.6031543458724995,,,7.665198649085372,7.577209317985043,7.493823574177348,7.683134347273783,7.957825451883673
2009-07-01,7.60001093027046,,,7.663477562274559,7.6120528376831045,7.524691862622708,7.6540964048387945,7.963354901787837
2009-08-01,7.596672753722925,,,7.661184569683912,7.624420197496596,7.534046935998417,7.637084030228378,7.9646834683073235
2009-09-01,7.593159755580119,,,7.658174443367264,7.602790941670394,7.5105554753089585,7.597120261511787,7.962196413989021
2009-10-01,7.589492777981502,,,7.65366629270658,7.5469339483122075,7.4528893479381475,7.567964627307534,7.956202819909978
2009-11-01,7.585692433791531,,,7.65099824974807,7.575031736919152,7.477997835594219,7.543954196823194,7.947093709936758
2009-12-01,7.58177661734186,,7.663302462981592,7.649308659360566,7.599112965097337,7.498096133941725,7.618249935617379,7.935541197831686
2010-01-01,7.577763471738605,,7.66185917438606,7.646997496703899,7.59282996279837,7.488162745133662,7.6228288833734705,7.92215972934847
2010-02-01,7.57367309090856,,7.660151357437054,7.644146702543481,7.582310415558124,7.47525534237105,7.5930632658749,7.907260827754293
2010-03-01,7.569526597795889,,7.658076440609765,7.640543830527114,7.554758989857502,7.446163146051768,7.568158133509961,7.891022622528232
2010-04-01,7.56534530945837,,7.656365882873047,7.637699879836177,7.56013301577656,7.449673421005279,7.553755219668247,7.873678852101468
2010-05-01,7.561149487676099,,7.65516398394164,7.635919034528069,7.583133002187815,7.469843173537525,7.585422943109046,7.85563769328113
2010-06-01,7.556959656877015,,7.653469090688119,7.633080012978521,7.569365863183401,7.452775912794617,7.601505947636664,7.8372629782786465
2010-07-01,7.552798530082931,,7.65133419650485,7.629293397860602,7.567397289163683,7.448006159685724,7.548176256228965,7.818629687054071
2010-08-01,7.548689284210895,,7.648761286883535,7.624560210918776,7.560868090975671,7.439560885541263,7.5276673861203935,7.799675292222669
2010-09-01,7.544653933079384,,7.6461293987759875,7.619709725490388,7.5597202749328885,7.436756197787587,7.511362978176686,7.780398397819467
2010-10-01,7.540711612866141,,7.64361531031784,7.615133094100773,7.551690481838852,7.426832074527729,7.5085767863789155,7.760927212912927
2010-11-01,7.53687827153583,,7.641688612685072,7.611885562929231,7.5620499514529325,7.435498839696364,7.502630764118042,7.741548999220214
