n_oos,r2_oos_pct,correlacion,direccion_pct,dm_p_valor,senal
141,22.747207074916865,0.35730593536627053,61.702127659574465,0.007407652832609468,z_fletes_transporte_us
141,21.980026149165354,0.3702733392884763,65.95744680851064,0.03941781403756628,z_us_industrial_production
141,19.52958256594893,0.3816991477106368,61.702127659574465,0.12005001439931684,z_desempleo_us
164,15.774414809755832,0.21613399911000342,58.536585365853654,0.0006784425440038433,mom12_fletes_transporte_us
164,15.629741197619506,0.19296540353899203,63.41463414634146,0.03067567301042784,mom12_us_manufacturing_emp
141,15.538590191710068,0.42428865076642325,59.57446808510638,0.27728640051510567,z_us_manufacturing_emp
141,15.238916068784258,0.30522898887691335,62.4113475177305,0.10334478809771874,z_epu_global
141,15.132689664569998,0.34581186499237954,66.66666666666666,0.0034687123144356846,score_global
141,13.809876891212713,0.336760713204909,74.46808510638297,0.03048332163598766,z_nfci_chicago
164,12.616890423492478,0.16402598750062874,58.536585365853654,0.006385330765518837,mom12_us_industrial_production
141,12.51388123133218,0.32295888483062657,75.177304964539,0.03905530966717086,z_anfci_chicago
103,11.46031064199896,0.07162644409649412,62.13592233009708,0.257183858305968,z_produccion_industrial_china
126,7.503223811519543,-0.17421060657867657,56.34920634920635,0.0369370807774303,mom12_produccion_industrial_china
141,5.979984319073428,0.23229471357750395,63.829787234042556,0.4948632851207102,z_estres_financiero_stl
146,5.627771232034018,-0.10690865488919146,57.534246575342465,0.11112321777631773,mom12_indicador_lider_china
164,4.647053543142343,-0.15112275999942087,54.268292682926834,0.2256867530524287,mom12_nfci_chicago
164,4.004874822621529,-0.159401530920518,53.65853658536586,0.26921969028043113,mom12_breakeven_5y_us
164,3.8459989011897955,-0.15752651676226545,53.65853658536586,0.2923530917097781,mom12_breakeven_10y_us
164,3.8441656715301975,0.035764376097503325,53.65853658536586,0.3350116113344759,mom12_precios_importacion_china
123,3.4402555870349794,-0.02597800661767075,68.29268292682927,0.4773568164312514,z_indicador_lider_china
141,3.0006876851486064,-0.062087833369913616,58.156028368794324,0.6299989022307579,z_precios_importacion_china
141,2.571841671822872,0.031689013294085154,60.99290780141844,0.7584053092295966,z_yield_10y_us
164,2.203094712221687,-0.12261008323796609,56.70731707317073,0.6021071579880428,mom12_yield_10y_us
164,1.9709219651458998,-0.1836501700252915,53.04878048780488,0.5766294842099975,mom12_spread_10y_2y_us
141,1.500730081616386,0.005341631860566745,60.28368794326241,0.857857716036051,z_yield_real_10y_tips
141,0.3875375793925939,0.19255611848212545,56.02836879432624,0.9761341889023414,z_yield_real_5y
141,-0.9938785442716869,-0.18821013952964682,57.446808510638306,0.8803474633146444,z_breakeven_5y_us
141,-1.0206104268297267,0.029888161825315156,55.319148936170215,0.9187462882514859,z_spread_10y_2y_us
141,-1.1501453824327657,-0.24364176329911108,56.02836879432624,0.8354257408204586,z_breakeven_10y_us
141,-1.8465915643433028,-0.16155084974242467,54.60992907801418,0.7681465263512517,z_commodities_index
164,-2.6667963029332498,-0.07981159459432477,54.268292682926834,0.6489745986637225,mom12_anfci_chicago
164,-2.7006099487171698,-0.12494274374497132,53.04878048780488,0.6464546408313503,mom12_yield_real_5y
141,-2.7859813878289286,-0.3003151085310119,55.319148936170215,0.6080569441970964,z_brent_usd
164,-3.1513551170406995,-0.11569040798374955,49.390243902439025,0.4192909599382286,mom12_brent_usd
164,-3.66174301193114,-0.10933654776693531,50.0,0.3442819505669781,mom12_commodities_index
164,-4.924128860878696,0.17867588100652448,64.02439024390245,0.815244329958329,mom12_desempleo_us
164,-5.346727954017072,0.2579846718949191,50.609756097560975,0.6332338085628388,mom12_yield_2y_us
141,-8.760206545988058,0.3965701903179425,62.4113475177305,0.640987620151966,z_yield_2y_us
164,-63.457578002001405,-0.06318480142208693,55.487804878048784,0.3537162157218099,mom12_estres_financiero_stl
164,-3550.3624794198167,-0.004231059743633687,59.14634146341463,0.31598365048140975,mom12_yield_real_10y_tips
