moneda,tipo,beta,t_stat,p_valor,r2,n
COP,individual,-1.1272362518620294,-5.074463321305627,3.885911753732017e-07,0.44659994123139324,236
BRL,individual,-1.1206896829376676,-8.305023665337755,9.979955405249717e-17,0.4497930068134749,235
CLP,individual,-1.1152233320039442,-8.225360201719477,1.9460512895246767e-16,0.48316913958585506,235
MXN,individual,-1.1463491741138396,-6.8594463845846185,6.9127916864657236e-12,0.4734995756201944,235
PANEL,pooled,-1.1265337267970013,-235.01604224394643,0.0,0.457066099771694,941
PANEL,efectos_fijos,-1.1258876183092577,-216.39099774549686,0.0,0.46116354634052503,941
