modelo,observaciones,mse_log,mae_log,rmse_log,mape_pct,acierto_direccion_pct,r2_vs_caminata
Pronóstico parsimonioso (top-3),48,0.0011167336618900178,0.025686005141847157,0.03341756516998236,2.5706268854255394,46.808510638297875,-0.07602178879406307
Caminata aleatoria,48,0.0010378355471236155,0.024028760243602603,0.03221545509726062,2.394031003568149,46.808510638297875,0.0
Combinación 50/50,48,0.0010516882182989285,0.024839462599297073,0.0324297428034656,2.480066850037364,44.680851063829785,-0.013347655332972552
Combinación inversa MSE,48,0.0010459342082257395,0.024756354614216325,0.03234090611324518,2.4716171009812067,44.680851063829785,-0.007803414639794948
