fecha,desviacion,r_forward,prob_regimen_1,prob_regimen_2,regimen_mas_probable
2009-12-01,-0.0534340278728207,-4.8574492938564084,0.979777156023483,0.02022284397651723,0
2010-01-01,-0.06927785258551467,-6.045205741519677,0.9917058930031184,0.008294106996881807,0
2010-02-01,-0.08368303050131587,-3.61806678297496,0.9968388765067598,0.0031611234932401467,0
2010-03-01,-0.10374584136445897,-1.4338669322883746,0.997939786589899,0.00206021341010081,0
2010-04-01,-0.08723844457263485,-6.813703095359003,0.9961427774580828,0.003857222541917206,0
2010-05-01,-0.06249874443309178,-9.684071906535419,0.9937026875376747,0.006297312462325252,0
2010-06-01,-0.08982934243666563,-7.749777188323925,0.9952899422086035,0.004710057791396327,0
2010-07-01,-0.11528428589653039,-6.20756238877016,0.9973748172227266,0.002625182777273174,0
2010-08-01,-0.14151002917231725,-1.9763887208833708,0.998900669282511,0.0010993307174888807,0
2010-09-01,-0.14738573402267185,1.5139963225896835,0.9992382759861455,0.0007617240138544388,0
2010-10-01,-0.1433030421143746,5.329365308990575,0.9990691678153759,0.0009308321846239186,0
2010-11-01,-0.1117484627005858,2.98668401464921,0.9992087576539677,0.0007912423460322435,0
2010-12-01,-0.07905475933961714,0.5716253750946976,0.9992662577776577,0.0007337422223421637,0
2011-01-01,-0.10493544881062444,-0.7415724786858036,0.9991855306229768,0.0008144693770230022,0
2011-02-01,-0.09376106023571218,-5.437255625778015,0.9986487106710465,0.0013512893289532033,0
2011-03-01,-0.09099050960691724,-6.333179011038315,0.9984713696312545,0.0015286303687453361,0
2011-04-01,-0.12574477020076102,-1.9857893560319084,0.9991306777784782,0.0008693222215217908,0
2011-05-01,-0.12599165668661172,-0.402469500660807,0.9993278976418641,0.0006721023581359603,0
2011-06-01,-0.12976335046720866,0.5250630169276072,0.9993747168668139,0.0006252831331862222,0
2011-07-01,-0.13600543808277976,1.2538305304896191,0.9993729514235447,0.0006270485764554992,0
2011-08-01,-0.11764008946104187,1.1118334051775314,0.9993187913295887,0.0006812086704113048,0
2011-09-01,-0.08676379551758906,-1.6817106114056735,0.9991216261106155,0.0008783738893843924,0
2011-10-01,-0.04348197061235215,-5.562197943587854,0.9985113125057693,0.0014886874942305842,0
2011-11-01,-0.03433604586634953,-5.265840539766842,0.9982185488539035,0.0017814511460965171,0
2011-12-01,-0.02452580659887449,-7.564650283245733,0.9976964842738447,0.0023035157261552873,0
2012-01-01,-0.06369211715667511,-4.616371382837237,0.9985736390953976,0.0014263609046022948,0
2012-02-01,-0.09877803188963608,0.4361814601056224,0.9991635877967838,0.0008364122032162504,0
2012-03-01,-0.10435225115487512,2.6490952974620896,0.9992119463032564,0.0007880536967436104,0
2012-04-01,-0.09671794372612741,3.1065135717242676,0.9991449666547774,0.0008550333452226003,0
2012-05-01,-0.08415397658803592,3.001683404120037,0.9989699590137363,0.0010300409862636964,0
2012-06-01,-0.08338574607209726,6.338702832019916,0.9983149701795503,0.0016850298204499517,0
2012-07-01,-0.08676547687834812,6.3908128279118515,0.9980869719782237,0.0019130280217767627,0
2012-08-01,-0.07250646224174773,5.211031809616884,0.9980801847470323,0.0019198152529682762,0
2012-09-01,-0.07139610444443001,6.27599178394167,0.9974671127790304,0.0025328872209699317,0
2012-10-01,-0.06875432720551711,4.376880563767127,0.9965393734079663,0.0034606265920339376,0
2012-11-01,-0.057645220440354805,5.38444845718562,0.9920989428811122,0.007901057118888137,0
2012-12-01,-0.07148957525087063,7.5442090069146595,0.9797729076012974,0.020227092398702854,0
2013-01-01,-0.08240495615705168,10.07648333568456,0.9582105477193235,0.04178945228067679,0
2013-02-01,-0.06964261845613873,12.968892562741097,0.9418057532076639,0.0581942467923363,0
2013-03-01,-0.05649733561468295,10.75597201077132,0.9551674206462845,0.04483257935371591,0
2013-04-01,-0.047773778374464726,5.740005617658639,0.982408798065536,0.017591201934464326,0
2013-05-01,-0.03882431842406309,3.5844719278432358,0.9930167556122004,0.006983244387799865,0
2013-06-01,-0.007487713709537047,-1.2015245332594127,0.9951673018444613,0.004832698155538972,0
2013-07-01,-0.01293771293043644,-2.335631897410906,0.9914913822223914,0.008508617777608939,0
2013-08-01,-0.013128070454297536,-0.20941018768194652,0.9739638825732082,0.0260361174267921,0
2013-09-01,-0.002790424750925169,2.78472373967249,0.8971869905034199,0.10281300949658043,0
