termino,coeficiente,error_estandar_hac,t_stat,p_valor
const,4.296448872555561e-05,5.985563101922078e-05,0.7178019510271122,0.47290202945595383
r_trm_L1,0.11806676113612342,0.02090203910338722,5.648576225129656,1.6777185123533953e-08
r_trm_5d_L1,-0.008611473689715564,0.03380167550903014,-0.2547646990876237,0.7989119088067277
r_trm_22d_L1,-0.04351657058416607,0.06774610064058882,-0.6423479753474389,0.5206671349752435
r_dolar_L1,0.8737881471427367,0.038361140435853015,22.77795021771768,4.597409444839791e-111
r_vix_L1,0.009282857279057213,0.001713514954047033,5.417435813520432,6.235853076449271e-08
d_embig_L1,0.02277486776080953,0.0028708287199417275,7.933203260301721,2.4492798984969875e-15
global_rates_mom_L1,-0.000167607937220496,0.0007019255591552117,-0.23878306614481618,0.8112804023085749
global_commodities_mom_L1,6.827606731085116e-05,0.0010827369038901625,0.06305877916005473,0.9497213985423796
global_risk_mom_L1,-3.1472869555947253e-06,6.141088899229555e-06,-0.5124965632706564,0.6083187941907784
global_activity_mom_L1,-0.00016494663197430363,0.00021388575619597406,-0.771190353709998,0.44061869086174876
global_logistics_mom_L1,0.0012345148533343623,0.0055898454171015985,0.2208495515023514,0.8252156617856102
