fecha,diferencial_nominal,diferencial_real,vol_trm_12m_anual,carry_sharpe,carry_zscore,diferencial_zscore,carry_momentum_6m,carry_neto_embig
2006-01-01,1.71,-1.0164528308595937,,,,,,-0.4327272727272726
2006-02-01,1.5099999999999998,-0.7401789429313261,,,,,,-0.2300000000000002
2006-03-01,1.4100000000000001,-0.011956373697793676,,,,,,-0.2656521739130433
2006-04-01,1.21,-0.33924767752385865,,,,,,-0.5275000000000001
2006-05-01,1.3019354838709676,-0.6521762136480107,,,,,,-0.5841514726507715
2006-06-01,1.3433333333333328,-0.5678489767903026,,,,,,-0.9698484848484852
2006-07-01,1.2599999999999998,-0.5895726191429862,,,,,-0.4500000000000002,-1.0228571428571431
2006-08-01,1.330645161290323,-0.9209111500425848,,,,,-0.17935483870967683,-0.6341374474053292
2006-09-01,1.5,-1.2125509424436665,,,,,0.08999999999999986,-0.5633333333333335
2006-10-01,1.758064516129032,-1.0938624812222355,,,,,0.5480645161290321,-0.05239002932551329
2006-11-01,2.0,-0.4641095289502837,,,,,0.6980645161290324,0.10545454545454525
2006-12-01,2.1229032258064517,-0.4003777781304363,,,,,0.7795698924731189,0.31195084485407065
2007-01-01,2.274193548387097,-0.21196677973620837,9.899912548183762,0.22971854926176297,,,1.0141935483870972,0.6263674614305752
2007-02-01,2.5167857142857146,-0.2526318426442917,9.878998926974907,0.25476120939881414,,,1.1861405529953917,0.8842857142857146
2007-03-01,2.788387096774194,0.014432939229137798,9.918675516085143,0.2811249437742226,,,1.2883870967741942,1.0774780058651032
2007-04-01,3.0,0.28255688282665403,9.440975275089832,0.31776378102753317,,,1.241935483870968,1.5757142857142858
2007-05-01,3.32258064516129,0.5730570444756418,9.870955393550036,0.33660172827164825,,,1.32258064516129,2.02258064516129
2007-06-01,3.5999999999999996,1.514430837894142,7.190249664031848,0.5006780248547505,,,1.477096774193548,2.516190476190476
2007-07-01,3.7561290322580643,1.7320655590864047,8.07209797373346,0.465322527610601,,,1.4819354838709673,2.4015835777126098
2007-08-01,4.23,1.763454466973318,10.20546160563442,0.41448394628858565,,,1.7132142857142858,2.365652173913044
2007-09-01,4.31,1.6217666573608116,10.867355956119104,0.39660060988185075,,,1.5216129032258054,2.5039999999999996
2007-10-01,4.49,1.8219591051448485,11.730344435011629,0.38276795919126383,,,1.4900000000000002,2.883913043478261
2007-11-01,4.801666666666666,2.1215695373898456,12.092142662233037,0.39708981284710954,,,1.4790860215053758,2.833030303030302
2007-12-01,5.26,2.5335722030533683,12.105542026805994,0.4345117292850234,,,1.6600000000000001,3.3823809523809523
2008-01-01,5.5600000000000005,2.339601606338743,12.11872003098186,0.4587943269409392,,,1.8038709677419362,3.164347826086957
2008-02-01,6.563103448275861,3.0196079891527714,12.454687217463325,0.5269585123802557,,,2.3331034482758604,4.066436781609195
2008-03-01,7.140000000000001,3.5245894585508992,12.609175096245265,0.5662543303190496,,,2.830000000000001,4.502857142857144
2008-04-01,7.470000000000001,4.506333757251888,12.608599966853651,0.5924527718888415,,,2.9800000000000004,5.3122727272727275
2008-05-01,7.77,4.571456295566643,11.346326401616105,0.6848031446454146,,,2.9683333333333337,5.9795454545454545
2008-06-01,7.75,3.999557429741498,10.883174312099037,0.712108414121804,,,2.49,5.943809523809524
2008-07-01,7.77225806451613,3.2716013606366223,11.263520153098474,0.690038101665585,,,2.2122580645161296,5.597040673211782
2008-08-01,8.0,3.911468020318771,10.449061967157272,0.7656189641850164,,,1.4368965517241392,5.7804761904761905
2008-09-01,8.19,3.5927103963042732,15.730434625153725,0.5206467713806072,,,1.049999999999999,5.4854545454545445
