fecha,D5 (32-64m),D4 (16-32m),D3 (8-16m),D2 (4-8m),D1 (2-4m),A5 (>32m)
2006-01-01,0.03730072192074495,-0.016475877066537453,-0.017891760757907056,0.00750430139341542,-0.000713450013126447,7.719444627739758
2006-02-01,0.04269960341380914,-0.0088708749459882,-0.02142455358330541,-0.01078034545431833,0.003889065485355509,7.7157343954468764
2006-03-01,0.04847518580484642,-0.0012143443247991863,-0.01998974729435661,-0.011154155857730204,-0.0041326351336490146,7.71198441546969
2006-04-01,0.0546402672991695,0.00631524527426899,-0.015049381699600793,0.002586189036142023,-0.0008761247386233474,7.70820993108092
2006-05-01,0.06113797696012018,0.017025128131112496,-0.003182795551210765,0.010646334594590894,0.0011201828061059786,7.70421771856904
2006-06-01,0.06799653814234728,0.030157100952848934,0.016402419302038035,0.018397374380195033,0.00777859001098711,7.700060971242847
2006-07-01,0.07165766329928176,0.036375699674208464,0.022350884386762762,0.008438364650638696,-0.005659420470053309,7.696347217101236
2006-08-01,0.07175581234779704,0.03520783102633984,0.013809442236182117,-0.023690112391379414,-0.011575496568301443,7.693115784250084
2006-09-01,0.06998071938134626,0.030583442919884626,0.0018701530085537667,-0.02270475044878065,0.012837170896242787,7.690119080219405
2006-10-01,0.06530019253072722,0.019981556993898617,-0.018770605642276193,0.009903499523216942,0.003236121750411077,7.687527051602129
2006-11-01,0.05974710727379472,0.009705578901126716,-0.02421401835044352,0.013949839622216346,-0.00763351586045688,7.684943353048518
2006-12-01,0.0533995708100184,4.804378369106116e-05,-0.011950286183070478,-0.0022961295966864408,0.0018745903407625512,7.682356415404364
2007-01-01,0.04429951043454471,-0.01434816125832137,0.002201317592384494,-0.0007171254280082149,0.0009809041962766433,7.680117839953417
2007-02-01,0.03281314519362715,-0.03221398526079004,0.024509190097147564,0.010362156897121846,-0.0049578516809197625,7.678153768641306
2007-03-01,0.02152611071411701,-0.04192702424037364,0.030690220241015337,0.009320505540539176,0.0017989561156011912,7.676095997696942
2007-04-01,0.010367309645831194,-0.04305766008068854,0.01749440524115365,0.0002658434362836843,0.011815944366558704,7.673962678434366
2007-05-01,-0.0017145705226625737,-0.04028881634954025,0.0016664655679636308,-0.014096852757853074,-0.01185597651643596,7.671888905295663
2007-06-01,-0.014125566443824112,-0.030536290773271496,-0.023452406605049107,-0.037599049093077944,-0.0021592863649602476,7.669792170719703
2007-07-01,-0.028973068170825338,-0.021986188312962094,-0.02939994467494705,-0.019906165876688257,0.008801451177800897,7.667993530226674
2007-08-01,-0.0464336467759756,-0.0150169947920365,-0.012492886892180253,0.04292594620108645,-0.006940321224806479,7.666517734515407
2007-09-01,-0.06500599702970461,-0.002863311351181515,0.008117200175972707,0.04249979152183883,0.008148256603567716,7.665143011123905
2007-10-01,-0.08520058836352275,0.012799115437933615,0.040243764122598884,-0.016138214166483793,-0.014205685508571679,7.6639469851300905
2007-11-01,-0.0990273099510661,0.021317507052919328,0.05029092818671074,-0.024314943007953674,0.013106298301132229,7.6624439375123
2007-12-01,-0.1055415180638074,0.022521500490812873,0.034049792585892295,0.0017840413419076798,-0.005584936996539289,7.660567023776264
2008-01-01,-0.10888201546590931,0.020358791664742505,0.014130861930431966,0.007110753590767036,0.0011353582124921558,7.658605260581418
2008-02-01,-0.10671642816319742,0.012070862160487753,-0.018611139214579547,0.007508396223050382,0.0017225023095510082,7.656417485439962
