fecha,COP,BRL,CLP,MXN
2006-01-01,-1.4542519962739364,2.582804764101465,-1.1768239761354105,-1.5050103056895303
2006-02-01,-1.1746583887233708,1.1035209689429892,-1.6487813045391708,-0.87024151581368
2006-03-01,0.10130954553013716,0.20356853900910798,-1.9218612975086202,0.49448123903033103
2006-04-01,2.5735767042299074,0.34828599413950223,-1.6957959969219782,2.025399451698373
2006-05-01,5.79665393213884,1.3919536357887952,-0.9472838412738938,3.0058082104553963
2006-06-01,8.654396873733816,2.67692238550995,0.022734480104036336,2.986087315013919
2006-07-01,9.850556707501745,3.4640868652783596,0.7450359330316125,2.0160111052325735
2006-08-01,8.719842097099795,3.412924471290629,0.8542224221704142,0.5626488497021631
2006-09-01,5.799704410665862,2.7863357565489855,0.3189863784264446,-0.7863375436172215
2006-10-01,2.6319863780308594,2.229973545230468,-0.5125547051994417,-1.6207750130265097
2006-11-01,0.7804160461591714,2.26570614480619,-1.1005281060108008,-1.8509913157690794
2006-12-01,0.7062846233083953,2.8549583584249945,-1.0462416393572038,-1.676331190264846
2007-01-01,1.3791191735475383,3.367354986449475,-0.3745988302497061,-1.4501525328073361
2007-02-01,1.0229203668509879,3.01694404299318,0.4332638707192915,-1.5141214427628613
2007-03-01,-1.4865330953516054,1.4730132336653878,0.7208393498856047,-2.0447565313681526
2007-04-01,-5.640574536097942,-0.8203128039000779,0.09907299158202765,-2.9572620894677493
2007-05-01,-9.545635194223268,-2.905624163425874,-1.2501843609338925,-3.9316119130488882
2007-06-01,-11.262155105747972,-4.009059410353072,-2.6589329894506353,-4.592893966501399
2007-07-01,-10.20672722275413,-4.150980594933018,-3.4356666179640616,-4.767735166745457
2007-08-01,-7.5197783439666654,-4.1571494062451535,-3.399369568798394,-4.635263961505181
2007-09-01,-5.141035472107081,-4.998568429978767,-3.0816457019471333,-4.621060243766218
2007-10-01,-4.391329267418886,-6.949036963957339,-3.4067392876648173,-5.072825082989957
2007-11-01,-5.230122802451209,-9.265369954388643,-5.047263693364101,-5.966878503202405
2007-12-01,-6.722113177902278,-10.732461816152162,-7.917208063416981,-6.919838919596696
2008-01-01,-8.163669160368869,-10.708416925663093,-11.176899814427538,-7.548015589393656
2008-02-01,-9.754155153307408,-9.817675254893537,-13.736384512357114,-7.894012786185929
2008-03-01,-12.159018996746873,-9.620085275633162,-14.860464226294868,-8.51488159020262
2008-04-01,-15.387684255140355,-11.362149387461626,-14.418090612664164,-10.054667454199011
2008-05-01,-18.116187239813343,-14.707521773259046,-12.636648763604294,-12.559612304991907
2008-06-01,-18.250309870919786,-17.48880533124938,-9.651283121292662,-15.0790180178295
2008-07-01,-14.413347665091486,-16.83797148434586,-5.310894052908845,-15.957999337014597
2008-08-01,-7.142292124476493,-11.020601304769405,0.5386742842607997,-13.73541604029184
2008-09-01,1.2765644337737192,-0.7152896557564153,7.525213220035173,-8.084325168249848
2008-10-01,8.28811501328867,11.178912848478136,14.475252235231295,-0.15549730572566103
2008-11-01,12.695746966476337,21.094626687428924,19.737061735614308,7.920641432984193
2008-12-01,15.12498266473723,26.654039001842538,21.976247427088264,14.052056945212271
2009-01-01,17.001189865342937,27.62727180111007,20.92101930285893,17.08888818388439
2009-02-01,18.987623311757183,25.501978430149496,17.534119764453944,17.125642262141866
2009-03-01,20.273638130152875,22.17250717460625,13.48562788906255,15.16161427117285
2009-04-01,19.3344336254552,18.776571676382638,10.279031342241646,12.463772804026965
2009-05-01,15.477934654854009,15.41824473624118,8.581054302164349,10.042459127760722
2009-06-01,9.794239000965954,11.737570007154485,8.1081739122147,8.433547240362424
2009-07-01,4.63469927243092,7.6747855356903845,8.024337416039772,7.7240135919774
2009-08-01,2.0150598501851746,3.770442403010103,7.517108335884792,7.667391429726345
2009-09-01,2.2537210902873195,0.8445495271412264,6.211796650085033,7.813970476138504
2009-10-01,3.940092307817511,-0.5744838677383888,4.27911436622389,7.675008796096422
2009-11-01,5.193119069971496,-0.5702268673613189,2.290327144268778,6.927562789880376
2009-12-01,5.113641617915854,0.2966587057061196,0.945657315942694,5.577252464880081
2010-01-01,4.249256646648691,1.384790108667619,0.7749298395749893,3.960578637514778
2010-02-01,3.799684915178292,2.282206683899679,1.8858570234812522,2.558553832612759
2010-03-01,4.366119256812484,2.8456558147250925,3.853168924872097,1.7370089843205094
2010-04-01,5.3657631457212585,3.053255058543895,5.838440862343708,1.584381969056059
2010-05-01,5.573555492059468,2.8743755066062167,6.93637040706917,1.9274236284244046
2010-06-01,4.2487199193899094,2.267283852574313,6.59142851254666,2.4596526014915243
2010-07-01,1.8376989447151049,1.2531792538924156,4.847989778674055,2.859910458796988
2010-08-01,-0.3266514517998753,-0.043892049453872484,2.284615785515842,2.8514008165242326
2010-09-01,-1.0259544934733245,-1.432130270185339,-0.30946745382690044,2.2519716452425924
2010-10-01,-0.005694343723350315,-2.717942294290775,-2.2974437393029348,1.063397179310005
2010-11-01,1.9614047962643766,-3.7589202566695192,-3.396790596060595,-0.4612453281838097
2010-12-01,3.7214082112427826,-4.517360575284397,-3.6801587873074357,-1.9036472106380042
2011-01-01,4.478232198447318,-5.133877843483475,-3.474874491029828,-2.9517289924344103
2011-02-01,4.074954022653099,-5.958530865574605,-3.252981185309667,-3.671482222395961
2011-03-01,2.7814837179910623,-7.412379142493111,-3.494470666263677,-4.48709124172326
2011-04-01,0.9789001779763218,-9.643827636583593,-4.461747321043374,-5.76087005332037
2011-05-01,-0.913952453880218,-12.176437366148301,-5.938625247150592,-7.247982203479708
2011-06-01,-2.32351639503936,-13.902383634886931,-7.154279861337204,-7.940725789369285
2011-07-01,-2.555575084136208,-13.627186467067903,-7.106612466779572,-6.615419066331575
2011-08-01,-1.1791041459684848,-10.93436775363543,-5.222815553327948,-2.821258655868
