fecha,desv_ma60_pct,desv_ma36_pct,desv_trend_lineal_pct,z_desv_ma60_pct,z_desv_ma36_pct,z_desv_trend_lineal_pct
2007-12-01,,-9.350221796875413,,,,
2008-01-01,,-10.448554616576722,,,,
2008-02-01,,-13.89931518504186,,,,
2008-03-01,,-16.5598128776284,,,,
2008-04-01,,-18.533377695364095,,,,
2008-05-01,,-18.973166875882175,,,,
2008-06-01,,-20.70386674870095,,,,
2008-07-01,,-17.34971827627918,,,,
2008-08-01,,-13.259900525354151,,,,
2008-09-01,,-2.008754140918967,,,,
2008-10-01,,7.984118061475609,,,,
2008-11-01,,9.639110998376665,,,,
2008-12-01,,5.887229645170056,,,,
2009-01-01,,6.000627835475303,,,,
2009-02-01,,16.574294982667936,,,,
2009-03-01,,14.615648695518146,,,,
2009-04-01,,10.645282269329925,,,,
2009-05-01,,4.470784736229927,,,,
2009-06-01,,-1.373628070710886,,,,
2009-07-01,,-2.749864504654287,,,,
2009-08-01,,-3.83567756179346,,,,
2009-09-01,,-5.281517590457252,,,,
2009-10-01,,-8.630435724371566,,,,
2009-11-01,,-4.328593346011189,,,,
2009-12-01,-5.34340278728207,-1.9537735269257617,,,,
2010-01-01,-6.9277852585514665,-3.3492821808321693,,,,
2010-02-01,-8.368303050131587,-4.593364731335914,,,,
2010-03-01,-10.374584136445897,-6.4094314814275855,,,,
2010-04-01,-8.723844457263485,-4.647189012741837,,,,
2010-05-01,-6.249874443309178,-2.2574813496820667,,,,
2010-06-01,-8.982934243666563,-5.164808744313643,,,,
2010-07-01,-11.52842858965304,-7.811348887069514,,,,
2010-08-01,-14.151002917231725,-10.354245917556693,,,,
2010-09-01,-14.738573402267185,-10.768073862538419,,,,
2010-10-01,-14.330304211437461,-10.33028821627724,,,,
2010-11-01,-11.17484627005858,-7.106732626759715,,,-0.758097986885654,
2010-12-01,-7.905475933961714,-3.8421812943979283,1.896292417575296,,-0.4156322176563572,
2011-01-01,-10.493544881062444,-6.591066444748783,-0.6125195437678421,,-0.7223760002410035,
2011-02-01,-9.376106023571218,-5.741604695881275,0.5520266075068392,,-0.6376021992163766,
2011-03-01,-9.099050960691724,-5.8283286889381,0.8343464750648621,,-0.6555562306728514,
2011-04-01,-12.574477020076102,-9.751182964429095,-2.6366480262319136,,-1.1063137266960343,
2011-05-01,-12.599165668661172,-10.307162939191095,-2.8493909925654037,,-1.1783768510422203,
2011-06-01,-12.976335046720866,-11.35581896178115,-3.665315123580637,,-1.30571064481547,
2011-07-01,-13.600543808277976,-12.542084166781287,-4.671161477222441,,-1.4469275900115706,
2011-08-01,-11.764008946104187,-11.096083955342095,-3.0854632378497726,,-1.2883228932369364,
2011-09-01,-8.676379551758906,-8.124301178011972,-0.44436446889317693,,-0.9528851407331791,
2011-10-01,-4.348197061235215,-3.645954099100379,3.2786618446685623,,-0.43213903260146297,
2011-11-01,-3.433604586634953,-2.4831075423497495,3.6764949412559034,,-0.2971091570876374,
2011-12-01,-2.452580659887449,-1.339602717312438,4.142289219005502,,-0.16159234106756704,
2012-01-01,-6.369211715667511,-5.026132176489817,-0.05617543913647438,,-0.6125645014298503,
2012-02-01,-9.877803188963608,-7.953041207730571,-3.670419708708028,,-0.9780853072330588,
2012-03-01,-10.435225115487512,-7.947522399398377,-4.2694451442898185,,-0.9861307378185213,
2012-04-01,-9.67179437261274,-6.690687790691108,-3.4721694162535677,,-0.8380688962922773,
2012-05-01,-8.415397658803592,-5.021863545797967,-1.9383696890826307,,-0.6350394044889264,
2012-06-01,-8.338574607209726,-4.636839626367628,-1.3824319981909028,,-0.5918061884266334,
2012-07-01,-8.676547687834812,-4.739531293546317,-1.3023023815100565,,-0.6104506175938446,
2012-08-01,-7.250646224174773,-3.2217000015596575,0.20831072205567125,,-0.41842280475265503,
2012-09-01,-7.139610444443001,-3.117863621301442,0.2528021748820386,,-0.40823947609341427,
2012-10-01,-6.875432720551711,-2.8806717228407663,0.6929056866243677,,-0.3801488755996433,
2012-11-01,-5.7645220440354805,-1.7360790982147378,1.806605238923975,-1.8830158187004133,-0.2306474136259373,
