fecha,senal_desviacion_pct,pronostico_retorno_pct,retorno_realizado_pct,beta_estimado,r2_insample,n_train
2021-01-01,-7.231667315684653,2.059368328980959,9.243250009204651,16.069629339188673,0.01839184820690054,120
2021-02-01,-5.368212714337162,2.485356293500074,8.792453326280913,15.014446179015241,0.016183206890930557,121
2021-03-01,-3.835924414079983,2.8008565053484604,5.6178527480897245,14.308768852791552,0.014749486825583524,122
2021-04-01,-2.96845512029158,2.9570193097446995,3.303251513430183,14.072971889798914,0.01431645138504134,123
2021-05-01,-1.0824873293989512,3.225681787312581,4.379397229050674,14.049544603441872,0.014306261009670695,124
2021-06-01,-2.6358099414164116,3.018054273824824,7.2752908405730565,14.010131388963746,0.014234234826366432,125
2021-07-01,0.5962269802699538,3.5052642266946124,4.3485538504063115,13.750982465052624,0.013717107719996458,126
2021-08-01,1.2346144118337676,3.5996748513788277,1.3983093697648386,13.747526548426917,0.01370920684786947,127
2021-09-01,-0.7551344235197988,3.309182004784552,-0.376648698949289,13.731999027727777,0.013670694022967278,128
2021-10-01,-2.251257457314182,3.072031644602699,0.5180254239862236,13.833908567247779,0.013853786859117978,129
2021-11-01,0.531819380095655,3.4370322394156485,2.9332737420425303,13.970292843336086,0.014135694917431496,130
2021-12-01,1.3535875409750986,3.5480031435358312,-0.8200525019091742,13.972614245609215,0.014140045098608334,131
2022-01-01,1.5245976124910854,3.538498567437186,8.806239045160957,13.930185312953144,0.014022567263444308,132
2022-02-01,-0.555101979525574,3.2874962904026983,9.37036098034465,13.996624470100336,0.01410685555709279,133
2022-03-01,-3.8867551249854415,2.8733005807965775,15.23370129515822,13.852883181579926,0.013763211042197243,134
2022-04-01,-4.191543261580755,2.97224170886774,21.692391895031093,12.851028359187355,0.011689690092363092,135
2022-05-01,0.9900452653601732,3.7715145232745884,20.360854879579193,11.252835755770995,0.008654125175949545,136
2022-06-01,-1.5050755466729626,3.6101310483433267,19.738076894019585,11.329133569094434,0.008495457009121354,137
2022-07-01,7.5318681362318785,4.70852295801111,7.653137473174354,10.709374510767141,0.007385456297997139,138
2022-08-01,5.232776860714772,4.498855151709565,10.543729640341937,11.052785328778851,0.007917929959243786,139
2022-09-01,6.320298904829613,4.687716725035963,7.2348142663866355,11.513576402833168,0.008580640585563404,140
2022-10-01,10.34277251631277,5.19162338679715,-3.6560537230863943,11.752308817298285,0.008976712519295549,141
2022-11-01,12.367397656428025,5.206077571144451,-8.171478649872732,10.347217477938454,0.007019084852076363,142
2022-12-01,7.631796717842754,4.455698699814491,-12.892649552950353,7.8405109666020545,0.00405277033253848,143
2023-01-01,4.554832798850228,4.0278351751153,-14.733748958515136,5.967956361508687,0.0022950944413456797,144
2023-02-01,4.793929061592017,3.872525002690329,-16.54429893781799,4.895322464027642,0.0014936321282130738,145
2023-03-01,2.667138651194634,3.6088729834424114,-17.414765116278552,3.6598376296918036,0.0008035496469942505,146
2023-04-01,-2.77011572137269,3.2877150572964235,-7.310434315638936,3.118689192655166,0.0005598841044806013,147
2023-05-01,-3.3536647544323728,3.168886796447053,-11.699784888442188,3.776547212257846,0.0008142755531967971,148
2023-06-01,-10.439454867163,2.6807225887369657,-6.402726622734534,4.829753823437239,0.0013087437975201066,149
2023-07-01,-12.909556277309875,2.273808461418705,-3.858858023221856,6.467845083962027,0.002376732918886071,150
2023-08-01,-11.973836364117929,2.1271799620718816,-3.481573574962127,7.765497512038119,0.003514106323722954,151
2023-09-01,-12.531217244709048,1.9043618860015863,-2.6616250675864705,8.83741188078335,0.004647600443234867,152
2023-10-01,-6.82529766799469,2.3125355759700206,-8.768035521521433,9.718989496519619,0.0057525087789344065,153
2023-11-01,-10.321750730339474,1.7694189664996343,-4.292668500265329,10.917246036297126,0.007228757808619424,154
2023-12-01,-11.400228754805752,1.500042204072226,2.3675284542601815,11.857387297185676,0.008635127166023215,155
2024-01-01,-11.002947990292355,1.5692619944112716,3.0616420285713986,11.713396601633413,0.008597257647212975,156
2024-02-01,-9.466228571981539,1.781864591154897,3.3542742264852876,11.47976393160688,0.008409030498102044,157
2024-03-01,-9.12597867704008,1.8506863415473518,7.010446371595691,11.270850262160515,0.008213491153624686,158
2024-04-01,-8.744992527038065,1.9848288482214556,9.40630688181745,10.621075381285054,0.007371186792961781,159
2024-05-01,-7.606485796425666,2.221313601405492,13.054696080371642,9.739445401697925,0.006242928260733582,160
2024-06-01,-2.7126230036309096,2.7974122941623443,8.12867593583384,8.631511394088886,0.004900064279002803,161
2024-07-01,-2.377712546741151,2.8643719587033734,6.489083649340088,8.429932956684448,0.004668673804913204,162
2024-08-01,-1.3160302717096783,2.977881751134704,1.523370499655563,8.309629061362536,0.004535704956938891,163
2024-09-01,1.4991009435185276,3.203316214008211,-1.0775766916996332,8.33751197556678,0.004566515150707051,164
2024-10-01,2.8645026155205144,3.2891770463460603,0.7219018873200866,8.26235191475047,0.004478968915746617,165
2024-11-01,5.87824537047581,3.5175661108070804,-4.768077654892977,8.172052220427055,0.004383724409781964,166
2024-12-01,4.779212517410869,3.3501812314786714,-6.395293742599506,7.560528636545792,0.0037485130372693076,167
2025-01-01,2.6770233367120255,3.1191963394657285,-6.391867418490627,6.985668763300131,0.003184930117536511,168
2025-02-01,-1.3657733923212234,2.7853382760101155,-1.9704298525905273,6.6861761570773375,0.0028986414136521477,169
2025-03-01,-0.9580427151643534,2.7834389820156327,-5.348055538473773,6.785174993564503,0.00298022419015731,170
2025-04-01,2.1781193948276822,2.951122344286826,-9.873374277806057,6.910695668358176,0.0030747746784552943,171
2025-05-01,0.34713232371785807,2.749696031289691,-10.452979722517242,6.589312718283988,0.002759923270848841,172
2025-06-01,-1.5716885549867499,2.5472613683431278,-8.151628391500942,6.571777789520702,0.002706663862661385,173
2025-07-01,-2.91164588065822,2.389842474824551,-8.731162614148325,6.822013387363928,0.0028906390847908137,174
2025-08-01,-2.358140451831048,2.3524708931112412,-9.634991305525809,7.2719589125224955,0.0032552470707174486,175
2025-09-01,-4.757394790220459,2.0902216987305646,-5.358893544384102,7.6685286574568305,0.003581033565721148,176
2025-10-01,-5.067108991996427,1.999585735010441,-6.949120576114076,8.141750558698583,0.004030062992400052,177
2025-11-01,-6.402214282638141,1.8014186860713466,-1.9243367122895094,8.740443220447194,0.0046291952204724485,178
2025-12-01,-5.300582549326194,1.8601439737481629,-7.971053097022995,9.050123328737971,0.004983069836041909,179
2026-01-01,-6.488750752446215,1.6538307069526157,-12.467332004225185,9.722725393317743,0.005725520273242468,180
2026-02-01,-6.058905970315465,1.546438084064552,-16.165344409778193,10.889383472107438,0.007102619943039623,181
