fecha,desalineamiento_pct
2006-01-01,
2006-02-01,
2006-03-01,
2006-04-01,
2006-05-01,
2006-06-01,
2006-07-01,
2006-08-01,
2006-09-01,
2006-10-01,
2006-11-01,
2006-12-01,
2007-01-01,
2007-02-01,
2007-03-01,
2007-04-01,
2007-05-01,
2007-06-01,
2007-07-01,
2007-08-01,
2007-09-01,
2007-10-01,
2007-11-01,
2007-12-01,
2008-01-01,
2008-02-01,
2008-03-01,
2008-04-01,
2008-05-01,
2008-06-01,
2008-07-01,
2008-08-01,
2008-09-01,
2008-10-01,
2008-11-01,
2008-12-01,
2009-01-01,
2009-02-01,
2009-03-01,
2009-04-01,
2009-05-01,
2009-06-01,
2009-07-01,
2009-08-01,
2009-09-01,
2009-10-01,
2009-11-01,
2009-12-01,
2010-01-01,
2010-02-01,
2010-03-01,
2010-04-01,
2010-05-01,
2010-06-01,
2010-07-01,
2010-08-01,
2010-09-01,
2010-10-01,
2010-11-01,
2010-12-01,
2011-01-01,-1.5853230665805462
2011-02-01,0.7346234679582508
2011-03-01,2.5498927042898245
2011-04-01,1.9358958499950951
2011-05-01,1.2869449816188983
2011-06-01,0.31211232444823267
2011-07-01,0.4292008985698814
2011-08-01,0.49024582069367995
2011-09-01,-2.832549125739181
2011-10-01,-0.7025014910801097
2011-11-01,-1.4211276648512516
2011-12-01,-2.605373268328126
2012-01-01,-5.5885063846436545
2012-02-01,-5.800736240267934
2012-03-01,-7.7458695768980235
2012-04-01,-7.807213387920875
2012-05-01,-10.161585754487401
2012-06-01,-12.93872508642231
2012-07-01,-12.2821337600854
2012-08-01,-9.114218542808228
2012-09-01,-5.878359819137735
2012-10-01,-5.216174073362634
2012-11-01,-5.769022055179551
2012-12-01,-5.963790667515134
2013-01-01,-7.013961748218378
2013-02-01,-7.328310199051202
2013-03-01,-7.824018785801901
2013-04-01,-6.049697306607538
2013-05-01,-6.065383580240624
2013-06-01,-4.355299324751805
2013-07-01,-5.989276506045282
2013-08-01,-5.560095191543102
2013-09-01,-4.080161544178473
2013-10-01,-3.7485111657890258
2013-11-01,-3.676035328050009
2013-12-01,-3.40343398242835
2014-01-01,-4.094448028319064
2014-02-01,-0.40812130002834124
2014-03-01,-0.8894637185927756
2014-04-01,-4.011518614617593
2014-05-01,-4.465252745636583
2014-06-01,-6.227965393623425
2014-07-01,-7.249420832189379
2014-08-01,-7.091376268988903
2014-09-01,-6.311621509952303
2014-10-01,-5.186138342557811
2014-11-01,-4.572708914188972
2014-12-01,0.4288561174167427
2015-01-01,-1.5633872606809263
2015-02-01,-2.9873508845200014
2015-03-01,-0.3606125675569949
2015-04-01,-1.5622232661468338
2015-05-01,-2.4354505576248187
2015-06-01,1.0980450852971835
2015-07-01,3.7399423549057786
2015-08-01,9.393376707648926
2015-09-01,8.805540375881105
2015-10-01,5.561056783173157
2015-11-01,4.319176700072624
2015-12-01,9.29131757696462
2016-01-01,5.067345220493458
2016-02-01,8.68765737311783
2016-03-01,5.924680098708013
2016-04-01,5.1001256231446135
2016-05-01,2.5919935861615784
2016-06-01,1.6558430718853323
2016-07-01,-1.1653832524306296
2016-08-01,0.5797301413637435
2016-09-01,-2.030429936609135
2016-10-01,-3.921623545035846
2016-11-01,-2.8001981001427367
2016-12-01,-8.87332507522256
2017-01-01,-10.33853581684454
2017-02-01,-8.97576053610214
2017-03-01,-5.7127335974131555
2017-04-01,-6.0644942669888735
2017-05-01,-3.425229978419786
2017-06-01,0.45352691871389794
2017-07-01,6.115736862227905
2017-08-01,6.05889055689266
2017-09-01,6.054629502390263
2017-10-01,3.317269185884264
2017-11-01,4.6838107868988565
2017-12-01,4.409765897517648
2018-01-01,5.003016500006385
2018-02-01,6.011933744897746
2018-03-01,4.913085536487571
2018-04-01,1.9807735066318166
2018-05-01,-0.6815333361257281
2018-06-01,-3.074806866659152
2018-07-01,-3.5459511791535725
2018-08-01,-2.425038964771442
2018-09-01,-0.3705820561632933
2018-10-01,-0.09893912384768555
2018-11-01,0.8879313257757815
2018-12-01,1.5308913512750877
2019-01-01,3.0580402951629893
2019-02-01,1.506828953862538
2019-03-01,1.199124715114408
2019-04-01,1.7956688482099636
2019-05-01,4.339947669505406
2019-06-01,3.8945344063616716
2019-07-01,2.817754509046644
2019-08-01,5.108540182056487
2019-09-01,4.259430811617726
2019-10-01,6.174913609641841
2019-11-01,5.468355539369263
2019-12-01,5.872172002546705
2020-01-01,4.966791240763158
2020-02-01,5.130577294566407
2020-03-01,9.704452101577488
2020-04-01,7.929898248923095
2020-05-01,5.907323663445219
2020-06-01,6.9840828164350555
2020-07-01,7.477391739831063
2020-08-01,13.893301084258347
2020-09-01,13.939578991266188
2020-10-01,16.962229547421614
2020-11-01,16.117797836032643
2020-12-01,14.25620521137887
2021-01-01,15.654597682522642
2021-02-01,16.175970091732594
2021-03-01,14.912931834225596
2021-04-01,17.20351833808067
2021-05-01,22.22802310906875
2021-06-01,19.89045498701163
2021-07-01,20.39016258198867
2021-08-01,20.77884550327216
2021-09-01,18.92062234422891
2021-10-01,16.156037222427955
2021-11-01,17.368142745172932
2021-12-01,16.967864493362228
2022-01-01,19.241692630694907
2022-02-01,17.496446280064326
2022-03-01,11.291820822504484
2022-04-01,8.949044400879025
2022-05-01,9.3468886130184
2022-06-01,6.3375579834829665
2022-07-01,11.118670341958747
2022-08-01,10.734935152797576
2022-09-01,6.558183408510843
2022-10-01,8.706786924001975
2022-11-01,17.967060140022895
2022-12-01,20.07930225072112
2023-01-01,23.247267046474285
2023-02-01,23.676485664231528
2023-03-01,21.643526489647513
2023-04-01,19.779289848850112
2023-05-01,18.631258830313158
2023-06-01,11.630717773878985
2023-07-01,10.851340187650749
2023-08-01,6.833533462503638
2023-09-01,1.3045755656577285
2023-10-01,2.6126144705470367
2023-11-01,2.983656755695918
2023-12-01,3.682124501810513
2024-01-01,1.9572578179340994
2024-02-01,0.5433949965999219
2024-03-01,0.5980370337507424
2024-04-01,-3.363521255477231
2024-05-01,-2.686806820984877
2024-06-01,-2.2052252115832616
2024-07-01,-1.6341156381713517
2024-08-01,0.6961458468778048
2024-09-01,5.025180258834183
2024-10-01,2.924229441411441
2024-11-01,0.894501476325793
2024-12-01,-2.2089866461262986
2025-01-01,-6.445917027685688
2025-02-01,-8.596077398112811
2025-03-01,-4.932092528074072
2025-04-01,2.7922323936058646
2025-05-01,4.7253387672579805
2025-06-01,6.252343606966981
2025-07-01,5.460076864489594
2025-08-01,4.569911265775595
2025-09-01,2.591163713121958
2025-10-01,-0.13740296726432177
2025-11-01,-3.905615524637618
2025-12-01,-1.0947488222898372
2026-01-01,-1.3507953834887232
2026-02-01,0.8192202576134733
2026-03-01,-2.4513007274613585
2026-04-01,-3.2195353299281138
2026-05-01,-0.021892817671087528
2026-06-01,-8.702911152121295
2026-07-01,-16.520731194871274
2026-08-01,-17.944622836750845
