prueba,estadistico,p_valor
Ljung-Box (6),10.544660655491066,0.10351060249112896
Ljung-Box (12),15.942396177578338,0.19388869335355693
Breusch-Godfrey (12),17.81346737628673,0.121472792714121
ARCH-LM (12),20.94836519086426,0.0511416943314113
Jarque-Bera,5.328326326949076,0.06965762119130607
Ramsey RESET,4.834400167655633,0.02901606766606009
CUSUM estabilidad,0.6399811339638432,0.8073512509969215
Durbin-Watson,1.878459025609203,
