n_oos,r2_oos_pct,correlacion,direccion_pct,dm_p_valor,senal,horizonte
182,-4.120036901682367,-0.06753113185655123,49.45054945054945,0.08995994466369694,diferencial_nominal,6
176,0.7654864707688946,0.05912609561216691,52.27272727272727,0.770161970036678,diferencial_nominal,12
182,-5.723888327656024,-0.05592792997500559,41.75824175824176,0.16192463792687906,diferencial_real,6
176,-6.721038047509542,-0.11641541931960714,53.40909090909091,0.13991828582890564,diferencial_real,12
170,5.6626478974665995,0.08891991633135714,65.29411764705883,0.11355278110726985,vol_trm_12m_anual,6
164,16.05288565777261,0.22649810573214116,69.51219512195121,0.0012723892383603719,vol_trm_12m_anual,12
170,-16.134967049993065,-0.16304010570458657,41.76470588235294,3.671389335369035e-05,carry_sharpe,6
164,-2.3718598246476263,-0.2096146446160773,59.756097560975604,0.5018923157552124,carry_sharpe,12
135,4.682301819511936,0.22304132409559338,57.03703703703704,0.497121305475023,carry_zscore,6
129,8.377679307619923,0.35360786674888145,58.91472868217055,0.3437129841535218,carry_zscore,12
147,-8.304619202489395,-0.3097060081078629,51.02040816326531,0.11769711741451738,diferencial_zscore,6
141,7.450070349048554,0.038823925548217696,64.53900709219859,0.1489828621583147,diferencial_zscore,12
176,-4.207270054886347,-0.01973726106257248,49.43181818181818,0.3259640503869883,carry_momentum_6m,6
170,-3.2310322195606256,-0.0903873649734357,52.352941176470594,0.45000940232991304,carry_momentum_6m,12
182,-14.10779947241787,-0.14538829595684943,42.30769230769231,1.876787396493107e-05,carry_neto_embig,6
176,-11.139376155162605,-0.18519935098024778,49.43181818181818,0.0005717830243245903,carry_neto_embig,12
