fecha,z_yield_real_10y_tips,mom12_yield_real_10y_tips,z_epu_global,z_commodities_index,mom12_commodities_index,z_us_manufacturing_emp,mom12_us_manufacturing_emp,z_yield_2y_us,mom12_yield_2y_us,score_academico
2007-01-01,,21.46892655367232,,,2.9022218250454257,,-1.4358108108108114,,10.935968062574819,
2007-02-01,,15.206781402517366,,,10.170185882660743,,-1.5132319819819773,,3.866967305524227,
2007-03-01,,-0.9362521135374391,,,11.841091720486085,,-1.7311752287121784,,-3.385712377262684,
2007-04-01,,-6.36099753425513,,,9.365678225785047,,-1.996765801870215,,-4.556336475811129,
2007-05-01,,-2.954841107600814,,,5.817526375781745,,-1.9577464788732346,,-4.062214089661476,
2007-06-01,,6.380866812133679,,,8.537940219927108,,-2.1604503870513714,,-2.7596057947495645,
2007-07-01,,5.172184549926873,,,6.691314761765321,,-2.143108917870995,,-5.85039329788769,
2007-08-01,,6.433858417156957,,,2.830983855310798,,-2.3526918185671875,,-12.041142046462127,
2007-09-01,,-2.6786625974291267,,,17.190355669231483,,-2.3796033994334276,,-15.882177660548935,
2007-10-01,,-8.673524342955607,,,25.958254207486743,,-2.2177992607335772,,-17.265144745037485,
2007-11-01,,-22.858923748182015,,,30.078749904802105,,-2.016531281174294,,-29.616775489703663,
2007-12-01,,-20.50655409908908,,,28.037723057827037,,-1.9273324291526839,,-33.304803680325236,
2008-01-01,,-39.71076802814149,,,39.19424572154189,,-2.0494144530134206,,-49.228515625,
2008-02-01,,-40.47937569676701,,,38.078379585552426,,-2.165368398484957,,-59.31075653967219,
2008-03-01,,-49.88097723950721,,,43.09607280641021,,-2.2486393583500464,,-64.64519976147884,
2008-04-01,,-39.60792216017042,,,40.63508996684888,,-2.5109405265800966,,-56.12539312916902,
2008-05-01,,-38.490999617004974,,,50.06243993692663,,-2.636115500646463,,-48.68804664723032,
2008-06-01,,-39.479738099451424,,,56.771982182354975,,-2.9418111199021824,,-44.30633903814897,
